,ENSEBUT00000013274_ENSEBUG00000008073,ENSCINT00000026999_ENSCING00000014908,ENSCGOT00000019578_ENSCGOG00000008675,ENSCGOT00000019615_ENSCGOG00000008675,ENSCGOT00000019628_ENSCGOG00000008675,ENSCGOT00000019660_ENSCGOG00000008675,ENSCGOT00000019668_ENSCGOG00000008675,FBtr0083933_FBgn0024944,FBtr0083934_FBgn0024944,FBtr0330712_FBgn0024944,FBtr0346759_FBgn0024944,FBtr0330713_FBgn0024944,FBtr0110936_FBgn0024944,K02F2.6.1_WBGene00004778,Y22D7AR.13.1_WBGene00004779,Y22D7AR.13.2_WBGene00004779
ENSEBUT00000013274_ENSEBUG00000008073,1.0,0.46,0.4,0.43,0.42,0.42,0.41,0.49,0.45,0.48,0.47,0.45,0.47,0.42,0.43,0.43
ENSCINT00000026999_ENSCING00000014908,0.46,1.0,0.42,0.42,0.41,0.41,0.41,0.39,0.4,0.39,0.38,0.4,0.37,0.4,0.43,0.43
ENSCGOT00000019578_ENSCGOG00000008675,0.4,0.42,1.0,0.64,0.58,0.58,0.61,0.35,0.35,0.35,0.34,0.35,0.34,0.42,0.4,0.4
ENSCGOT00000019615_ENSCGOG00000008675,0.43,0.42,0.64,1.0,0.6,0.6,0.65,0.39,0.39,0.38,0.37,0.39,0.37,0.41,0.43,0.43
ENSCGOT00000019628_ENSCGOG00000008675,0.42,0.41,0.58,0.6,1.0,0.6,0.63,0.38,0.38,0.37,0.37,0.38,0.36,0.42,0.41,0.41
ENSCGOT00000019660_ENSCGOG00000008675,0.42,0.41,0.58,0.6,0.6,1.0,0.67,0.37,0.37,0.37,0.36,0.37,0.36,0.42,0.4,0.4
ENSCGOT00000019668_ENSCGOG00000008675,0.41,0.41,0.61,0.65,0.63,0.67,1.0,0.37,0.37,0.36,0.36,0.37,0.35,0.41,0.42,0.42
FBtr0083933_FBgn0024944,0.49,0.39,0.35,0.39,0.38,0.37,0.37,1.0,0.55,0.79,0.52,0.55,0.52,0.4,0.4,0.4
FBtr0083934_FBgn0024944,0.45,0.4,0.35,0.39,0.38,0.37,0.37,0.55,1.0,0.54,0.69,0.75,0.68,0.38,0.44,0.44
FBtr0330712_FBgn0024944,0.48,0.39,0.35,0.38,0.37,0.37,0.36,0.79,0.54,1.0,0.51,0.54,0.51,0.39,0.4,0.4
FBtr0346759_FBgn0024944,0.47,0.38,0.34,0.37,0.37,0.36,0.36,0.52,0.69,0.51,1.0,0.69,0.79,0.37,0.42,0.42
FBtr0330713_FBgn0024944,0.45,0.4,0.35,0.39,0.38,0.37,0.37,0.55,0.75,0.54,0.69,1.0,0.68,0.38,0.44,0.44
FBtr0110936_FBgn0024944,0.47,0.37,0.34,0.37,0.36,0.36,0.35,0.52,0.68,0.51,0.79,0.68,1.0,0.36,0.41,0.41
K02F2.6.1_WBGene00004778,0.42,0.4,0.42,0.41,0.42,0.42,0.41,0.4,0.38,0.39,0.37,0.38,0.36,1.0,0.36,0.36
Y22D7AR.13.1_WBGene00004779,0.43,0.43,0.4,0.43,0.41,0.4,0.42,0.4,0.44,0.4,0.42,0.44,0.41,0.36,1.0,0.91
Y22D7AR.13.2_WBGene00004779,0.43,0.43,0.4,0.43,0.41,0.4,0.42,0.4,0.44,0.4,0.42,0.44,0.41,0.36,0.91,1.0
