,FBtr0076772_FBgn0003041,FBtr0076774_FBgn0003041,FBtr0076771_FBgn0003041,FBtr0306647_FBgn0003041,FBtr0112817_FBgn0003041,FBtr0076773_FBgn0003041,T19E10.1a.1_WBGene00002297,T19E10.1a.2_WBGene00002297,T19E10.1b.1_WBGene00002297,T19E10.1b.2_WBGene00002297,ENSACAT00000016520_ENSACAG00000016429,ENSPVIT00000032372_ENSPVIG00000019616
FBtr0076772_FBgn0003041,1.0,0.89,0.83,0.71,0.78,0.78,0.53,0.53,0.53,0.53,0.47,0.52
FBtr0076774_FBgn0003041,0.89,1.0,0.78,0.72,0.76,0.84,0.53,0.53,0.53,0.53,0.47,0.52
FBtr0076771_FBgn0003041,0.83,0.78,1.0,0.8,0.88,0.87,0.62,0.62,0.62,0.62,0.56,0.61
FBtr0306647_FBgn0003041,0.71,0.72,0.8,1.0,0.79,0.82,0.64,0.64,0.64,0.64,0.55,0.6
FBtr0112817_FBgn0003041,0.78,0.76,0.88,0.79,1.0,0.86,0.63,0.63,0.62,0.62,0.56,0.61
FBtr0076773_FBgn0003041,0.78,0.84,0.87,0.82,0.86,1.0,0.62,0.62,0.62,0.62,0.56,0.61
T19E10.1a.1_WBGene00002297,0.53,0.53,0.62,0.64,0.63,0.62,1.0,0.94,0.94,0.94,0.58,0.6
T19E10.1a.2_WBGene00002297,0.53,0.53,0.62,0.64,0.63,0.62,0.94,1.0,0.94,0.94,0.58,0.6
T19E10.1b.1_WBGene00002297,0.53,0.53,0.62,0.64,0.62,0.62,0.94,0.94,1.0,0.94,0.57,0.6
T19E10.1b.2_WBGene00002297,0.53,0.53,0.62,0.64,0.62,0.62,0.94,0.94,0.94,1.0,0.57,0.6
ENSACAT00000016520_ENSACAG00000016429,0.47,0.47,0.56,0.55,0.56,0.56,0.58,0.58,0.57,0.57,1.0,0.78
ENSPVIT00000032372_ENSPVIG00000019616,0.52,0.52,0.61,0.6,0.61,0.61,0.6,0.6,0.6,0.6,0.78,1.0
