,ENSCHAT00000031166_ENSCHAG00000013415,ENSCHAT00000031195_ENSCHAG00000013415,ENSCHAT00000031251_ENSCHAG00000013415,ENSCHAT00000031488_ENSCHAG00000013415,ENSCHAT00000031666_ENSCHAG00000013415,ENSCHAT00000031794_ENSCHAG00000013415,ENSDCDT00000071556_ENSDCDG00000034298,ENSDCDT00000071563_ENSDCDG00000034298,ENSDCDT00000071566_ENSDCDG00000034298,ENSDCDT00000071572_ENSDCDG00000034298,ENSDCDT00000071577_ENSDCDG00000034298,ENSDCDT00000071579_ENSDCDG00000034298
ENSCHAT00000031166_ENSCHAG00000013415,1.0,0.88,0.88,0.54,0.57,0.55,0.85,0.9,0.86,0.79,0.7,0.46
ENSCHAT00000031195_ENSCHAG00000013415,0.88,1.0,0.82,0.56,0.59,0.57,0.83,0.86,0.9,0.77,0.73,0.48
ENSCHAT00000031251_ENSCHAG00000013415,0.88,0.82,1.0,0.56,0.59,0.57,0.79,0.84,0.8,0.84,0.73,0.48
ENSCHAT00000031488_ENSCHAG00000013415,0.54,0.56,0.56,1.0,0.52,0.48,0.52,0.54,0.56,0.54,0.66,0.54
ENSCHAT00000031666_ENSCHAG00000013415,0.57,0.59,0.59,0.52,1.0,0.84,0.55,0.57,0.59,0.57,0.72,0.48
ENSCHAT00000031794_ENSCHAG00000013415,0.55,0.57,0.57,0.48,0.84,1.0,0.53,0.55,0.57,0.55,0.65,0.42
ENSDCDT00000071556_ENSDCDG00000034298,0.85,0.83,0.79,0.52,0.55,0.53,1.0,0.9,0.87,0.9,0.69,0.45
ENSDCDT00000071563_ENSDCDG00000034298,0.9,0.86,0.84,0.54,0.57,0.55,0.9,1.0,0.9,0.85,0.72,0.46
ENSDCDT00000071566_ENSDCDG00000034298,0.86,0.9,0.8,0.56,0.59,0.57,0.87,0.9,1.0,0.81,0.75,0.48
ENSDCDT00000071572_ENSDCDG00000034298,0.79,0.77,0.84,0.54,0.57,0.55,0.9,0.85,0.81,1.0,0.72,0.46
ENSDCDT00000071577_ENSDCDG00000034298,0.7,0.73,0.73,0.66,0.72,0.65,0.69,0.72,0.75,0.72,1.0,0.59
ENSDCDT00000071579_ENSDCDG00000034298,0.46,0.48,0.48,0.54,0.48,0.42,0.45,0.46,0.48,0.46,0.59,1.0
