,ENSCHAT00000052393_ENSCHAG00000022316,ENSCHAT00000052434_ENSCHAG00000022316,ENSCHAT00000052492_ENSCHAG00000022316,ENSCHAT00000052784_ENSCHAG00000022316,ENSCHAT00000052816_ENSCHAG00000022316,ENSCHAT00000052891_ENSCHAG00000022316,ENSCHAT00000052941_ENSCHAG00000022316,ENSDCDT00000071634_ENSDCDG00000034336,ENSDCDT00000071636_ENSDCDG00000034336,ENSDCDT00000071669_ENSDCDG00000034336,ENSDCDT00000071680_ENSDCDG00000034336,ENSDCDT00000071683_ENSDCDG00000034336,ENSDCDT00000071693_ENSDCDG00000034336,ENSDCDT00000071694_ENSDCDG00000034336,ENSDCDT00000071701_ENSDCDG00000034336,ENSDCDT00000071709_ENSDCDG00000034336,ENSDCDT00000071721_ENSDCDG00000034336,ENSAMXT00000038257_ENSAMXG00000004272,ENSAMXT00000046720_ENSAMXG00000004272,ENSAMXT00000004413_ENSAMXG00000004272,ENSAMXT00000052145_ENSAMXG00000004272
ENSCHAT00000052393_ENSCHAG00000022316,1.0,0.8,0.8,0.79,0.68,0.79,0.71,0.74,0.67,0.67,0.67,0.72,0.67,0.62,0.67,0.65,0.7,0.79,0.74,0.68,0.68
ENSCHAT00000052434_ENSCHAG00000022316,0.8,1.0,0.69,0.69,0.59,0.69,0.6,0.63,0.57,0.57,0.57,0.62,0.56,0.52,0.56,0.56,0.6,0.69,0.64,0.59,0.59
ENSCHAT00000052492_ENSCHAG00000022316,0.8,0.69,1.0,0.71,0.62,0.71,0.7,0.65,0.63,0.62,0.62,0.63,0.68,0.6,0.66,0.6,0.64,0.71,0.67,0.62,0.61
ENSCHAT00000052784_ENSCHAG00000022316,0.79,0.69,0.71,1.0,0.81,0.94,0.68,0.69,0.69,0.73,0.73,0.69,0.66,0.62,0.64,0.69,0.74,0.94,0.88,0.81,0.8
ENSCHAT00000052816_ENSCHAG00000022316,0.68,0.59,0.62,0.81,1.0,0.81,0.59,0.59,0.59,0.72,0.62,0.59,0.57,0.55,0.56,0.69,0.63,0.81,0.87,0.96,0.81
ENSCHAT00000052891_ENSCHAG00000022316,0.79,0.69,0.71,0.94,0.81,1.0,0.68,0.69,0.69,0.73,0.73,0.69,0.66,0.62,0.64,0.69,0.74,0.94,0.88,0.81,0.8
ENSCHAT00000052941_ENSCHAG00000022316,0.71,0.6,0.7,0.68,0.59,0.68,1.0,0.72,0.65,0.67,0.67,0.7,0.77,0.67,0.81,0.62,0.67,0.68,0.63,0.59,0.56
ENSDCDT00000071634_ENSDCDG00000034336,0.74,0.63,0.65,0.69,0.59,0.69,0.72,1.0,0.74,0.74,0.74,0.75,0.72,0.67,0.74,0.72,0.77,0.69,0.65,0.59,0.59
ENSDCDT00000071636_ENSDCDG00000034336,0.67,0.57,0.63,0.69,0.59,0.69,0.65,0.74,1.0,0.74,0.74,0.68,0.67,0.62,0.67,0.72,0.77,0.69,0.65,0.59,0.59
ENSDCDT00000071669_ENSDCDG00000034336,0.67,0.57,0.62,0.73,0.72,0.73,0.67,0.74,0.74,1.0,0.78,0.7,0.69,0.64,0.69,0.85,0.79,0.73,0.79,0.72,0.7
ENSDCDT00000071680_ENSDCDG00000034336,0.67,0.57,0.62,0.73,0.62,0.73,0.67,0.74,0.74,0.78,1.0,0.77,0.69,0.73,0.69,0.74,0.79,0.73,0.69,0.62,0.61
ENSDCDT00000071683_ENSDCDG00000034336,0.72,0.62,0.63,0.69,0.59,0.69,0.7,0.75,0.68,0.7,0.77,1.0,0.67,0.74,0.7,0.66,0.71,0.69,0.65,0.59,0.57
ENSDCDT00000071693_ENSDCDG00000034336,0.67,0.56,0.68,0.66,0.57,0.66,0.77,0.72,0.67,0.69,0.69,0.67,1.0,0.7,0.75,0.65,0.7,0.66,0.62,0.57,0.54
ENSDCDT00000071694_ENSDCDG00000034336,0.62,0.52,0.6,0.62,0.55,0.62,0.67,0.67,0.62,0.64,0.73,0.74,0.7,1.0,0.67,0.6,0.65,0.62,0.57,0.55,0.5
ENSDCDT00000071701_ENSDCDG00000034336,0.67,0.56,0.66,0.64,0.56,0.64,0.81,0.74,0.67,0.69,0.69,0.7,0.75,0.67,1.0,0.65,0.7,0.64,0.6,0.56,0.52
ENSDCDT00000071709_ENSDCDG00000034336,0.65,0.56,0.6,0.69,0.69,0.69,0.62,0.72,0.72,0.85,0.74,0.66,0.65,0.6,0.65,1.0,0.83,0.69,0.75,0.69,0.73
ENSDCDT00000071721_ENSDCDG00000034336,0.7,0.6,0.64,0.74,0.63,0.74,0.67,0.77,0.77,0.79,0.79,0.71,0.7,0.65,0.7,0.83,1.0,0.74,0.69,0.63,0.67
ENSAMXT00000038257_ENSAMXG00000004272,0.79,0.69,0.71,0.94,0.81,0.94,0.68,0.69,0.69,0.73,0.73,0.69,0.66,0.62,0.64,0.69,0.74,1.0,0.88,0.81,0.8
ENSAMXT00000046720_ENSAMXG00000004272,0.74,0.64,0.67,0.88,0.87,0.88,0.63,0.65,0.65,0.79,0.69,0.65,0.62,0.57,0.6,0.75,0.69,0.88,1.0,0.87,0.85
ENSAMXT00000004413_ENSAMXG00000004272,0.68,0.59,0.62,0.81,0.96,0.81,0.59,0.59,0.59,0.72,0.62,0.59,0.57,0.55,0.56,0.69,0.63,0.81,0.87,1.0,0.81
ENSAMXT00000052145_ENSAMXG00000004272,0.68,0.59,0.61,0.8,0.81,0.8,0.56,0.59,0.59,0.7,0.61,0.57,0.54,0.5,0.52,0.73,0.67,0.8,0.85,0.81,1.0
