,ENSPTET00000015485_ENSPTEG00000011573,ENSRROT00000053142_ENSRROG00000038182,ENSTGET00000007917_ENSTGEG00000005392,ENSPPAT00000063901_ENSPPAG00000043120,ENSPPYT00000033219_ENSPPYG00000029410,ENSMFAT00000003645_ENSMFAG00000041991,ENSMNET00000061914_ENSMNEG00000041806,ENSTGET00000000286_ENSTGEG00000000235,ENSPANT00000049692_ENSPANG00000033754,ENSPPAT00000031915_ENSPPAG00000027860,ENSPTRT00000095267_ENSPTRG00000045810,ENSPTRT00000079446_ENSPTRG00000045810,ENSNLET00000052863_ENSNLEG00000030599,ENSGGOT00000009242_ENSGGOG00000009208,ENSPTRT00000107696_ENSPTRG00000043891,ENSPPYT00000021213_ENSPPYG00000018201,ENSPTET00000016932_ENSPTEG00000012650
ENSPTET00000015485_ENSPTEG00000011573,1.0,0.72,0.74,0.73,0.41,0.61,0.61,0.61,0.61,0.6,0.59,0.6,0.6,0.32,0.31,0.36,0.53
ENSRROT00000053142_ENSRROG00000038182,0.72,1.0,0.71,0.7,0.44,0.59,0.59,0.59,0.59,0.63,0.59,0.63,0.63,0.35,0.34,0.39,0.53
ENSTGET00000007917_ENSTGEG00000005392,0.74,0.71,1.0,0.74,0.41,0.62,0.62,0.62,0.62,0.6,0.6,0.6,0.61,0.32,0.31,0.36,0.54
ENSPPAT00000063901_ENSPPAG00000043120,0.73,0.7,0.74,1.0,0.42,0.62,0.62,0.62,0.62,0.61,0.6,0.61,0.61,0.32,0.31,0.36,0.54
ENSPPYT00000033219_ENSPPYG00000029410,0.41,0.44,0.41,0.42,1.0,0.41,0.41,0.41,0.41,0.5,0.4,0.5,0.51,0.26,0.34,0.26,0.36
ENSMFAT00000003645_ENSMFAG00000041991,0.61,0.59,0.62,0.62,0.41,1.0,0.75,0.75,0.74,0.6,0.68,0.6,0.61,0.21,0.2,0.25,0.47
ENSMNET00000061914_ENSMNEG00000041806,0.61,0.59,0.62,0.62,0.41,0.75,1.0,0.74,0.74,0.6,0.68,0.6,0.61,0.21,0.2,0.25,0.47
ENSTGET00000000286_ENSTGEG00000000235,0.61,0.59,0.62,0.62,0.41,0.75,0.74,1.0,0.75,0.6,0.69,0.6,0.61,0.21,0.2,0.25,0.47
ENSPANT00000049692_ENSPANG00000033754,0.61,0.59,0.62,0.62,0.41,0.74,0.74,0.75,1.0,0.6,0.69,0.6,0.61,0.21,0.2,0.25,0.47
ENSPPAT00000031915_ENSPPAG00000027860,0.6,0.63,0.6,0.61,0.5,0.6,0.6,0.6,0.6,1.0,0.63,0.75,0.72,0.33,0.32,0.37,0.5
ENSPTRT00000095267_ENSPTRG00000045810,0.59,0.59,0.6,0.6,0.4,0.68,0.68,0.69,0.69,0.63,1.0,0.63,0.63,0.22,0.21,0.26,0.46
ENSPTRT00000079446_ENSPTRG00000045810,0.6,0.63,0.6,0.61,0.5,0.6,0.6,0.6,0.6,0.75,0.63,1.0,0.72,0.33,0.32,0.37,0.5
ENSNLET00000052863_ENSNLEG00000030599,0.6,0.63,0.61,0.61,0.51,0.61,0.61,0.61,0.61,0.72,0.63,0.72,1.0,0.31,0.3,0.35,0.5
ENSGGOT00000009242_ENSGGOG00000009208,0.32,0.35,0.32,0.32,0.26,0.21,0.21,0.21,0.21,0.33,0.22,0.33,0.31,1.0,0.68,0.69,0.32
ENSPTRT00000107696_ENSPTRG00000043891,0.31,0.34,0.31,0.31,0.34,0.2,0.2,0.2,0.2,0.32,0.21,0.32,0.3,0.68,1.0,0.82,0.3
ENSPPYT00000021213_ENSPPYG00000018201,0.36,0.39,0.36,0.36,0.26,0.25,0.25,0.25,0.25,0.37,0.26,0.37,0.35,0.69,0.82,1.0,0.35
ENSPTET00000016932_ENSPTEG00000012650,0.53,0.53,0.54,0.54,0.36,0.47,0.47,0.47,0.47,0.5,0.46,0.5,0.5,0.32,0.3,0.35,1.0
