,ENSMICT00000027888_ENSMICG00000031856,ENSMICT00000064689_ENSMICG00000031856,ENSMICT00000003946_ENSMICG00000031856,ENSPCOT00000024331_ENSPCOG00000018506,ENSPCOT00000024332_ENSPCOG00000018506,ENSPCOT00000024335_ENSPCOG00000018506,ENSPSMT00000003856_ENSPSMG00000002587,ENSPSMT00000003859_ENSPSMG00000002587,ENSOGAT00000032847_ENSOGAG00000002616,ENSOGAT00000002619_ENSOGAG00000002616,ENSTSYT00000038098_ENSTSYG00000006357,ENSTSYT00000048619_ENSTSYG00000006357,ENSTSYT00000006355_ENSTSYG00000006357
ENSMICT00000027888_ENSMICG00000031856,1.0,0.68,0.63,0.67,0.99,0.63,0.99,0.54,0.57,0.66,0.66,0.98,0.6
ENSMICT00000064689_ENSMICG00000031856,0.68,1.0,0.9,1.0,0.67,0.9,0.67,0.75,0.81,0.99,0.98,0.66,0.87
ENSMICT00000003946_ENSMICG00000031856,0.63,0.9,1.0,0.89,0.62,0.94,0.62,0.76,0.85,0.89,0.88,0.61,0.93
ENSPCOT00000024331_ENSPCOG00000018506,0.67,1.0,0.89,1.0,0.68,0.9,0.67,0.75,0.8,0.99,0.98,0.66,0.87
ENSPCOT00000024332_ENSPCOG00000018506,0.99,0.67,0.62,0.68,1.0,0.63,0.99,0.54,0.57,0.66,0.66,0.98,0.6
ENSPCOT00000024335_ENSPCOG00000018506,0.63,0.9,0.94,0.9,0.63,1.0,0.62,0.77,0.85,0.89,0.88,0.61,0.93
ENSPSMT00000003856_ENSPSMG00000002587,0.99,0.67,0.62,0.67,0.99,0.62,1.0,0.55,0.57,0.66,0.66,0.98,0.6
ENSPSMT00000003859_ENSPSMG00000002587,0.54,0.75,0.76,0.75,0.54,0.77,0.55,1.0,0.72,0.75,0.74,0.53,0.75
ENSOGAT00000032847_ENSOGAG00000002616,0.57,0.81,0.85,0.8,0.57,0.85,0.57,0.72,1.0,0.82,0.8,0.56,0.85
ENSOGAT00000002619_ENSOGAG00000002616,0.66,0.99,0.89,0.99,0.66,0.89,0.66,0.75,0.82,1.0,0.98,0.65,0.87
ENSTSYT00000038098_ENSTSYG00000006357,0.66,0.98,0.88,0.98,0.66,0.88,0.66,0.74,0.8,0.98,1.0,0.68,0.89
ENSTSYT00000048619_ENSTSYG00000006357,0.98,0.66,0.61,0.66,0.98,0.61,0.98,0.53,0.56,0.65,0.68,1.0,0.62
ENSTSYT00000006355_ENSTSYG00000006357,0.6,0.87,0.93,0.87,0.6,0.93,0.6,0.75,0.85,0.87,0.89,0.62,1.0
