,ENSDCDT00000002267_ENSDCDG00000000473,ENSDCDT00000002380_ENSDCDG00000000473,ENSDCDT00000002384_ENSDCDG00000000473,ENSDCDT00000002393_ENSDCDG00000000473,ENSDCDT00000002420_ENSDCDG00000000473,ENSEEET00000000368_ENSEEEG00000000202,ENSEEET00000000392_ENSEEEG00000000202,ENSEEET00000000400_ENSEEEG00000000202,ENSEEET00000000421_ENSEEEG00000000202,ENSEEET00000000434_ENSEEEG00000000202,ENSIPUT00000003272_ENSIPUG00000002207,ENSAMXT00000054858_ENSAMXG00000034092,ENSAMXT00000033065_ENSAMXG00000034092,ENSAMXT00000049370_ENSAMXG00000034092
ENSDCDT00000002267_ENSDCDG00000000473,1.0,0.82,0.87,0.91,0.79,0.54,0.73,0.65,0.65,0.55,0.69,0.74,0.74,0.73
ENSDCDT00000002380_ENSDCDG00000000473,0.82,1.0,0.86,0.85,0.74,0.55,0.72,0.62,0.66,0.54,0.79,0.76,0.76,0.74
ENSDCDT00000002384_ENSDCDG00000000473,0.87,0.86,1.0,0.87,0.75,0.56,0.75,0.67,0.67,0.6,0.72,0.78,0.78,0.76
ENSDCDT00000002393_ENSDCDG00000000473,0.91,0.85,0.87,1.0,0.85,0.55,0.71,0.65,0.64,0.56,0.72,0.77,0.77,0.75
ENSDCDT00000002420_ENSDCDG00000000473,0.79,0.74,0.75,0.85,1.0,0.55,0.7,0.61,0.62,0.54,0.7,0.73,0.73,0.71
ENSEEET00000000368_ENSEEEG00000000202,0.54,0.55,0.56,0.55,0.55,1.0,0.66,0.74,0.7,0.85,0.56,0.59,0.64,0.57
ENSEEET00000000392_ENSEEEG00000000202,0.73,0.72,0.75,0.71,0.7,0.66,1.0,0.76,0.79,0.64,0.75,0.77,0.77,0.76
ENSEEET00000000400_ENSEEEG00000000202,0.65,0.62,0.67,0.65,0.61,0.74,0.76,1.0,0.82,0.76,0.64,0.7,0.7,0.68
ENSEEET00000000421_ENSEEEG00000000202,0.65,0.66,0.67,0.64,0.62,0.7,0.79,0.82,1.0,0.74,0.66,0.69,0.69,0.67
ENSEEET00000000434_ENSEEEG00000000202,0.55,0.54,0.6,0.56,0.54,0.85,0.64,0.76,0.74,1.0,0.55,0.6,0.6,0.59
ENSIPUT00000003272_ENSIPUG00000002207,0.69,0.79,0.72,0.72,0.7,0.56,0.75,0.64,0.66,0.55,1.0,0.79,0.79,0.77
ENSAMXT00000054858_ENSAMXG00000034092,0.74,0.76,0.78,0.77,0.73,0.59,0.77,0.7,0.69,0.6,0.79,1.0,0.89,0.97
ENSAMXT00000033065_ENSAMXG00000034092,0.74,0.76,0.78,0.77,0.73,0.64,0.77,0.7,0.69,0.6,0.79,0.89,1.0,0.87
ENSAMXT00000049370_ENSAMXG00000034092,0.73,0.74,0.76,0.75,0.71,0.57,0.76,0.68,0.67,0.59,0.77,0.97,0.87,1.0
