,ENSSFOT00015001619_ENSSFOG00015001062,ENSSFOT00015001633_ENSSFOG00015001062,ENSPKIT00000009466_ENSPKIG00000010222,ENSTRUT00000010202_ENSTRUG00000004278,ENSTNIT00000002339_ENSTNIG00000017120,ENSTNIT00000004082_ENSTNIG00000017120,ENSTNIT00000020486_ENSTNIG00000017120,ENSLBET00000033014_ENSLBEG00000023820,ENSCVAT00000003037_ENSCVAG00000009298,ENSFHET00000017353_ENSFHEG00000011937,ENSGAFT00000002926_ENSGAFG00000001874,ENSGAFT00000002940_ENSGAFG00000001874,ENSXMAT00000002184_ENSXMAG00000002157,ENSPFOT00000027760_ENSPFOG00000023284,ENSPLAT00000001895_ENSPLAG00000011751,ENSPLAT00000001923_ENSPLAG00000011751,ENSPMET00000023471_ENSPMEG00000017858,ENSPMET00000023507_ENSPMEG00000017858,ENSPRET00000010790_ENSPREG00000007247
ENSSFOT00015001619_ENSSFOG00015001062,1.0,0.93,0.81,0.56,0.65,0.7,0.66,0.65,0.6,0.46,0.7,0.72,0.66,0.72,0.72,0.68,0.67,0.72,0.7
ENSSFOT00015001633_ENSSFOG00015001062,0.93,1.0,0.78,0.56,0.65,0.67,0.67,0.66,0.6,0.47,0.71,0.69,0.69,0.7,0.7,0.68,0.68,0.7,0.73
ENSPKIT00000009466_ENSPKIG00000010222,0.81,0.78,1.0,0.55,0.63,0.68,0.65,0.64,0.6,0.46,0.7,0.7,0.66,0.72,0.72,0.67,0.67,0.72,0.7
ENSTRUT00000010202_ENSTRUG00000004278,0.56,0.56,0.55,1.0,0.58,0.6,0.6,0.61,0.59,0.54,0.59,0.57,0.6,0.56,0.56,0.61,0.61,0.56,0.59
ENSTNIT00000002339_ENSTNIG00000017120,0.65,0.65,0.63,0.58,1.0,0.85,0.89,0.71,0.61,0.42,0.71,0.69,0.66,0.72,0.72,0.67,0.67,0.72,0.7
ENSTNIT00000004082_ENSTNIG00000017120,0.7,0.67,0.68,0.6,0.85,1.0,0.93,0.74,0.62,0.46,0.71,0.76,0.68,0.77,0.77,0.68,0.69,0.77,0.71
ENSTNIT00000020486_ENSTNIG00000017120,0.66,0.67,0.65,0.6,0.89,0.93,1.0,0.74,0.63,0.47,0.72,0.73,0.68,0.73,0.73,0.69,0.69,0.73,0.71
ENSLBET00000033014_ENSLBEG00000023820,0.65,0.66,0.64,0.61,0.71,0.74,0.74,1.0,0.69,0.51,0.73,0.73,0.74,0.74,0.74,0.76,0.76,0.74,0.72
ENSCVAT00000003037_ENSCVAG00000009298,0.6,0.6,0.6,0.59,0.61,0.62,0.63,0.69,1.0,0.56,0.72,0.71,0.75,0.68,0.68,0.76,0.77,0.69,0.71
ENSFHET00000017353_ENSFHEG00000011937,0.46,0.47,0.46,0.54,0.42,0.46,0.47,0.51,0.56,1.0,0.54,0.54,0.56,0.49,0.49,0.57,0.57,0.49,0.54
ENSGAFT00000002926_ENSGAFG00000001874,0.7,0.71,0.7,0.59,0.71,0.71,0.72,0.73,0.72,0.54,1.0,0.89,0.84,0.85,0.85,0.88,0.87,0.85,0.91
ENSGAFT00000002940_ENSGAFG00000001874,0.72,0.69,0.7,0.57,0.69,0.76,0.73,0.73,0.71,0.54,0.89,1.0,0.82,0.86,0.86,0.83,0.83,0.86,0.85
ENSXMAT00000002184_ENSXMAG00000002157,0.66,0.69,0.66,0.6,0.66,0.68,0.68,0.74,0.75,0.56,0.84,0.82,1.0,0.8,0.8,0.9,0.91,0.81,0.86
ENSPFOT00000027760_ENSPFOG00000023284,0.72,0.7,0.72,0.56,0.72,0.77,0.73,0.74,0.68,0.49,0.85,0.86,0.8,1.0,0.97,0.83,0.84,0.96,0.86
ENSPLAT00000001895_ENSPLAG00000011751,0.72,0.7,0.72,0.56,0.72,0.77,0.73,0.74,0.68,0.49,0.85,0.86,0.8,0.97,1.0,0.83,0.83,0.96,0.86
ENSPLAT00000001923_ENSPLAG00000011751,0.68,0.68,0.67,0.61,0.67,0.68,0.69,0.76,0.76,0.57,0.88,0.83,0.9,0.83,0.83,1.0,0.96,0.83,0.87
ENSPMET00000023471_ENSPMEG00000017858,0.67,0.68,0.67,0.61,0.67,0.69,0.69,0.76,0.77,0.57,0.87,0.83,0.91,0.84,0.83,0.96,1.0,0.84,0.86
ENSPMET00000023507_ENSPMEG00000017858,0.72,0.7,0.72,0.56,0.72,0.77,0.73,0.74,0.69,0.49,0.85,0.86,0.81,0.96,0.96,0.83,0.84,1.0,0.86
ENSPRET00000010790_ENSPREG00000007247,0.7,0.73,0.7,0.59,0.7,0.71,0.71,0.72,0.71,0.54,0.91,0.85,0.86,0.86,0.86,0.87,0.86,0.86,1.0
