,C30C11.4.1_WBGene00016250,C30C11.4.2_WBGene00016250,FBtr0304035_FBgn0026418,FBtr0075772_FBgn0026418,FBtr0075771_FBgn0026418,FBtr0333051_FBgn0026418,FBtr0075773_FBgn0026418,FBtr0304036_FBgn0026418,FBtr0304034_FBgn0026418,FBtr0304037_FBgn0026418,ENSCINT00000001654_ENSCING00000000914,ENSCSAVT00000017790_ENSCSAVG00000010360,ENSCSAVT00000017791_ENSCSAVG00000010360,ENSCSAVT00000017792_ENSCSAVG00000010360,ENSCSAVT00000017793_ENSCSAVG00000010360,ENSCSAVT00000017794_ENSCSAVG00000010360,ENSCSAVT00000017795_ENSCSAVG00000010360,ENSCSAVT00000017796_ENSCSAVG00000010360,ENSCSAVT00000017797_ENSCSAVG00000010360,ENSCSAVT00000017798_ENSCSAVG00000010360,YPL106C_mRNA_YPL106C,YBR169C_mRNA_YBR169C
C30C11.4.1_WBGene00016250,1.0,0.98,0.53,0.53,0.53,0.53,0.53,0.52,0.53,0.52,0.47,0.47,0.48,0.47,0.47,0.45,0.49,0.48,0.47,0.47,0.4,0.4
C30C11.4.2_WBGene00016250,0.98,1.0,0.53,0.53,0.53,0.53,0.53,0.52,0.53,0.52,0.47,0.47,0.48,0.47,0.47,0.45,0.49,0.48,0.47,0.47,0.4,0.4
FBtr0304035_FBgn0026418,0.53,0.53,1.0,0.96,0.96,0.96,0.96,0.94,0.96,0.94,0.49,0.49,0.49,0.49,0.48,0.49,0.51,0.5,0.5,0.47,0.43,0.43
FBtr0075772_FBgn0026418,0.53,0.53,0.96,1.0,0.96,0.96,0.96,0.94,0.96,0.94,0.49,0.49,0.49,0.49,0.48,0.49,0.51,0.5,0.5,0.47,0.43,0.43
FBtr0075771_FBgn0026418,0.53,0.53,0.96,0.96,1.0,0.96,0.96,0.94,0.96,0.94,0.49,0.49,0.49,0.49,0.48,0.49,0.51,0.5,0.5,0.47,0.43,0.43
FBtr0333051_FBgn0026418,0.53,0.53,0.96,0.96,0.96,1.0,0.96,0.94,0.96,0.94,0.49,0.49,0.49,0.49,0.48,0.49,0.51,0.5,0.5,0.47,0.43,0.43
FBtr0075773_FBgn0026418,0.53,0.53,0.96,0.96,0.96,0.96,1.0,0.94,0.96,0.94,0.49,0.49,0.49,0.49,0.48,0.49,0.51,0.5,0.5,0.47,0.43,0.43
FBtr0304036_FBgn0026418,0.52,0.52,0.94,0.94,0.94,0.94,0.94,1.0,0.94,0.96,0.49,0.5,0.48,0.48,0.49,0.49,0.5,0.51,0.5,0.46,0.44,0.44
FBtr0304034_FBgn0026418,0.53,0.53,0.96,0.96,0.96,0.96,0.96,0.94,1.0,0.94,0.49,0.49,0.49,0.49,0.48,0.49,0.51,0.5,0.5,0.47,0.43,0.43
FBtr0304037_FBgn0026418,0.52,0.52,0.94,0.94,0.94,0.94,0.94,0.96,0.94,1.0,0.49,0.5,0.48,0.48,0.49,0.49,0.5,0.51,0.5,0.46,0.44,0.44
ENSCINT00000001654_ENSCING00000000914,0.47,0.47,0.49,0.49,0.49,0.49,0.49,0.49,0.49,0.49,1.0,0.86,0.84,0.83,0.84,0.8,0.82,0.82,0.84,0.79,0.42,0.42
ENSCSAVT00000017790_ENSCSAVG00000010360,0.47,0.47,0.49,0.49,0.49,0.49,0.49,0.5,0.49,0.5,0.86,1.0,0.94,0.93,0.94,0.9,0.92,0.91,0.94,0.87,0.42,0.42
ENSCSAVT00000017791_ENSCSAVG00000010360,0.48,0.48,0.49,0.49,0.49,0.49,0.49,0.48,0.49,0.48,0.84,0.94,1.0,0.95,0.92,0.88,0.96,0.89,0.93,0.89,0.41,0.41
ENSCSAVT00000017792_ENSCSAVG00000010360,0.47,0.47,0.49,0.49,0.49,0.49,0.49,0.48,0.49,0.48,0.83,0.93,0.95,1.0,0.91,0.87,0.93,0.88,0.92,0.88,0.4,0.4
ENSCSAVT00000017793_ENSCSAVG00000010360,0.47,0.47,0.48,0.48,0.48,0.48,0.48,0.49,0.48,0.49,0.84,0.94,0.92,0.91,1.0,0.88,0.9,0.89,0.92,0.86,0.41,0.41
ENSCSAVT00000017794_ENSCSAVG00000010360,0.45,0.45,0.49,0.49,0.49,0.49,0.49,0.49,0.49,0.49,0.8,0.9,0.88,0.87,0.88,1.0,0.86,0.85,0.88,0.84,0.42,0.42
ENSCSAVT00000017795_ENSCSAVG00000010360,0.49,0.49,0.51,0.51,0.51,0.51,0.51,0.5,0.51,0.5,0.82,0.92,0.96,0.93,0.9,0.86,1.0,0.87,0.91,0.87,0.42,0.42
ENSCSAVT00000017796_ENSCSAVG00000010360,0.48,0.48,0.5,0.5,0.5,0.5,0.5,0.51,0.5,0.51,0.82,0.91,0.89,0.88,0.89,0.85,0.87,1.0,0.89,0.83,0.43,0.43
ENSCSAVT00000017797_ENSCSAVG00000010360,0.47,0.47,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.84,0.94,0.93,0.92,0.92,0.88,0.91,0.89,1.0,0.88,0.42,0.42
ENSCSAVT00000017798_ENSCSAVG00000010360,0.47,0.47,0.47,0.47,0.47,0.47,0.47,0.46,0.47,0.46,0.79,0.87,0.89,0.88,0.86,0.84,0.87,0.83,0.88,1.0,0.39,0.39
YPL106C_mRNA_YPL106C,0.4,0.4,0.43,0.43,0.43,0.43,0.43,0.44,0.43,0.44,0.42,0.42,0.41,0.4,0.41,0.42,0.42,0.43,0.42,0.39,1.0,0.95
YBR169C_mRNA_YBR169C,0.4,0.4,0.43,0.43,0.43,0.43,0.43,0.44,0.43,0.44,0.42,0.42,0.41,0.4,0.41,0.42,0.42,0.43,0.42,0.39,0.95,1.0
