,ENSPPAT00000039380_ENSPPAG00000031448,ENSPPAT00000039385_ENSPPAG00000031448,ENSPPAT00000039401_ENSPPAG00000031448,ENSPPAT00000039414_ENSPPAG00000031448,ENSPPAT00000039418_ENSPPAG00000031448,ENSPTRT00000102409_ENSPTRG00000011112,ENSPTRT00000088165_ENSPTRG00000011112,ENSPTRT00000065793_ENSPTRG00000011112,ENSPTRT00000087693_ENSPTRG00000011112,ENSPTRT00000094662_ENSPTRG00000011112,ENSGGOT00000028260_ENSGGOG00000008607,ENSGGOT00000060611_ENSGGOG00000008607,ENSGGOT00000034660_ENSGGOG00000008607,ENST00000589799_ENSG00000159917,ENST00000589248_ENSG00000159917
ENSPPAT00000039380_ENSPPAG00000031448,1.0,0.91,0.23,0.88,0.87,1.0,0.91,0.25,0.88,0.87,1.0,0.91,0.25,1.0,0.91
ENSPPAT00000039385_ENSPPAG00000031448,0.91,1.0,0.22,0.88,0.86,0.91,1.0,0.25,0.88,0.86,0.91,1.0,0.25,0.91,1.0
ENSPPAT00000039401_ENSPPAG00000031448,0.23,0.22,1.0,0.2,0.19,0.23,0.22,0.97,0.2,0.19,0.23,0.22,0.97,0.23,0.22
ENSPPAT00000039414_ENSPPAG00000031448,0.88,0.88,0.2,1.0,0.89,0.88,0.88,0.22,1.0,0.89,0.88,0.87,0.22,0.88,0.88
ENSPPAT00000039418_ENSPPAG00000031448,0.87,0.86,0.19,0.89,1.0,0.87,0.86,0.21,0.89,0.98,0.87,0.86,0.21,0.87,0.86
ENSPTRT00000102409_ENSPTRG00000011112,1.0,0.91,0.23,0.88,0.87,1.0,0.91,0.25,0.88,0.87,1.0,0.91,0.25,1.0,0.91
ENSPTRT00000088165_ENSPTRG00000011112,0.91,1.0,0.22,0.88,0.86,0.91,1.0,0.25,0.88,0.86,0.91,1.0,0.25,0.91,1.0
ENSPTRT00000065793_ENSPTRG00000011112,0.25,0.25,0.97,0.22,0.21,0.25,0.25,1.0,0.22,0.21,0.25,0.25,1.0,0.25,0.25
ENSPTRT00000087693_ENSPTRG00000011112,0.88,0.88,0.2,1.0,0.89,0.88,0.88,0.22,1.0,0.89,0.88,0.87,0.22,0.88,0.88
ENSPTRT00000094662_ENSPTRG00000011112,0.87,0.86,0.19,0.89,0.98,0.87,0.86,0.21,0.89,1.0,0.87,0.86,0.21,0.87,0.86
ENSGGOT00000028260_ENSGGOG00000008607,1.0,0.91,0.23,0.88,0.87,1.0,0.91,0.25,0.88,0.87,1.0,0.91,0.25,1.0,0.91
ENSGGOT00000060611_ENSGGOG00000008607,0.91,1.0,0.22,0.87,0.86,0.91,1.0,0.25,0.87,0.86,0.91,1.0,0.25,0.91,1.0
ENSGGOT00000034660_ENSGGOG00000008607,0.25,0.25,0.97,0.22,0.21,0.25,0.25,1.0,0.22,0.21,0.25,0.25,1.0,0.25,0.25
ENST00000589799_ENSG00000159917,1.0,0.91,0.23,0.88,0.87,1.0,0.91,0.25,0.88,0.87,1.0,0.91,0.25,1.0,0.91
ENST00000589248_ENSG00000159917,0.91,1.0,0.22,0.88,0.86,0.91,1.0,0.25,0.88,0.86,0.91,1.0,0.25,0.91,1.0
