,ENST00000356562_ENSG00000180083,ENST00000324384_ENSG00000180083,ENST00000618797_ENSG00000180083,ENSGGOT00000032355_ENSGGOG00000022748,ENSPPAT00000058999_ENSPPAG00000040844,ENSPTRT00000025231_ENSPTRG00000013557,ENSPTRT00000100513_ENSPTRG00000013557,ENSPPYT00000012847_ENSPPYG00000011065,ENSNLET00000008614_ENSNLEG00000006756,ENSMLET00000030362_ENSMLEG00000027500,ENSCATT00000053163_ENSCATG00000037724,ENSTGET00000029329_ENSTGEG00000019887,ENSPANT00000006684_ENSPANG00000021099,ENSMMUT00000081251_ENSMMUG00000060335,ENSMNET00000002853_ENSMNEG00000002643,ENSMFAT00000016747_ENSMFAG00000040005,ENSRBIT00000022866_ENSRBIG00000020823,ENSRROT00000050221_ENSRROG00000036733,ENSPTET00000033592_ENSPTEG00000024193
ENST00000356562_ENSG00000180083,1.0,1.0,1.0,1.0,1.0,1.0,0.54,1.0,1.0,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99
ENST00000324384_ENSG00000180083,1.0,1.0,1.0,1.0,1.0,1.0,0.54,1.0,1.0,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99
ENST00000618797_ENSG00000180083,1.0,1.0,1.0,1.0,1.0,1.0,0.54,1.0,1.0,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99
ENSGGOT00000032355_ENSGGOG00000022748,1.0,1.0,1.0,1.0,1.0,1.0,0.54,1.0,1.0,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99
ENSPPAT00000058999_ENSPPAG00000040844,1.0,1.0,1.0,1.0,1.0,1.0,0.54,1.0,1.0,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99
ENSPTRT00000025231_ENSPTRG00000013557,1.0,1.0,1.0,1.0,1.0,1.0,0.54,1.0,1.0,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99
ENSPTRT00000100513_ENSPTRG00000013557,0.54,0.54,0.54,0.54,0.54,0.54,1.0,0.54,0.54,0.54,0.54,0.54,0.54,0.54,0.54,0.54,0.54,0.54,0.53
ENSPPYT00000012847_ENSPPYG00000011065,1.0,1.0,1.0,1.0,1.0,1.0,0.54,1.0,1.0,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99
ENSNLET00000008614_ENSNLEG00000006756,1.0,1.0,1.0,1.0,1.0,1.0,0.54,1.0,1.0,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99
ENSMLET00000030362_ENSMLEG00000027500,0.99,0.99,0.99,0.99,0.99,0.99,0.54,0.99,0.99,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
ENSCATT00000053163_ENSCATG00000037724,0.99,0.99,0.99,0.99,0.99,0.99,0.54,0.99,0.99,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.99
ENSTGET00000029329_ENSTGEG00000019887,0.99,0.99,0.99,0.99,0.99,0.99,0.54,0.99,0.99,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
ENSPANT00000006684_ENSPANG00000021099,0.99,0.99,0.99,0.99,0.99,0.99,0.54,0.99,0.99,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
ENSMMUT00000081251_ENSMMUG00000060335,0.99,0.99,0.99,0.99,0.99,0.99,0.54,0.99,0.99,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
ENSMNET00000002853_ENSMNEG00000002643,0.99,0.99,0.99,0.99,0.99,0.99,0.54,0.99,0.99,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
ENSMFAT00000016747_ENSMFAG00000040005,0.99,0.99,0.99,0.99,0.99,0.99,0.54,0.99,0.99,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
ENSRBIT00000022866_ENSRBIG00000020823,0.99,0.99,0.99,0.99,0.99,0.99,0.54,0.99,0.99,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
ENSRROT00000050221_ENSRROG00000036733,0.99,0.99,0.99,0.99,0.99,0.99,0.54,0.99,0.99,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
ENSPTET00000033592_ENSPTEG00000024193,0.99,0.99,0.99,0.99,0.99,0.99,0.53,0.99,0.99,1.0,0.99,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
