,ENSELUT00000035114_ENSELUG00000022645,ENSHHUT00000023805_ENSHHUG00000014368,ENSSPAT00000029226_ENSSPAG00000021647,ENSNBRT00000032315_ENSNBRG00000023950,ENSMMOT00000007078_ENSMMOG00000005402,ENSTNIT00000008214_ENSTNIG00000005368,ENSGAFT00000025576_ENSGAFG00000017095,ENSPRET00000017003_ENSPREG00000011367,ENSCVAT00000012322_ENSCVAG00000003141,ENSGWIT00000040679_ENSGWIG00000019206,ENSCSET00000015338_ENSCSEG00000009740,ENSPMGT00000029059_ENSPMGG00000022022,ENSAMXT00000041929_ENSAMXG00000034959
ENSELUT00000035114_ENSELUG00000022645,1.0,0.12,1e-18,0.33,0.33,0.1,0.12,0.1,0.1,0.2,0.17,0.12,1e-18
ENSHHUT00000023805_ENSHHUG00000014368,0.12,1.0,1e-18,1e-18,1e-18,1e-18,1e-18,0.12,0.12,0.25,1e-18,1e-18,1e-18
ENSSPAT00000029226_ENSSPAG00000021647,1e-18,1e-18,1.0,1e-18,1e-18,1e-18,1e-18,1e-18,1e-18,1e-18,1e-18,1e-18,0.1
ENSNBRT00000032315_ENSNBRG00000023950,0.33,1e-18,1e-18,1.0,0.5,0.12,0.17,0.12,0.12,0.1,0.25,0.17,1e-18
ENSMMOT00000007078_ENSMMOG00000005402,0.33,1e-18,1e-18,0.5,1.0,0.12,0.17,0.12,0.12,0.1,0.25,0.17,1e-18
ENSTNIT00000008214_ENSTNIG00000005368,0.1,1e-18,1e-18,0.12,0.12,1.0,0.17,0.12,0.12,0.1,0.12,0.12,1e-18
ENSGAFT00000025576_ENSGAFG00000017095,0.12,1e-18,1e-18,0.17,0.17,0.17,1.0,0.17,0.17,0.12,0.17,0.17,1e-18
ENSPRET00000017003_ENSPREG00000011367,0.1,0.12,1e-18,0.12,0.12,0.12,0.17,1.0,0.25,0.2,0.12,0.12,1e-18
ENSCVAT00000012322_ENSCVAG00000003141,0.1,0.12,1e-18,0.12,0.12,0.12,0.17,0.25,1.0,0.2,0.12,0.12,1e-18
ENSGWIT00000040679_ENSGWIG00000019206,0.2,0.25,1e-18,0.1,0.1,0.1,0.12,0.2,0.2,1.0,0.1,0.1,1e-18
ENSCSET00000015338_ENSCSEG00000009740,0.17,1e-18,1e-18,0.25,0.25,0.12,0.17,0.12,0.12,0.1,1.0,0.17,1e-18
ENSPMGT00000029059_ENSPMGG00000022022,0.12,1e-18,1e-18,0.17,0.17,0.12,0.17,0.12,0.12,0.1,0.17,1.0,1e-18
ENSAMXT00000041929_ENSAMXG00000034959,1e-18,1e-18,0.1,1e-18,1e-18,1e-18,1e-18,1e-18,1e-18,1e-18,1e-18,1e-18,1.0
