,ENSEBUT00000005422_ENSEBUG00000003452,ENSEBUT00000005453_ENSEBUG00000003452,ENSEBUT00000005479_ENSEBUG00000003452,ENSSFOT00015021743_ENSSFOG00015013818,ENSPKIT00000022980_ENSPKIG00000018286,ENSPKIT00000023028_ENSPKIG00000018286,ENSCHAT00000057726_ENSCHAG00000023609,ENSCHAT00000057846_ENSCHAG00000023609,ENSCHAT00000057874_ENSCHAG00000023609,ENSDCDT00000065402_ENSDCDG00000032063,ENSDCDT00000065404_ENSDCDG00000032063,ENSDCDT00000065441_ENSDCDG00000032063,ENSDCDT00000065443_ENSDCDG00000032063,ENSDCDT00000065452_ENSDCDG00000032063
ENSEBUT00000005422_ENSEBUG00000003452,1.0,0.93,0.9,0.79,0.79,0.73,0.78,0.64,0.7,0.78,0.74,0.67,0.73,0.73
ENSEBUT00000005453_ENSEBUG00000003452,0.93,1.0,0.84,0.74,0.74,0.68,0.72,0.65,0.72,0.72,0.69,0.62,0.68,0.68
ENSEBUT00000005479_ENSEBUG00000003452,0.9,0.84,1.0,0.74,0.74,0.68,0.72,0.59,0.66,0.72,0.69,0.62,0.67,0.67
ENSSFOT00015021743_ENSSFOG00015013818,0.79,0.74,0.74,1.0,0.98,0.91,0.96,0.8,0.83,0.96,0.92,0.83,0.9,0.9
ENSPKIT00000022980_ENSPKIG00000018286,0.79,0.74,0.74,0.98,1.0,0.91,0.96,0.8,0.83,0.96,0.92,0.83,0.9,0.9
ENSPKIT00000023028_ENSPKIG00000018286,0.73,0.68,0.68,0.91,0.91,1.0,0.88,0.74,0.76,0.88,0.88,0.83,0.9,0.88
ENSCHAT00000057726_ENSCHAG00000023609,0.78,0.72,0.72,0.96,0.96,0.88,1.0,0.82,0.81,0.98,0.95,0.84,0.88,0.92
ENSCHAT00000057846_ENSCHAG00000023609,0.64,0.65,0.59,0.8,0.8,0.74,0.82,1.0,0.85,0.82,0.79,0.77,0.74,0.77
ENSCHAT00000057874_ENSCHAG00000023609,0.7,0.72,0.66,0.83,0.83,0.76,0.81,0.85,1.0,0.8,0.78,0.71,0.76,0.76
ENSDCDT00000065402_ENSDCDG00000032063,0.78,0.72,0.72,0.96,0.96,0.88,0.98,0.82,0.8,1.0,0.95,0.85,0.88,0.93
ENSDCDT00000065404_ENSDCDG00000032063,0.74,0.69,0.69,0.92,0.92,0.88,0.95,0.79,0.78,0.95,1.0,0.85,0.88,0.93
ENSDCDT00000065441_ENSDCDG00000032063,0.67,0.62,0.62,0.83,0.83,0.83,0.84,0.77,0.71,0.85,0.85,1.0,0.84,0.85
ENSDCDT00000065443_ENSDCDG00000032063,0.73,0.68,0.67,0.9,0.9,0.9,0.88,0.74,0.76,0.88,0.88,0.84,1.0,0.89
ENSDCDT00000065452_ENSDCDG00000032063,0.73,0.68,0.67,0.9,0.9,0.88,0.92,0.77,0.76,0.93,0.93,0.85,0.89,1.0
