,FBtr0087374_FBgn0004698,FBtr0087373_FBgn0004698,FBtr0308700_FBgn0004698,Y76B12C.2.1_WBGene00022296,ENSVURT00010023444_ENSVURG00010015746,ENSPCIT00000052088_ENSPCIG00000007579,ENSPCIT00000011628_ENSPCIG00000007579,ENSMODT00000009211_ENSMODG00000007289,ENSSHAT00000001355_ENSSHAG00000001194,ENSSHAT00000001356_ENSSHAG00000001194,ENSTGET00000021151_ENSTGEG00000014344,ENSPANT00000027881_ENSPANG00000004175,ENSMMUT00000081036_ENSMMUG00000023125,ENSMMUT00000032534_ENSMMUG00000023125,ENSMMUT00000109044_ENSMMUG00000023125,ENSMMUT00000073942_ENSMMUG00000023125,ENSMFAT00000067979_ENSMFAG00000031847,ENSMNET00000054280_ENSMNEG00000038400,ENSCATT00000050895_ENSCATG00000036725,ENSMLET00000058674_ENSMLEG00000041682,ENSCSAT00000007484_ENSCSAG00000009411,ENSPTET00000015497_ENSPTEG00000011569,ENSPTET00000015506_ENSPTEG00000011569
FBtr0087374_FBgn0004698,1.0,0.79,0.14,1e-18,1e-18,1e-18,1e-18,1e-18,1e-18,1e-18,1e-18,1e-18,1e-18,1e-18,1e-18,1e-18,1e-18,1e-18,1e-18,1e-18,1e-18,1e-18,1e-18
FBtr0087373_FBgn0004698,0.79,1.0,0.14,1e-18,1e-18,1e-18,1e-18,1e-18,1e-18,1e-18,1e-18,1e-18,1e-18,1e-18,1e-18,1e-18,1e-18,1e-18,1e-18,1e-18,1e-18,1e-18,1e-18
FBtr0308700_FBgn0004698,0.14,0.14,1.0,1e-18,1e-18,1e-18,1e-18,1e-18,1e-18,1e-18,1e-18,1e-18,1e-18,1e-18,1e-18,1e-18,1e-18,1e-18,1e-18,1e-18,1e-18,1e-18,1e-18
Y76B12C.2.1_WBGene00022296,1e-18,1e-18,1e-18,1.0,0.19,0.19,0.16,0.19,0.18,0.19,0.19,0.19,1e-18,0.17,0.19,0.18,0.19,0.19,0.19,0.19,0.19,0.18,0.19
ENSVURT00010023444_ENSVURG00010015746,1e-18,1e-18,1e-18,0.19,1.0,0.83,0.78,0.87,0.81,0.87,0.83,0.83,1e-18,0.69,0.83,0.75,0.83,0.83,0.83,0.83,0.75,0.75,0.83
ENSPCIT00000052088_ENSPCIG00000007579,1e-18,1e-18,1e-18,0.19,0.83,1.0,0.78,0.8,0.81,0.87,0.8,0.8,1e-18,0.66,0.8,0.72,0.8,0.8,0.8,0.8,0.72,0.72,0.8
ENSPCIT00000011628_ENSPCIG00000007579,1e-18,1e-18,1e-18,0.16,0.78,0.78,1.0,0.75,0.76,0.81,0.75,0.75,1e-18,0.62,0.75,0.68,0.75,0.75,0.75,0.75,0.68,0.68,0.75
ENSMODT00000009211_ENSMODG00000007289,1e-18,1e-18,1e-18,0.19,0.87,0.8,0.75,1.0,0.78,0.83,0.83,0.83,1e-18,0.69,0.83,0.75,0.83,0.83,0.83,0.83,0.75,0.75,0.83
ENSSHAT00000001355_ENSSHAG00000001194,1e-18,1e-18,1e-18,0.18,0.81,0.81,0.76,0.78,1.0,0.84,0.78,0.78,1e-18,0.65,0.78,0.71,0.78,0.78,0.78,0.78,0.71,0.71,0.78
ENSSHAT00000001356_ENSSHAG00000001194,1e-18,1e-18,1e-18,0.19,0.87,0.87,0.81,0.83,0.84,1.0,0.83,0.83,1e-18,0.69,0.83,0.75,0.83,0.83,0.83,0.83,0.75,0.75,0.83
