,ENSDNOT00000039809_ENSDNOG00000031036,ENSLAFT00000008540_ENSLAFG00000008540,ENSLAFT00000034172_ENSLAFG00000008540,ENSPCAT00000016088_ENSPCAG00000016074,ENSETET00000008748_ENSETEG00000008748,ENSOCUT00000007793_ENSOCUG00000007795,ENSOPRT00000003313_ENSOPRG00000003320,ENSTBET00000012411_ENSTBEG00000012419,ENSCCNT00000037498_ENSCCNG00000028509,ENSDORT00000006586_ENSDORG00000006586
ENSDNOT00000039809_ENSDNOG00000031036,1.0,0.89,0.83,0.81,0.62,0.89,0.69,0.69,0.79,0.77
ENSLAFT00000008540_ENSLAFG00000008540,0.89,1.0,0.94,0.85,0.64,0.9,0.69,0.7,0.8,0.78
ENSLAFT00000034172_ENSLAFG00000008540,0.83,0.94,1.0,0.8,0.6,0.84,0.66,0.66,0.85,0.83
ENSPCAT00000016088_ENSPCAG00000016074,0.81,0.85,0.8,1.0,0.59,0.81,0.64,0.64,0.72,0.72
ENSETET00000008748_ENSETEG00000008748,0.62,0.64,0.6,0.59,1.0,0.62,0.61,0.61,0.58,0.58
ENSOCUT00000007793_ENSOCUG00000007795,0.89,0.9,0.84,0.81,0.62,1.0,0.73,0.72,0.82,0.79
ENSOPRT00000003313_ENSOPRG00000003320,0.69,0.69,0.66,0.64,0.61,0.73,1.0,0.86,0.65,0.63
ENSTBET00000012411_ENSTBEG00000012419,0.69,0.7,0.66,0.64,0.61,0.72,0.86,1.0,0.66,0.63
ENSCCNT00000037498_ENSCCNG00000028509,0.79,0.8,0.85,0.72,0.58,0.82,0.65,0.66,1.0,0.91
ENSDORT00000006586_ENSDORG00000006586,0.77,0.78,0.83,0.72,0.58,0.79,0.63,0.63,0.91,1.0
