,ENSMNET00000001021_ENSMNEG00000000952,ENSMFAT00000021072_ENSMFAG00000001040,ENSPANT00000038731_ENSPANG00000035648,ENSCATT00000067348_ENSCATG00000044037,ENSMLET00000030575_ENSMLEG00000027656,ENSPTET00000028218_ENSPTEG00000020664,ENSPTRT00000078831_ENSPTRG00000046233,ENSGGOT00000064505_ENSGGOG00000038647,ENSNLET00000054089_ENSNLEG00000031951,ENSPPAT00000055921_ENSPPAG00000039390
ENSMNET00000001021_ENSMNEG00000000952,1.0,0.9,0.74,0.89,0.89,0.4,0.58,0.57,0.6,0.6
ENSMFAT00000021072_ENSMFAG00000001040,0.9,1.0,0.74,0.89,0.89,0.4,0.58,0.57,0.6,0.6
ENSPANT00000038731_ENSPANG00000035648,0.74,0.74,1.0,0.74,0.74,0.52,0.58,0.57,0.59,0.61
ENSCATT00000067348_ENSCATG00000044037,0.89,0.89,0.74,1.0,0.89,0.4,0.57,0.57,0.59,0.6
ENSMLET00000030575_ENSMLEG00000027656,0.89,0.89,0.74,0.89,1.0,0.4,0.57,0.57,0.59,0.6
ENSPTET00000028218_ENSPTEG00000020664,0.4,0.4,0.52,0.4,0.4,1.0,0.32,0.32,0.4,0.29
ENSPTRT00000078831_ENSPTRG00000046233,0.58,0.58,0.58,0.57,0.57,0.32,1.0,0.99,0.59,0.96
ENSGGOT00000064505_ENSGGOG00000038647,0.57,0.57,0.57,0.57,0.57,0.32,0.99,1.0,0.58,0.96
ENSNLET00000054089_ENSNLEG00000031951,0.6,0.6,0.59,0.59,0.59,0.4,0.59,0.58,1.0,0.56
ENSPPAT00000055921_ENSPPAG00000039390,0.6,0.6,0.61,0.6,0.6,0.29,0.96,0.96,0.56,1.0
