,FBtr0072406_FBgn0285950,FBtr0072405_FBgn0285950,C09D4.5.1_WBGene00004431,C09D4.5.2_WBGene00004431,C09D4.5.3_WBGene00004431,C09D4.5.4_WBGene00004431,ENSPMAT00000001114_ENSPMAG00000000965,ENSEBUT00000018935_ENSEBUG00000011452,ENSCHAT00000007413_ENSCHAG00000004087,ENSEEET00000048448_ENSEEEG00000022557,ENSIPUT00000032033_ENSIPUG00000020766
FBtr0072406_FBgn0285950,1.0,1.0,0.81,0.81,0.81,0.81,0.84,0.85,0.91,0.9,0.82
FBtr0072405_FBgn0285950,1.0,1.0,0.81,0.81,0.81,0.81,0.84,0.85,0.91,0.9,0.82
C09D4.5.1_WBGene00004431,0.81,0.81,1.0,1.0,1.0,1.0,0.78,0.79,0.83,0.83,0.76
C09D4.5.2_WBGene00004431,0.81,0.81,1.0,1.0,1.0,1.0,0.78,0.79,0.83,0.83,0.76
C09D4.5.3_WBGene00004431,0.81,0.81,1.0,1.0,1.0,1.0,0.78,0.79,0.83,0.83,0.76
C09D4.5.4_WBGene00004431,0.81,0.81,1.0,1.0,1.0,1.0,0.78,0.79,0.83,0.83,0.76
ENSPMAT00000001114_ENSPMAG00000000965,0.84,0.84,0.78,0.78,0.78,0.78,1.0,0.85,0.89,0.89,0.87
ENSEBUT00000018935_ENSEBUG00000011452,0.85,0.85,0.79,0.79,0.79,0.79,0.85,1.0,0.89,0.88,0.81
ENSCHAT00000007413_ENSCHAG00000004087,0.91,0.91,0.83,0.83,0.83,0.83,0.89,0.89,1.0,0.97,0.89
ENSEEET00000048448_ENSEEEG00000022557,0.9,0.9,0.83,0.83,0.83,0.83,0.89,0.88,0.97,1.0,0.89
ENSIPUT00000032033_ENSIPUG00000020766,0.82,0.82,0.76,0.76,0.76,0.76,0.87,0.81,0.89,0.89,1.0
