,ENSGGOT00000046065_ENSGGOG00000038374,ENST00000641918_ENSG00000284725,ENSPTRT00000095061_ENSPTRG00000048251,ENSPPAT00000022428_ENSPPAG00000020469,ENSNLET00000037590_ENSNLEG00000027327,ENSMFAT00000021304_ENSMFAG00000001133,ENSPANT00000052620_ENSPANG00000033490,ENSMLET00000043525_ENSMLEG00000034241,ENSCATT00000024946_ENSCATG00000021585,ENSRROT00000054624_ENSRROG00000038866,ENSCJAT00000074036_ENSCJAG00000042011,ENSCCAT00000037365_ENSCCAG00000027780,ENSANAT00000042114_ENSANAG00000029834,ENSTSYT00000040876_ENSTSYG00000036505,ENSPSMT00000026552_ENSPSMG00000016193
ENSGGOT00000046065_ENSGGOG00000038374,1.0,0.5,0.49,0.49,0.5,0.66,0.64,0.44,0.49,0.81,0.47,0.79,0.91,0.66,0.47
ENST00000641918_ENSG00000284725,0.5,1.0,0.77,0.77,0.78,0.65,0.63,0.39,0.77,0.54,0.76,0.45,0.48,0.38,0.75
ENSPTRT00000095061_ENSPTRG00000048251,0.49,0.77,1.0,0.8,0.79,0.64,0.62,0.38,0.76,0.53,0.75,0.44,0.47,0.36,0.74
ENSPPAT00000022428_ENSPPAG00000020469,0.49,0.77,0.8,1.0,0.79,0.64,0.62,0.38,0.75,0.53,0.75,0.44,0.47,0.36,0.74
ENSNLET00000037590_ENSNLEG00000027327,0.5,0.78,0.79,0.79,1.0,0.64,0.62,0.38,0.76,0.53,0.75,0.44,0.48,0.36,0.74
ENSMFAT00000021304_ENSMFAG00000001133,0.66,0.65,0.64,0.64,0.64,1.0,0.87,0.4,0.65,0.71,0.64,0.59,0.65,0.5,0.62
ENSPANT00000052620_ENSPANG00000033490,0.64,0.63,0.62,0.62,0.62,0.87,1.0,0.39,0.62,0.69,0.62,0.57,0.64,0.52,0.6
ENSMLET00000043525_ENSMLEG00000034241,0.44,0.39,0.38,0.38,0.38,0.4,0.39,1.0,0.39,0.44,0.38,0.41,0.43,0.39,0.37
ENSCATT00000024946_ENSCATG00000021585,0.49,0.77,0.76,0.75,0.76,0.65,0.62,0.39,1.0,0.53,0.75,0.45,0.48,0.37,0.74
ENSRROT00000054624_ENSRROG00000038866,0.81,0.54,0.53,0.53,0.53,0.71,0.69,0.44,0.53,1.0,0.53,0.7,0.8,0.61,0.51
ENSCJAT00000074036_ENSCJAG00000042011,0.47,0.76,0.75,0.75,0.75,0.64,0.62,0.38,0.75,0.53,1.0,0.44,0.49,0.36,0.74
ENSCCAT00000037365_ENSCCAG00000027780,0.79,0.45,0.44,0.44,0.44,0.59,0.57,0.41,0.45,0.7,0.44,1.0,0.79,0.6,0.43
ENSANAT00000042114_ENSANAG00000029834,0.91,0.48,0.47,0.47,0.48,0.65,0.64,0.43,0.48,0.8,0.49,0.79,1.0,0.65,0.46
ENSTSYT00000040876_ENSTSYG00000036505,0.66,0.38,0.36,0.36,0.36,0.5,0.52,0.39,0.37,0.61,0.36,0.6,0.65,1.0,0.36
ENSPSMT00000026552_ENSPSMG00000016193,0.47,0.75,0.74,0.74,0.74,0.62,0.6,0.37,0.74,0.51,0.74,0.43,0.46,0.36,1.0
