,ENSCINT00000013586_ENSCING00000006616,ENSCINT00000031603_ENSCING00000021903,FBtr0307028_FBgn0004893,FBtr0077492_FBgn0004893,FBtr0307029_FBgn0004893,FBtr0307027_FBgn0004893,FBtr0077491_FBgn0004893,FBtr0077493_FBgn0004893,FBtr0077490_FBgn0004893,FBtr0077558_FBgn0004892
ENSCINT00000013586_ENSCING00000006616,1.0,0.59,0.36,0.36,0.36,0.36,0.36,0.36,0.36,0.49
ENSCINT00000031603_ENSCING00000021903,0.59,1.0,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.31
FBtr0307028_FBgn0004893,0.36,0.21,1.0,0.95,0.95,0.95,0.95,0.95,0.95,0.42
FBtr0077492_FBgn0004893,0.36,0.21,0.95,1.0,0.95,0.95,0.95,0.95,0.95,0.42
FBtr0307029_FBgn0004893,0.36,0.21,0.95,0.95,1.0,0.95,0.95,0.95,0.95,0.42
FBtr0307027_FBgn0004893,0.36,0.21,0.95,0.95,0.95,1.0,0.95,0.95,0.95,0.42
FBtr0077491_FBgn0004893,0.36,0.21,0.95,0.95,0.95,0.95,1.0,0.95,0.95,0.42
FBtr0077493_FBgn0004893,0.36,0.21,0.95,0.95,0.95,0.95,0.95,1.0,0.95,0.42
FBtr0077490_FBgn0004893,0.36,0.21,0.95,0.95,0.95,0.95,0.95,0.95,1.0,0.42
FBtr0077558_FBgn0004892,0.49,0.31,0.42,0.42,0.42,0.42,0.42,0.42,0.42,1.0
