,ENSACAT00000002839_ENSACAG00000002830,ENSPVIT00000030535_ENSPVIG00000018613,ENSNSUT00000026534_ENSNSUG00000018011,ENSSMRT00000013811_ENSSMRG00000009300,ENSCJPT00005012432_ENSCJPG00005007345,ENSMGAT00000018348_ENSMGAG00000016597,ENSGALT00000007742_ENSGALG00000004849,ENSNMET00000036243_ENSNMEG00000021100,ENSNMET00000036244_ENSNMEG00000021100,ENSNMET00000036246_ENSNMEG00000021100,ENSABRT00000035664_ENSABRG00000021350,ENSCPUT00000007400_ENSCPUG00000004458,ENSCPUT00000007403_ENSCPUG00000004458,ENSCPUT00000007406_ENSCPUG00000004458,ENSCPGT00000028644_ENSCPGG00000018078,ENSMUNT00000024161_ENSMUNG00000016010,ENSLCOT00000015906_ENSLCOG00000010773,ENSMVIT00005026846_ENSMVIG00005016707
ENSACAT00000002839_ENSACAG00000002830,1.0,0.88,0.6,0.87,0.87,0.51,0.55,0.72,0.74,0.87,0.88,0.88,0.7,0.64,0.76,0.64,0.88,0.88
ENSPVIT00000030535_ENSPVIG00000018613,0.88,1.0,0.6,0.87,0.87,0.5,0.55,0.72,0.74,0.87,0.88,0.88,0.7,0.64,0.76,0.64,0.88,0.88
ENSNSUT00000026534_ENSNSUG00000018011,0.6,0.6,1.0,0.59,0.6,0.33,0.66,0.49,0.51,0.6,0.6,0.6,0.5,0.41,0.54,0.41,0.6,0.6
ENSSMRT00000013811_ENSSMRG00000009300,0.87,0.87,0.59,1.0,0.86,0.49,0.53,0.71,0.73,0.86,0.86,0.86,0.68,0.62,0.75,0.62,0.86,0.86
ENSCJPT00005012432_ENSCJPG00005007345,0.87,0.87,0.6,0.86,1.0,0.52,0.56,0.75,0.77,0.89,0.88,0.88,0.7,0.64,0.76,0.64,0.88,0.88
ENSMGAT00000018348_ENSMGAG00000016597,0.51,0.5,0.33,0.49,0.52,1.0,0.34,0.44,0.46,0.52,0.52,0.51,0.4,0.39,0.43,0.39,0.51,0.51
ENSGALT00000007742_ENSGALG00000004849,0.55,0.55,0.66,0.53,0.56,0.34,1.0,0.46,0.48,0.56,0.56,0.56,0.46,0.37,0.5,0.37,0.56,0.56
ENSNMET00000036243_ENSNMEG00000021100,0.72,0.72,0.49,0.71,0.75,0.44,0.46,1.0,0.7,0.75,0.74,0.73,0.58,0.57,0.63,0.57,0.73,0.73
ENSNMET00000036244_ENSNMEG00000021100,0.74,0.74,0.51,0.73,0.77,0.46,0.48,0.7,1.0,0.77,0.76,0.75,0.6,0.59,0.65,0.59,0.75,0.75
ENSNMET00000036246_ENSNMEG00000021100,0.87,0.87,0.6,0.86,0.89,0.52,0.56,0.75,0.77,1.0,0.89,0.88,0.7,0.64,0.77,0.64,0.88,0.88
ENSABRT00000035664_ENSABRG00000021350,0.88,0.88,0.6,0.86,0.88,0.52,0.56,0.74,0.76,0.89,1.0,0.89,0.71,0.65,0.78,0.65,0.89,0.89
ENSCPUT00000007400_ENSCPUG00000004458,0.88,0.88,0.6,0.86,0.88,0.51,0.56,0.73,0.75,0.88,0.89,1.0,0.72,0.66,0.78,0.65,0.89,0.89
ENSCPUT00000007403_ENSCPUG00000004458,0.7,0.7,0.5,0.68,0.7,0.4,0.46,0.58,0.6,0.7,0.71,0.72,1.0,0.52,0.78,0.51,0.71,0.71
ENSCPUT00000007406_ENSCPUG00000004458,0.64,0.64,0.41,0.62,0.64,0.39,0.37,0.57,0.59,0.64,0.65,0.66,0.52,1.0,0.56,0.89,0.65,0.65
ENSCPGT00000028644_ENSCPGG00000018078,0.76,0.76,0.54,0.75,0.76,0.43,0.5,0.63,0.65,0.77,0.78,0.78,0.78,0.56,1.0,0.55,0.78,0.78
ENSMUNT00000024161_ENSMUNG00000016010,0.64,0.64,0.41,0.62,0.64,0.39,0.37,0.57,0.59,0.64,0.65,0.65,0.51,0.89,0.55,1.0,0.65,0.65
ENSLCOT00000015906_ENSLCOG00000010773,0.88,0.88,0.6,0.86,0.88,0.51,0.56,0.73,0.75,0.88,0.89,0.89,0.71,0.65,0.78,0.65,1.0,0.9
ENSMVIT00005026846_ENSMVIG00005016707,0.88,0.88,0.6,0.86,0.88,0.51,0.56,0.73,0.75,0.88,0.89,0.89,0.71,0.65,0.78,0.65,0.9,1.0
