,ENSVURT00010032048_ENSVURG00010021527,ENSPCIT00000035412_ENSPCIG00000021479,ENSSHAT00000012827_ENSSHAG00000010888,ENSMODT00000019284_ENSMODG00000015157,ENSMODT00000086641_ENSMODG00000015157,ENSPPAT00000037724_ENSPPAG00000030572,ENSPTRT00000016991_ENSPTRG00000009241,ENSPTRT00000093697_ENSPTRG00000009241,ENSPTRT00000077559_ENSPTRG00000009241,ENSGGOT00000063280_ENSGGOG00000023387,ENSGGOT00000053454_ENSGGOG00000023387,ENSGGOT00000060465_ENSGGOG00000023387,ENSGGOT00000029834_ENSGGOG00000023387,ENST00000341165_ENSG00000188554,ENST00000586650_ENSG00000188554,ENST00000542611_ENSG00000188554,ENST00000590996_ENSG00000188554
ENSVURT00010032048_ENSVURG00010021527,1.0,0.99,0.95,0.93,0.8,0.65,0.81,0.65,0.64,0.81,0.81,0.65,0.64,0.81,0.07,0.64,0.81
ENSPCIT00000035412_ENSPCIG00000021479,0.99,1.0,0.95,0.93,0.8,0.65,0.81,0.65,0.64,0.81,0.81,0.65,0.64,0.81,0.07,0.64,0.81
ENSSHAT00000012827_ENSSHAG00000010888,0.95,0.95,1.0,0.93,0.8,0.66,0.84,0.66,0.66,0.84,0.84,0.66,0.66,0.84,0.07,0.66,0.84
ENSMODT00000019284_ENSMODG00000015157,0.93,0.93,0.93,1.0,0.85,0.65,0.81,0.65,0.64,0.81,0.81,0.65,0.64,0.81,0.07,0.64,0.81
ENSMODT00000086641_ENSMODG00000015157,0.8,0.8,0.8,0.85,1.0,0.61,0.69,0.61,0.54,0.69,0.69,0.61,0.54,0.69,0.03,0.54,0.69
ENSPPAT00000037724_ENSPPAG00000030572,0.65,0.65,0.66,0.65,0.61,1.0,0.77,0.95,0.6,0.77,0.77,0.95,0.6,0.77,0.1,0.6,0.77
ENSPTRT00000016991_ENSPTRG00000009241,0.81,0.81,0.84,0.81,0.69,0.77,1.0,0.77,0.8,0.97,0.97,0.77,0.8,0.97,0.08,0.8,0.97
ENSPTRT00000093697_ENSPTRG00000009241,0.65,0.65,0.66,0.65,0.61,0.95,0.77,1.0,0.6,0.77,0.77,0.95,0.6,0.77,0.1,0.6,0.77
ENSPTRT00000077559_ENSPTRG00000009241,0.64,0.64,0.66,0.64,0.54,0.6,0.8,0.6,1.0,0.8,0.8,0.6,0.95,0.8,0.09,0.95,0.8
ENSGGOT00000063280_ENSGGOG00000023387,0.81,0.81,0.84,0.81,0.69,0.77,0.97,0.77,0.8,1.0,0.98,0.77,0.8,0.97,0.08,0.8,0.97
ENSGGOT00000053454_ENSGGOG00000023387,0.81,0.81,0.84,0.81,0.69,0.77,0.97,0.77,0.8,0.98,1.0,0.77,0.8,0.97,0.08,0.8,0.97
ENSGGOT00000060465_ENSGGOG00000023387,0.65,0.65,0.66,0.65,0.61,0.95,0.77,0.95,0.6,0.77,0.77,1.0,0.6,0.77,0.1,0.6,0.77
ENSGGOT00000029834_ENSGGOG00000023387,0.64,0.64,0.66,0.64,0.54,0.6,0.8,0.6,0.95,0.8,0.8,0.6,1.0,0.8,0.09,0.95,0.8
ENST00000341165_ENSG00000188554,0.81,0.81,0.84,0.81,0.69,0.77,0.97,0.77,0.8,0.97,0.97,0.77,0.8,1.0,0.08,0.8,0.98
ENST00000586650_ENSG00000188554,0.07,0.07,0.07,0.07,0.03,0.1,0.08,0.1,0.09,0.08,0.08,0.1,0.09,0.08,1.0,0.09,0.08
ENST00000542611_ENSG00000188554,0.64,0.64,0.66,0.64,0.54,0.6,0.8,0.6,0.95,0.8,0.8,0.6,0.95,0.8,0.09,1.0,0.8
ENST00000590996_ENSG00000188554,0.81,0.81,0.84,0.81,0.69,0.77,0.97,0.77,0.8,0.97,0.97,0.77,0.8,0.98,0.08,0.8,1.0
