,ENSXETT00000036792_ENSXETG00000015846,ENSXETT00000036799_ENSXETG00000015846,ENSXETT00000036807_ENSXETG00000015846,ENSLACT00000018032_ENSLACG00000015773,ENSLACT00000018033_ENSLACG00000015773,ENSPKIT00000019068_ENSPKIG00000016002,ENSPKIT00000019096_ENSPKIG00000016002,ENSSFOT00015025148_ENSSFOG00015015935,ENSSFOT00015025202_ENSSFOG00015015935,ENSSFOT00015025223_ENSSFOG00015015935,ENSIPUT00000010260_ENSIPUG00000006710,ENSIPUT00000010286_ENSIPUG00000006710,ENSEEET00000052412_ENSEEEG00000024338,ENSAMXT00000057933_ENSAMXG00000017218,ENSAMXT00000017724_ENSAMXG00000017218
ENSXETT00000036792_ENSXETG00000015846,1.0,0.92,0.75,0.5,0.51,0.83,0.61,0.39,0.67,0.51,0.82,0.66,0.7,0.82,0.77
ENSXETT00000036799_ENSXETG00000015846,0.92,1.0,0.8,0.47,0.48,0.88,0.66,0.44,0.69,0.56,0.87,0.71,0.75,0.88,0.83
ENSXETT00000036807_ENSXETG00000015846,0.75,0.8,1.0,0.46,0.5,0.71,0.54,0.5,0.57,0.51,0.7,0.58,0.68,0.71,0.74
ENSLACT00000018032_ENSLACG00000015773,0.5,0.47,0.46,1.0,0.68,0.48,0.4,0.39,0.42,0.48,0.47,0.46,0.44,0.47,0.47
ENSLACT00000018033_ENSLACG00000015773,0.51,0.48,0.5,0.68,1.0,0.49,0.42,0.42,0.43,0.49,0.49,0.47,0.47,0.49,0.5
ENSPKIT00000019068_ENSPKIG00000016002,0.83,0.88,0.71,0.48,0.49,1.0,0.74,0.47,0.73,0.58,0.91,0.75,0.79,0.91,0.86
ENSPKIT00000019096_ENSPKIG00000016002,0.61,0.66,0.54,0.4,0.42,0.74,1.0,0.41,0.55,0.66,0.68,0.59,0.61,0.68,0.64
ENSSFOT00015025148_ENSSFOG00015015935,0.39,0.44,0.5,0.39,0.42,0.47,0.41,1.0,0.42,0.41,0.46,0.49,0.48,0.46,0.48
ENSSFOT00015025202_ENSSFOG00015015935,0.67,0.69,0.57,0.42,0.43,0.73,0.55,0.42,1.0,0.5,0.71,0.6,0.62,0.71,0.67
ENSSFOT00015025223_ENSSFOG00015015935,0.51,0.56,0.51,0.48,0.49,0.58,0.66,0.41,0.5,1.0,0.57,0.47,0.5,0.57,0.53
ENSIPUT00000010260_ENSIPUG00000006710,0.82,0.87,0.7,0.47,0.49,0.91,0.68,0.46,0.71,0.57,1.0,0.81,0.82,0.93,0.89
ENSIPUT00000010286_ENSIPUG00000006710,0.66,0.71,0.58,0.46,0.47,0.75,0.59,0.49,0.6,0.47,0.81,1.0,0.69,0.77,0.73
ENSEEET00000052412_ENSEEEG00000024338,0.7,0.75,0.68,0.44,0.47,0.79,0.61,0.48,0.62,0.5,0.82,0.69,1.0,0.81,0.85
ENSAMXT00000057933_ENSAMXG00000017218,0.82,0.88,0.71,0.47,0.49,0.91,0.68,0.46,0.71,0.57,0.93,0.77,0.81,1.0,0.93
ENSAMXT00000017724_ENSAMXG00000017218,0.77,0.83,0.74,0.47,0.5,0.86,0.64,0.48,0.67,0.53,0.89,0.73,0.85,0.93,1.0
