,ENSPPAT00000022668_ENSPPAG00000020679,ENSPTRT00000093956_ENSPTRG00000043926,ENSGGOT00000050876_ENSGGOG00000040445,ENSMNET00000052418_ENSMNEG00000037466,ENSMFAT00000042004_ENSMFAG00000008782,ENSMLET00000020440_ENSMLEG00000018731,ENSTGET00000020525_ENSTGEG00000013901,ENSPANT00000050231_ENSPANG00000030779,ENSCATT00000064524_ENSCATG00000042678,ENSRBIT00000030610_ENSRBIG00000027380,ENSRROT00000050941_ENSRROG00000037089
ENSPPAT00000022668_ENSPPAG00000020679,1.0,1.0,0.94,0.68,0.68,0.68,0.68,0.68,0.67,0.82,0.82
ENSPTRT00000093956_ENSPTRG00000043926,1.0,1.0,0.94,0.68,0.68,0.68,0.68,0.68,0.67,0.82,0.82
ENSGGOT00000050876_ENSGGOG00000040445,0.94,0.94,1.0,0.73,0.73,0.72,0.72,0.72,0.72,0.78,0.78
ENSMNET00000052418_ENSMNEG00000037466,0.68,0.68,0.73,1.0,1.0,0.99,0.99,0.99,0.99,0.59,0.59
ENSMFAT00000042004_ENSMFAG00000008782,0.68,0.68,0.73,1.0,1.0,0.99,0.99,0.99,0.99,0.59,0.59
ENSMLET00000020440_ENSMLEG00000018731,0.68,0.68,0.72,0.99,0.99,1.0,1.0,1.0,0.99,0.58,0.58
ENSTGET00000020525_ENSTGEG00000013901,0.68,0.68,0.72,0.99,0.99,1.0,1.0,1.0,0.99,0.58,0.58
ENSPANT00000050231_ENSPANG00000030779,0.68,0.68,0.72,0.99,0.99,1.0,1.0,1.0,0.99,0.58,0.58
ENSCATT00000064524_ENSCATG00000042678,0.67,0.67,0.72,0.99,0.99,0.99,0.99,0.99,1.0,0.58,0.58
ENSRBIT00000030610_ENSRBIG00000027380,0.82,0.82,0.78,0.59,0.59,0.58,0.58,0.58,0.58,1.0,1.0
ENSRROT00000050941_ENSRROG00000037089,0.82,0.82,0.78,0.59,0.59,0.58,0.58,0.58,0.58,1.0,1.0
