,ENSPVIT00000022859_ENSPVIG00000014059,ENSPVIT00000022868_ENSPVIG00000014059,ENSPVIT00000022874_ENSPVIG00000014059,ENSNSUT00000021068_ENSNSUG00000014453,ENSNSUT00000021069_ENSNSUG00000014453,ENSSMRT00000029054_ENSSMRG00000019183,ENSSMRT00000029055_ENSSMRG00000019183,ENSSMRT00000029056_ENSSMRG00000019183,ENSSPUT00000005405_ENSSPUG00000003842,ENSSPUT00000005435_ENSSPUG00000003842,ENSAHAT00000007309_ENSAHAG00000004859,ENSDNVT00000017153_ENSDNVG00000010051,ENSDNVT00000017179_ENSDNVG00000010051,ENSZALT00000019003_ENSZALG00000011609,ENSZALT00000019004_ENSZALG00000011609,ENSSCAT00000006514_ENSSCAG00000004518,ENSSCAT00000006523_ENSSCAG00000004518
ENSPVIT00000022859_ENSPVIG00000014059,1.0,0.8,0.9,0.72,0.7,0.85,0.94,0.88,0.77,0.17,0.79,0.88,0.88,0.87,0.81,0.87,0.83
ENSPVIT00000022868_ENSPVIG00000014059,0.8,1.0,0.85,0.67,0.65,0.7,0.78,0.83,0.71,0.18,0.73,0.83,0.83,0.83,0.83,0.83,0.79
ENSPVIT00000022874_ENSPVIG00000014059,0.9,0.85,1.0,0.67,0.65,0.8,0.88,0.83,0.71,0.18,0.73,0.83,0.83,0.83,0.83,0.83,0.79
ENSNSUT00000021068_ENSNSUG00000014453,0.72,0.67,0.67,1.0,0.8,0.74,0.74,0.79,0.9,0.18,0.88,0.79,0.79,0.77,0.72,0.77,0.71
ENSNSUT00000021069_ENSNSUG00000014453,0.7,0.65,0.65,0.8,1.0,0.72,0.72,0.77,0.78,0.19,0.8,0.77,0.77,0.75,0.7,0.75,0.69
ENSSMRT00000029054_ENSSMRG00000019183,0.85,0.7,0.8,0.74,0.72,1.0,0.87,0.81,0.79,0.17,0.81,0.81,0.81,0.8,0.75,0.8,0.74
ENSSMRT00000029055_ENSSMRG00000019183,0.94,0.78,0.88,0.74,0.72,0.87,1.0,0.9,0.79,0.17,0.81,0.9,0.9,0.88,0.83,0.88,0.83
ENSSMRT00000029056_ENSSMRG00000019183,0.88,0.83,0.83,0.79,0.77,0.81,0.9,1.0,0.84,0.18,0.86,0.96,0.96,0.94,0.88,0.94,0.88
ENSSPUT00000005405_ENSSPUG00000003842,0.77,0.71,0.71,0.9,0.78,0.79,0.79,0.84,1.0,0.19,0.93,0.84,0.84,0.82,0.77,0.82,0.76
ENSSPUT00000005435_ENSSPUG00000003842,0.17,0.18,0.18,0.18,0.19,0.17,0.17,0.18,0.19,1.0,0.19,0.18,0.18,0.18,0.18,0.18,0.19
ENSAHAT00000007309_ENSAHAG00000004859,0.79,0.73,0.73,0.88,0.8,0.81,0.81,0.86,0.93,0.19,1.0,0.86,0.86,0.84,0.79,0.84,0.78
ENSDNVT00000017153_ENSDNVG00000010051,0.88,0.83,0.83,0.79,0.77,0.81,0.9,0.96,0.84,0.18,0.86,1.0,0.96,0.94,0.88,0.94,0.88
ENSDNVT00000017179_ENSDNVG00000010051,0.88,0.83,0.83,0.79,0.77,0.81,0.9,0.96,0.84,0.18,0.86,0.96,1.0,0.94,0.88,0.94,0.88
ENSZALT00000019003_ENSZALG00000011609,0.87,0.83,0.83,0.77,0.75,0.8,0.88,0.94,0.82,0.18,0.84,0.94,0.94,1.0,0.88,0.94,0.88
ENSZALT00000019004_ENSZALG00000011609,0.81,0.83,0.83,0.72,0.7,0.75,0.83,0.88,0.77,0.18,0.79,0.88,0.88,0.88,1.0,0.88,0.83
ENSSCAT00000006514_ENSSCAG00000004518,0.87,0.83,0.83,0.77,0.75,0.8,0.88,0.94,0.82,0.18,0.84,0.94,0.94,0.94,0.88,1.0,0.88
ENSSCAT00000006523_ENSSCAG00000004518,0.83,0.79,0.79,0.71,0.69,0.74,0.83,0.88,0.76,0.19,0.78,0.88,0.88,0.88,0.83,0.88,1.0
