,ENSMFAT00000057981_ENSMFAG00000024169,ENSMNET00000021881_ENSMNEG00000020052,ENSMMUT00000022042_ENSMMUG00000015706,ENSMLET00000028777_ENSMLEG00000026250,ENSCATT00000026317_ENSCATG00000022780,ENSTGET00000032666_ENSTGEG00000022122,ENSPANT00000018097_ENSPANG00000015250,ENSCSAT00000019567_ENSCSAG00000019477,ENSPTET00000030667_ENSPTEG00000022326,ENST00000371126_ENSG00000198889,ENSPTRT00000042258_ENSPTRG00000043960,ENSPPAT00000028421_ENSPPAG00000025645,ENSPPYT00000024142_ENSPPYG00000020700,ENSNLET00000019341_ENSNLEG00000015176,ENSCSAT00000016426_ENSCSAG00000018327,ENSFCAT00000055676_ENSFCAG00000041282
ENSMFAT00000057981_ENSMFAG00000024169,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.99,0.99,0.99,0.99,0.99,0.99,0.98,0.99,0.93
ENSMNET00000021881_ENSMNEG00000020052,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.99,0.99,0.99,0.99,0.99,0.99,0.98,0.98,0.93
ENSMMUT00000022042_ENSMMUG00000015706,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.93
ENSMLET00000028777_ENSMLEG00000026250,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.99,0.99,0.99,0.99,0.98,0.99,0.98,0.98,0.93
ENSCATT00000026317_ENSCATG00000022780,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.99,0.99,0.99,0.99,0.99,0.99,0.98,0.98,0.93
ENSTGET00000032666_ENSTGEG00000022122,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.99,0.99,0.99,0.99,0.99,0.99,0.98,0.99,0.93
ENSPANT00000018097_ENSPANG00000015250,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.99,0.99,0.99,0.99,0.99,0.99,0.98,0.99,0.93
ENSCSAT00000019567_ENSCSAG00000019477,0.99,0.99,1.0,0.99,0.99,0.99,0.99,1.0,0.99,0.99,0.98,0.99,0.99,0.98,0.99,0.93
ENSPTET00000030667_ENSPTEG00000022326,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,1.0,0.98,0.98,0.98,0.98,0.98,0.98,0.93
ENST00000371126_ENSG00000198889,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.98,1.0,1.0,0.99,0.99,0.99,0.98,0.93
ENSPTRT00000042258_ENSPTRG00000043960,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.98,0.98,1.0,1.0,1.0,0.99,0.99,0.98,0.93
ENSPPAT00000028421_ENSPPAG00000025645,0.99,0.99,0.99,0.98,0.99,0.99,0.99,0.99,0.98,0.99,1.0,1.0,0.99,0.99,0.98,0.93
ENSPPYT00000024142_ENSPPYG00000020700,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.98,0.99,0.99,0.99,1.0,0.99,0.98,0.93
ENSNLET00000019341_ENSNLEG00000015176,0.98,0.98,0.99,0.98,0.98,0.98,0.98,0.98,0.98,0.99,0.99,0.99,0.99,1.0,0.98,0.93
ENSCSAT00000016426_ENSCSAG00000018327,0.99,0.98,0.99,0.98,0.98,0.99,0.99,0.99,0.98,0.98,0.98,0.98,0.98,0.98,1.0,0.94
ENSFCAT00000055676_ENSFCAG00000041282,0.93,0.93,0.93,0.93,0.93,0.93,0.93,0.93,0.93,0.93,0.93,0.93,0.93,0.93,0.94,1.0
