,ENSSFOT00015034970_ENSSFOG00015022045,ENSSFOT00015034984_ENSSFOG00015022045,ENSSFOT00015035002_ENSSFOG00015022045,ENSSFOT00015035017_ENSSFOG00015022045,ENSPKIT00000003981_ENSPKIG00000006972,ENSPKIT00000004012_ENSPKIG00000006972,ENSPKIT00000004044_ENSPKIG00000006972,ENSPKIT00000032867_ENSPKIG00000024133,ENSPKIT00000032885_ENSPKIG00000024133,ENSPKIT00000032895_ENSPKIG00000024133,ENSPKIT00000032904_ENSPKIG00000024133,ENSPKIT00000032915_ENSPKIG00000024133,ENSSFOT00015002307_ENSSFOG00015001533,ENSCHAT00000049246_ENSCHAG00000020156,ENSCHAT00000049262_ENSCHAG00000020156,ENSCHAT00000049303_ENSCHAG00000020156,ENSCHAT00000049332_ENSCHAG00000020156,ENSCHAT00000049372_ENSCHAG00000020156,ENSCHAT00000049399_ENSCHAG00000020156,ENSCHAT00000049432_ENSCHAG00000020156,ENSCHAT00000049457_ENSCHAG00000020156,ENSCHAT00000049485_ENSCHAG00000020156,ENSDCDT00000014588_ENSDCDG00000004583,ENSDCDT00000014602_ENSDCDG00000004583,ENSDCDT00000014606_ENSDCDG00000004583,ENSDCDT00000014613_ENSDCDG00000004583,ENSDCDT00000014803_ENSDCDG00000004583,ENSDCDT00000014868_ENSDCDG00000004583,ENSDCDT00000014987_ENSDCDG00000004583,ENSDART00000161289_ENSDARG00000102730,ENSDART00000159899_ENSDARG00000102730,ENSDART00000162834_ENSDARG00000102730,ENSDART00000160711_ENSDARG00000102730,ENSDART00000161753_ENSDARG00000102730,ENSELUT00000032269_ENSELUG00000020634,ENSELUT00000032274_ENSELUG00000020634,ENSHHUT00000041931_ENSHHUG00000024945,ENSHHUT00000083238_ENSHHUG00000045800,ENSHHUT00000083269_ENSHHUG00000045800,ENSHHUT00000083285_ENSHHUG00000045800,ENSHHUT00000083288_ENSHHUG00000045800,ENSHHUT00000083468_ENSHHUG00000045800,ENSHHUT00000083476_ENSHHUG00000045800,ENSHHUT00000083481_ENSHHUG00000045800,ENSHHUT00000083501_ENSHHUG00000045800,ENSAMXT00000048268_ENSAMXG00000030412,ENSAMXT00000033115_ENSAMXG00000030412,ENSPNAT00000021936_ENSPNAG00000020204,ENSPNAT00000022015_ENSPNAG00000020204,ENSPNAT00000037238_ENSPNAG00000020204,ENSPNAT00000037256_ENSPNAG00000020204,ENSEEET00000035044_ENSEEEG00000016475,ENSIPUT00000024496_ENSIPUG00000015786,ENSIPUT00000024528_ENSIPUG00000015786,ENSIPUT00000024565_ENSIPUG00000015786,ENSIPUT00000024581_ENSIPUG00000015786,ENSIPUT00000024611_ENSIPUG00000015786
ENSSFOT00015034970_ENSSFOG00015022045,1.0,0.77,0.79,0.73,0.64,0.57,0.57,0.63,0.53,0.53,0.53,0.63,0.2,0.63,0.72,0.57,0.64,0.54,0.54,0.73,0.59,0.57,0.6,0.57,0.6,0.54,0.66,0.6,0.63,0.78,0.6,0.72,0.75,0.6,0.26,0.37,0.35,0.84,0.76,0.63,0.81,0.57,0.54,0.59,0.64,0.43,0.39,0.34,0.49,0.47,0.22,0.43,0.57,0.52,0.57,0.59,0.54
ENSSFOT00015034984_ENSSFOG00015022045,0.77,1.0,0.7,0.64,0.7,0.63,0.64,0.7,0.6,0.6,0.6,0.7,0.21,0.68,0.63,0.62,0.7,0.6,0.6,0.8,0.66,0.64,0.67,0.63,0.67,0.6,0.73,0.66,0.7,0.72,0.67,0.66,0.7,0.67,0.27,0.39,0.37,0.75,0.68,0.69,0.72,0.63,0.6,0.66,0.7,0.45,0.41,0.36,0.52,0.5,0.23,0.45,0.52,0.57,0.63,0.55,0.59
ENSSFOT00015035002_ENSSFOG00015022045,0.79,0.7,1.0,0.78,0.68,0.61,0.61,0.68,0.57,0.57,0.57,0.68,0.21,0.57,0.77,0.6,0.58,0.57,0.57,0.69,0.63,0.61,0.64,0.6,0.64,0.57,0.6,0.63,0.68,0.72,0.64,0.66,0.69,0.64,0.19,0.39,0.37,0.78,0.71,0.57,0.74,0.61,0.57,0.54,0.6,0.46,0.41,0.36,0.43,0.41,0.17,0.37,0.59,0.54,0.61,0.63,0.57
ENSSFOT00015035017_ENSSFOG00015022045,0.73,0.64,0.78,1.0,0.72,0.64,0.64,0.72,0.61,0.61,0.61,0.72,0.21,0.6,0.82,0.64,0.61,0.61,0.6,0.63,0.68,0.64,0.67,0.64,0.68,0.61,0.63,0.67,0.72,0.66,0.67,0.69,0.73,0.67,0.13,0.42,0.39,0.72,0.65,0.6,0.69,0.65,0.6,0.56,0.63,0.48,0.44,0.38,0.45,0.43,0.16,0.38,0.63,0.57,0.65,0.68,0.61
ENSPKIT00000003981_ENSPKIG00000006972,0.64,0.7,0.68,0.72,1.0,0.73,0.74,0.8,0.69,0.69,0.69,0.8,0.23,0.66,0.72,0.71,0.67,0.69,0.67,0.7,0.75,0.72,0.76,0.71,0.77,0.67,0.7,0.74,0.8,0.6,0.76,0.63,0.67,0.76,0.14,0.45,0.41,0.63,0.57,0.66,0.6,0.72,0.67,0.63,0.7,0.5,0.45,0.4,0.48,0.45,0.17,0.4,0.57,0.64,0.72,0.61,0.67
ENSPKIT00000004012_ENSPKIG00000006972,0.57,0.63,0.61,0.64,0.73,1.0,0.65,0.71,0.6,0.6,0.6,0.71,0.23,0.59,0.64,0.84,0.6,0.69,0.59,0.62,0.67,0.63,0.66,0.84,0.77,0.6,0.62,0.66,0.71,0.53,0.66,0.56,0.6,0.66,0.14,0.38,0.41,0.57,0.66,0.78,0.6,0.64,0.59,0.55,0.62,0.5,0.56,0.4,0.41,0.39,0.17,0.4,0.68,0.75,0.64,0.61,0.78
ENSPKIT00000004044_ENSPKIG00000006972,0.57,0.64,0.61,0.64,0.74,0.65,1.0,0.72,0.61,0.61,0.61,0.72,0.24,0.59,0.64,0.63,0.6,0.61,0.6,0.63,0.67,0.64,0.68,0.63,0.69,0.6,0.63,0.66,0.72,0.53,0.68,0.56,0.6,0.68,0.14,0.37,0.34,0.57,0.5,0.59,0.53,0.64,0.6,0.56,0.63,0.46,0.42,0.33,0.4,0.39,0.18,0.33,0.51,0.57,0.64,0.54,0.6
ENSPKIT00000032867_ENSPKIG00000024133,0.63,0.7,0.68,0.72,0.8,0.71,0.72,1.0,0.7,0.7,0.7,0.82,0.23,0.66,0.72,0.71,0.67,0.69,0.67,0.7,0.75,0.72,0.76,0.71,0.76,0.67,0.69,0.74,0.8,0.6,0.76,0.63,0.67,0.76,0.14,0.45,0.41,0.63,0.56,0.66,0.6,0.72,0.67,0.63,0.69,0.5,0.46,0.4,0.48,0.45,0.17,0.4,0.57,0.64,0.72,0.61,0.67
ENSPKIT00000032885_ENSPKIG00000024133,0.53,0.6,0.57,0.61,0.69,0.6,0.61,0.7,1.0,0.8,0.8,0.7,0.25,0.59,0.61,0.6,0.56,0.57,0.69,0.6,0.63,0.64,0.7,0.6,0.64,0.69,0.6,0.63,0.69,0.54,0.7,0.57,0.57,0.7,0.15,0.48,0.44,0.53,0.47,0.56,0.5,0.64,0.69,0.64,0.6,0.43,0.5,0.43,0.51,0.49,0.18,0.43,0.51,0.56,0.64,0.53,0.56
ENSPKIT00000032895_ENSPKIG00000024133,0.53,0.6,0.57,0.61,0.69,0.6,0.61,0.7,0.8,1.0,0.8,0.7,0.25,0.59,0.61,0.6,0.56,0.57,0.69,0.6,0.63,0.64,0.7,0.6,0.64,0.69,0.6,0.63,0.69,0.54,0.7,0.57,0.57,0.7,0.15,0.48,0.44,0.53,0.47,0.56,0.5,0.64,0.69,0.64,0.6,0.43,0.5,0.43,0.51,0.49,0.18,0.43,0.51,0.56,0.64,0.53,0.56
