,ENSPPAT00000008421_ENSPPAG00000007778,ENSPTRT00000106892_ENSPTRG00000048755,ENST00000571244_ENSG00000262406,ENSGGOT00000033003_ENSGGOG00000015496,ENSNLET00000009178_ENSNLEG00000007183,ENSMFAT00000011706_ENSMFAG00000037971,ENSMMUT00000006029_ENSMMUG00000004250,ENSMNET00000058830_ENSMNEG00000040391,ENSCATT00000041023_ENSCATG00000032347,ENSTGET00000019909_ENSTGEG00000013469,ENSPANT00000004482_ENSPANG00000018407,ENSMLET00000038425_ENSMLEG00000031646,ENSCSAT00000001217_ENSCSAG00000003188,ENSPTET00000045933_ENSPTEG00000032008
ENSPPAT00000008421_ENSPPAG00000007778,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.85,1.0,1.0,1.0
ENSPTRT00000106892_ENSPTRG00000048755,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.85,1.0,1.0,1.0
ENST00000571244_ENSG00000262406,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.85,1.0,1.0,1.0
ENSGGOT00000033003_ENSGGOG00000015496,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.85,1.0,1.0,1.0
ENSNLET00000009178_ENSNLEG00000007183,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.85,1.0,1.0,1.0
ENSMFAT00000011706_ENSMFAG00000037971,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.85,1.0,1.0,1.0
ENSMMUT00000006029_ENSMMUG00000004250,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.85,1.0,1.0,1.0
ENSMNET00000058830_ENSMNEG00000040391,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.85,1.0,1.0,1.0
ENSCATT00000041023_ENSCATG00000032347,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.85,1.0,1.0,1.0
ENSTGET00000019909_ENSTGEG00000013469,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.85,1.0,1.0,1.0
ENSPANT00000004482_ENSPANG00000018407,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,1.0,0.85,0.85,0.85
ENSMLET00000038425_ENSMLEG00000031646,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.85,1.0,1.0,1.0
ENSCSAT00000001217_ENSCSAG00000003188,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.85,1.0,1.0,1.0
ENSPTET00000045933_ENSPTEG00000032008,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.85,1.0,1.0,1.0
