,F08D12.9.1_WBGene00017252,F08D12.10.1_WBGene00017253,F08D12.11.1_WBGene00017254,F18A12.7.1_WBGene00017556,F29A7.1a.1_WBGene00017911,F29A7.1b.1_WBGene00017911,F29A7.2.1_WBGene00017912,F08D12.8.1_WBGene00017251,F08D12.6.1_WBGene00017249,F53C3.2.1_WBGene00018746,Y49F6B.7.1_WBGene00021719
F08D12.9.1_WBGene00017252,1.0,0.67,0.65,0.28,0.52,0.32,0.42,0.63,0.43,0.44,0.62
F08D12.10.1_WBGene00017253,0.67,1.0,0.65,0.28,0.52,0.31,0.42,0.62,0.42,0.43,0.62
F08D12.11.1_WBGene00017254,0.65,0.65,1.0,0.29,0.52,0.32,0.42,0.63,0.43,0.44,0.62
F18A12.7.1_WBGene00017556,0.28,0.28,0.29,1.0,0.26,0.2,0.23,0.27,0.24,0.27,0.26
F29A7.1a.1_WBGene00017911,0.52,0.52,0.52,0.26,1.0,0.57,0.39,0.54,0.4,0.44,0.51
F29A7.1b.1_WBGene00017911,0.32,0.31,0.32,0.2,0.57,1.0,0.33,0.33,0.27,0.31,0.31
F29A7.2.1_WBGene00017912,0.42,0.42,0.42,0.23,0.39,0.33,1.0,0.43,0.33,0.36,0.41
F08D12.8.1_WBGene00017251,0.63,0.62,0.63,0.27,0.54,0.33,0.43,1.0,0.44,0.44,0.62
F08D12.6.1_WBGene00017249,0.43,0.42,0.43,0.24,0.4,0.27,0.33,0.44,1.0,0.45,0.42
F53C3.2.1_WBGene00018746,0.44,0.43,0.44,0.27,0.44,0.31,0.36,0.44,0.45,1.0,0.43
Y49F6B.7.1_WBGene00021719,0.62,0.62,0.62,0.26,0.51,0.31,0.41,0.62,0.42,0.43,1.0
