,ENSAPET00000003062_ENSAPEG00000002175,ENSAOCT00000000219_ENSAOCG00000013004,ENSAPOT00000007225_ENSAPOG00000007893,ENSSPAT00000003310_ENSSPAG00000002483,ENSXCOT00000006077_ENSXCOG00000004662,ENSXMAT00000032453_ENSXMAG00000022693,ENSGAFT00000017381_ENSGAFG00000011638,ENSPFOT00000020419_ENSPFOG00000020269,ENSPMET00000004941_ENSPMEG00000008516,ENSPLAT00000004508_ENSPLAG00000009824,ENSPRET00000006460_ENSPREG00000004426,ENSFHET00000010448_ENSFHEG00000004395,ENSCVAT00000001547_ENSCVAG00000010291,ENSKMAT00000010542_ENSKMAG00000007801
ENSAPET00000003062_ENSAPEG00000002175,1.0,0.5,0.5,0.5,0.25,0.5,0.5,0.5,0.5,1e-18,0.5,0.12,0.5,0.5
ENSAOCT00000000219_ENSAOCG00000013004,0.5,1.0,0.5,0.5,0.25,0.5,0.5,0.5,0.5,1e-18,0.5,0.12,0.5,0.5
ENSAPOT00000007225_ENSAPOG00000007893,0.5,0.5,1.0,0.5,0.25,0.5,0.5,0.5,0.5,1e-18,0.5,0.12,0.5,0.5
ENSSPAT00000003310_ENSSPAG00000002483,0.5,0.5,0.5,1.0,0.25,0.5,0.5,0.5,0.5,1e-18,0.5,0.12,0.5,0.5
ENSXCOT00000006077_ENSXCOG00000004662,0.25,0.25,0.25,0.25,1.0,0.25,0.25,0.25,0.25,1e-18,0.25,0.12,0.25,0.25
ENSXMAT00000032453_ENSXMAG00000022693,0.5,0.5,0.5,0.5,0.25,1.0,0.5,0.5,0.5,1e-18,0.5,0.12,0.5,0.5
ENSGAFT00000017381_ENSGAFG00000011638,0.5,0.5,0.5,0.5,0.25,0.5,1.0,0.5,0.5,1e-18,0.5,0.12,0.5,0.5
ENSPFOT00000020419_ENSPFOG00000020269,0.5,0.5,0.5,0.5,0.25,0.5,0.5,1.0,0.5,1e-18,0.5,0.12,0.5,0.5
ENSPMET00000004941_ENSPMEG00000008516,0.5,0.5,0.5,0.5,0.25,0.5,0.5,0.5,1.0,1e-18,0.5,0.12,0.5,0.5
ENSPLAT00000004508_ENSPLAG00000009824,1e-18,1e-18,1e-18,1e-18,1e-18,1e-18,1e-18,1e-18,1e-18,1.0,1e-18,0.12,1e-18,1e-18
ENSPRET00000006460_ENSPREG00000004426,0.5,0.5,0.5,0.5,0.25,0.5,0.5,0.5,0.5,1e-18,1.0,0.12,0.5,0.5
ENSFHET00000010448_ENSFHEG00000004395,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,1.0,0.12,0.12
ENSCVAT00000001547_ENSCVAG00000010291,0.5,0.5,0.5,0.5,0.25,0.5,0.5,0.5,0.5,1e-18,0.5,0.12,1.0,0.5
ENSKMAT00000010542_ENSKMAG00000007801,0.5,0.5,0.5,0.5,0.25,0.5,0.5,0.5,0.5,1e-18,0.5,0.12,0.5,1.0
