,ENSPMAT00000000853_ENSPMAG00000000775,ENSEBUT00000017972_ENSEBUG00000010865,ENSTRUT00000053019_ENSTRUG00000007881,ENSTRUT00000019696_ENSTRUG00000007881,ENSTNIT00000016247_ENSTNIG00000013055,ENSMMOT00000004821_ENSMMOG00000003790,ENSCGOT00000025503_ENSCGOG00000011259,ENSCGOT00000025505_ENSCGOG00000011259,ENSGWIT00000037564_ENSGWIG00000017823,ENSGWIT00000037565_ENSGWIG00000017823,ENSGWIT00000037566_ENSGWIG00000017823,ENSGWIT00000037567_ENSGWIG00000017823,ENSGWIT00000032081_ENSGWIG00000015343,ENSGWIT00000032083_ENSGWIG00000015343,ENSCSET00000007097_ENSCSEG00000004544,ENSCSET00000007102_ENSCSEG00000004544,ENSLCRT00005043432_ENSLCRG00005016372,ENSLCRT00005043435_ENSLCRG00005016372,ENSLCRT00005043438_ENSLCRG00005016372,ENSLCRT00005043440_ENSLCRG00005016372
ENSPMAT00000000853_ENSPMAG00000000775,1.0,0.71,0.62,0.56,0.57,0.55,0.62,0.54,0.59,0.62,0.62,0.54,0.6,0.56,0.62,0.62,0.55,0.62,0.57,0.54
ENSEBUT00000017972_ENSEBUG00000010865,0.71,1.0,0.68,0.57,0.62,0.57,0.68,0.58,0.65,0.68,0.68,0.56,0.65,0.57,0.68,0.68,0.6,0.68,0.62,0.59
ENSTRUT00000053019_ENSTRUG00000007881,0.62,0.68,1.0,0.69,0.77,0.65,0.87,0.72,0.8,0.86,0.87,0.62,0.77,0.62,0.87,0.86,0.76,0.87,0.73,0.73
ENSTRUT00000019696_ENSTRUG00000007881,0.56,0.57,0.69,1.0,0.69,0.65,0.69,0.61,0.64,0.68,0.69,0.6,0.61,0.62,0.68,0.68,0.63,0.69,0.69,0.61
ENSTNIT00000016247_ENSTNIG00000013055,0.57,0.62,0.77,0.69,1.0,0.6,0.76,0.69,0.72,0.76,0.76,0.55,0.69,0.57,0.76,0.75,0.72,0.76,0.65,0.69
ENSMMOT00000004821_ENSMMOG00000003790,0.55,0.57,0.65,0.65,0.6,1.0,0.66,0.56,0.62,0.65,0.65,0.59,0.6,0.6,0.65,0.65,0.57,0.66,0.66,0.57
ENSCGOT00000025503_ENSCGOG00000011259,0.62,0.68,0.87,0.69,0.76,0.66,1.0,0.73,0.8,0.86,0.87,0.62,0.77,0.63,0.87,0.86,0.76,0.87,0.73,0.73
ENSCGOT00000025505_ENSCGOG00000011259,0.54,0.58,0.72,0.61,0.69,0.56,0.73,1.0,0.68,0.72,0.72,0.51,0.65,0.53,0.72,0.71,0.77,0.72,0.62,0.73
ENSGWIT00000037564_ENSGWIG00000017823,0.59,0.65,0.8,0.64,0.72,0.62,0.8,0.68,1.0,0.81,0.81,0.59,0.73,0.6,0.8,0.8,0.71,0.8,0.68,0.68
ENSGWIT00000037565_ENSGWIG00000017823,0.62,0.68,0.86,0.68,0.76,0.65,0.86,0.72,0.81,1.0,0.87,0.62,0.77,0.62,0.86,0.86,0.76,0.86,0.72,0.72
ENSGWIT00000037566_ENSGWIG00000017823,0.62,0.68,0.87,0.69,0.76,0.65,0.87,0.72,0.81,0.87,1.0,0.62,0.77,0.63,0.87,0.86,0.76,0.87,0.73,0.73
ENSGWIT00000037567_ENSGWIG00000017823,0.54,0.56,0.62,0.6,0.55,0.59,0.62,0.51,0.59,0.62,0.62,1.0,0.59,0.59,0.62,0.61,0.52,0.62,0.62,0.52
ENSGWIT00000032081_ENSGWIG00000015343,0.6,0.65,0.77,0.61,0.69,0.6,0.77,0.65,0.73,0.77,0.77,0.59,1.0,0.73,0.77,0.76,0.68,0.77,0.65,0.65
ENSGWIT00000032083_ENSGWIG00000015343,0.56,0.57,0.62,0.62,0.57,0.6,0.63,0.53,0.6,0.62,0.63,0.59,0.73,1.0,0.62,0.62,0.54,0.63,0.62,0.54
ENSCSET00000007097_ENSCSEG00000004544,0.62,0.68,0.87,0.68,0.76,0.65,0.87,0.72,0.8,0.86,0.87,0.62,0.77,0.62,1.0,0.87,0.76,0.87,0.73,0.72
ENSCSET00000007102_ENSCSEG00000004544,0.62,0.68,0.86,0.68,0.75,0.65,0.86,0.71,0.8,0.86,0.86,0.61,0.76,0.62,0.87,1.0,0.75,0.86,0.72,0.72
ENSLCRT00005043432_ENSLCRG00005016372,0.55,0.6,0.76,0.63,0.72,0.57,0.76,0.77,0.71,0.76,0.76,0.52,0.68,0.54,0.76,0.75,1.0,0.77,0.64,0.77
ENSLCRT00005043435_ENSLCRG00005016372,0.62,0.68,0.87,0.69,0.76,0.66,0.87,0.72,0.8,0.86,0.87,0.62,0.77,0.63,0.87,0.86,0.77,1.0,0.73,0.73
ENSLCRT00005043438_ENSLCRG00005016372,0.57,0.62,0.73,0.69,0.65,0.66,0.73,0.62,0.68,0.72,0.73,0.62,0.65,0.62,0.73,0.72,0.64,0.73,1.0,0.62
ENSLCRT00005043440_ENSLCRG00005016372,0.54,0.59,0.73,0.61,0.69,0.57,0.73,0.73,0.68,0.72,0.73,0.52,0.65,0.54,0.72,0.72,0.77,0.73,0.62,1.0
