,ENSUMAT00000004736_ENSUMAG00000003186,ENSUAMT00000004853_ENSUAMG00000003908,ENSNVIT00000014005_ENSNVIG00000009452,ENSPANT00000055980_ENSPANG00000035990,ENSTGET00000023819_ENSTGEG00000016102,ENSMNET00000015739_ENSMNEG00000014441,ENSMFAT00000065362_ENSMFAG00000030626,ENSMLET00000018230_ENSMLEG00000016679,ENSPTET00000051803_ENSPTEG00000035731,ENSCJAT00000085051_ENSCJAG00000041383
ENSUMAT00000004736_ENSUMAG00000003186,1.0,1.0,0.2,0.63,0.63,0.63,0.63,0.63,0.64,0.63
ENSUAMT00000004853_ENSUAMG00000003908,1.0,1.0,0.2,0.63,0.63,0.63,0.63,0.63,0.64,0.63
ENSNVIT00000014005_ENSNVIG00000009452,0.2,0.2,1.0,0.37,0.37,0.36,0.37,0.36,0.37,0.36
ENSPANT00000055980_ENSPANG00000035990,0.63,0.63,0.37,1.0,1.0,1.0,1.0,1.0,0.99,0.97
ENSTGET00000023819_ENSTGEG00000016102,0.63,0.63,0.37,1.0,1.0,1.0,1.0,1.0,0.99,0.97
ENSMNET00000015739_ENSMNEG00000014441,0.63,0.63,0.36,1.0,1.0,1.0,1.0,0.99,0.99,0.97
ENSMFAT00000065362_ENSMFAG00000030626,0.63,0.63,0.37,1.0,1.0,1.0,1.0,0.99,0.99,0.97
ENSMLET00000018230_ENSMLEG00000016679,0.63,0.63,0.36,1.0,1.0,0.99,0.99,1.0,0.99,0.97
ENSPTET00000051803_ENSPTEG00000035731,0.64,0.64,0.37,0.99,0.99,0.99,0.99,0.99,1.0,0.97
ENSCJAT00000085051_ENSCJAG00000041383,0.63,0.63,0.36,0.97,0.97,0.97,0.97,0.97,0.97,1.0
