,ENSDCDT00000014157_ENSDCDG00000005697,ENSCHAT00000019987_ENSCHAG00000007673,ENSCHAT00000020010_ENSCHAG00000007673,ENSCHAT00000020459_ENSCHAG00000007673,ENSIPUT00000033507_ENSIPUG00000021667,ENSEEET00000042639_ENSEEEG00000019908,ENSEEET00000042748_ENSEEEG00000019908,ENSEEET00000042749_ENSEEEG00000019908,ENSEEET00000042772_ENSEEEG00000019908,ENSAMXT00000040778_ENSAMXG00000008241,ENSAMXT00000008466_ENSAMXG00000008241
ENSDCDT00000014157_ENSDCDG00000005697,1.0,1.0,0.7,0.79,1.0,0.75,0.96,0.75,0.79,0.82,0.88
ENSCHAT00000019987_ENSCHAG00000007673,1.0,1.0,0.7,0.79,1.0,0.75,0.96,0.75,0.79,0.82,0.88
ENSCHAT00000020010_ENSCHAG00000007673,0.7,0.7,1.0,0.63,0.7,0.6,0.7,0.67,0.63,0.59,0.71
ENSCHAT00000020459_ENSCHAG00000007673,0.79,0.79,0.63,1.0,0.79,0.68,0.79,0.6,0.71,0.63,0.85
ENSIPUT00000033507_ENSIPUG00000021667,1.0,1.0,0.7,0.79,1.0,0.75,0.96,0.75,0.79,0.82,0.88
ENSEEET00000042639_ENSEEEG00000019908,0.75,0.75,0.6,0.68,0.75,1.0,0.75,0.57,0.82,0.6,0.77
ENSEEET00000042748_ENSEEEG00000019908,0.96,0.96,0.7,0.79,0.96,0.75,1.0,0.75,0.79,0.79,0.88
ENSEEET00000042749_ENSEEEG00000019908,0.75,0.75,0.67,0.6,0.75,0.57,0.75,1.0,0.6,0.71,0.68
ENSEEET00000042772_ENSEEEG00000019908,0.79,0.79,0.63,0.71,0.79,0.82,0.79,0.6,1.0,0.63,0.81
ENSAMXT00000040778_ENSAMXG00000008241,0.82,0.82,0.59,0.63,0.82,0.6,0.79,0.71,0.63,1.0,0.71
ENSAMXT00000008466_ENSAMXG00000008241,0.88,0.88,0.71,0.85,0.88,0.77,0.88,0.68,0.81,0.71,1.0
