,ENSPPAT00000064306_ENSPPAG00000043305,ENSPTRT00000106361_ENSPTRG00000047392,ENSGGOT00000067462_ENSGGOG00000043545,ENSMLET00000064231_ENSMLEG00000044320,ENSCATT00000049272_ENSCATG00000036020,ENSMNET00000044751_ENSMNEG00000034071,ENSTGET00000026808_ENSTGEG00000018176,ENSMLET00000059615_ENSMLEG00000042131,ENSTGET00000008571_ENSTGEG00000005830,ENSMLET00000044862_ENSMLEG00000034898,ENSPTET00000041121_ENSPTEG00000028988,ENSPTET00000041126_ENSPTEG00000028988,ENSPTET00000023042_ENSPTEG00000017117,ENSRROT00000051737_ENSRROG00000037502,ENSRROT00000035448_ENSRROG00000030015,ENSRROT00000066786_ENSRROG00000044303,ENSMMUT00000088937_ENSMMUG00000064388,ENSPTET00000043703_ENSPTEG00000030602,ENSPANT00000052837_ENSPANG00000030996,ENSMLET00000050268_ENSMLEG00000037569,ENSMNET00000033326_ENSMNEG00000029048,ENSMFAT00000014383_ENSMFAG00000046234,ENSCATT00000045232_ENSCATG00000034265,ENSPANT00000045267_ENSPANG00000030987,ENSRBIT00000034826_ENSRBIG00000029456,ENSPTET00000035967_ENSPTEG00000025715,ENSRBIT00000061799_ENSRBIG00000042459
ENSPPAT00000064306_ENSPPAG00000043305,1.0,0.5,0.5,0.5,0.5,0.5,0.25,0.25,0.25,0.5,1e-18,1e-18,1e-18,0.25,0.25,0.25,0.17,1e-18,0.25,0.25,0.25,0.25,1e-18,0.5,0.25,0.25,0.5
ENSPTRT00000106361_ENSPTRG00000047392,0.5,1.0,0.5,0.5,0.5,0.5,0.25,0.25,0.25,0.5,1e-18,1e-18,1e-18,0.25,0.25,0.25,0.17,1e-18,0.25,0.25,0.25,0.25,1e-18,0.5,0.25,0.25,0.5
ENSGGOT00000067462_ENSGGOG00000043545,0.5,0.5,1.0,0.5,0.5,0.5,0.25,0.25,0.25,0.5,1e-18,1e-18,1e-18,0.25,0.25,0.25,0.17,1e-18,0.25,0.25,0.25,0.25,1e-18,0.5,0.25,0.25,0.5
ENSMLET00000064231_ENSMLEG00000044320,0.5,0.5,0.5,1.0,0.5,0.5,0.25,0.25,0.25,0.5,1e-18,1e-18,1e-18,0.25,0.25,0.25,0.17,1e-18,0.25,0.25,0.25,0.25,1e-18,0.5,0.25,0.25,0.5
ENSCATT00000049272_ENSCATG00000036020,0.5,0.5,0.5,0.5,1.0,0.5,0.25,0.25,0.25,0.5,1e-18,1e-18,1e-18,0.25,0.25,0.25,0.17,1e-18,0.25,0.25,0.25,0.25,1e-18,0.5,0.25,0.25,0.5
ENSMNET00000044751_ENSMNEG00000034071,0.5,0.5,0.5,0.5,0.5,1.0,0.25,0.25,0.25,0.5,1e-18,1e-18,1e-18,0.25,0.25,0.25,0.17,1e-18,0.25,0.25,0.25,0.25,1e-18,0.5,0.25,0.25,0.5
ENSTGET00000026808_ENSTGEG00000018176,0.25,0.25,0.25,0.25,0.25,0.25,1.0,0.25,1e-18,0.25,1e-18,1e-18,1e-18,0.25,0.25,0.25,0.25,1e-18,0.5,0.5,0.25,0.5,1e-18,0.25,0.5,0.5,0.25
ENSMLET00000059615_ENSMLEG00000042131,0.25,0.25,0.25,0.25,0.25,0.25,0.25,1.0,1e-18,0.25,1e-18,1e-18,1e-18,0.5,0.5,0.5,0.17,1e-18,0.25,0.25,0.25,0.25,1e-18,0.25,0.25,0.25,0.25
ENSTGET00000008571_ENSTGEG00000005830,0.25,0.25,0.25,0.25,0.25,0.25,1e-18,1e-18,1.0,0.25,1e-18,1e-18,1e-18,1e-18,1e-18,1e-18,1e-18,1e-18,1e-18,1e-18,1e-18,1e-18,1e-18,0.25,1e-18,1e-18,0.25
ENSMLET00000044862_ENSMLEG00000034898,0.5,0.5,0.5,0.5,0.5,0.5,0.25,0.25,0.25,1.0,1e-18,1e-18,1e-18,0.25,0.25,0.25,0.17,1e-18,0.25,0.25,0.25,0.25,1e-18,0.5,0.25,0.25,0.5
