,ENSPVIT00000028074_ENSPVIG00000017104,ENSSMRT00000008839_ENSSMRG00000006071,ENSSMRT00000008853_ENSSMRG00000006071,ENSSPUT00000012973_ENSSPUG00000009265,ENSAHAT00000010190_ENSAHAG00000006682,ENSAOWT00000023316_ENSAOWG00000013920,ENSARWT00000031391_ENSARWG00000018746,ENSDNVT00000019719_ENSDNVG00000011520,ENSNPET00000015706_ENSNPEG00000011428,ENSABRT00000002588_ENSABRG00000001767
ENSPVIT00000028074_ENSPVIG00000017104,1.0,0.9,0.9,0.87,0.87,0.87,0.87,0.87,0.73,0.87
ENSSMRT00000008839_ENSSMRG00000006071,0.9,1.0,0.97,0.8,0.8,0.8,0.8,0.8,0.67,0.8
ENSSMRT00000008853_ENSSMRG00000006071,0.9,0.97,1.0,0.8,0.8,0.8,0.8,0.8,0.67,0.8
ENSSPUT00000012973_ENSSPUG00000009265,0.87,0.8,0.8,1.0,1.0,1.0,1.0,1.0,0.7,1.0
ENSAHAT00000010190_ENSAHAG00000006682,0.87,0.8,0.8,1.0,1.0,1.0,1.0,1.0,0.7,1.0
ENSAOWT00000023316_ENSAOWG00000013920,0.87,0.8,0.8,1.0,1.0,1.0,1.0,1.0,0.7,1.0
ENSARWT00000031391_ENSARWG00000018746,0.87,0.8,0.8,1.0,1.0,1.0,1.0,1.0,0.7,1.0
ENSDNVT00000019719_ENSDNVG00000011520,0.87,0.8,0.8,1.0,1.0,1.0,1.0,1.0,0.7,1.0
ENSNPET00000015706_ENSNPEG00000011428,0.73,0.67,0.67,0.7,0.7,0.7,0.7,0.7,1.0,0.7
ENSABRT00000002588_ENSABRG00000001767,0.87,0.8,0.8,1.0,1.0,1.0,1.0,1.0,0.7,1.0
