,ENSCSET00000000020_ENSCSEG00000000020,ENSMALT00000000020_ENSMALG00000000020,ENSPRET00000000020_ENSPREG00000000020,ENSXMAT00000020874_ENSXMAG00000020799,ENSFHET00000000020_ENSFHEG00000000020,ENSCVAT00000000020_ENSCVAG00000000020,ENSKMAT00000000020_ENSKMAG00000000020,ENSORLT00000026747_ENSORLG00000021766,ENSMZET00005000020_ENSMZEG00005000020,ENSNBRT00000000020_ENSNBRG00000000020
ENSCSET00000000020_ENSCSEG00000000020,1.0,0.85,0.85,0.86,0.86,0.86,0.86,0.86,0.86,0.87
ENSMALT00000000020_ENSMALG00000000020,0.85,1.0,0.85,0.85,0.86,0.87,0.87,0.86,0.87,0.87
ENSPRET00000000020_ENSPREG00000000020,0.85,0.85,1.0,0.92,0.91,0.91,0.89,0.89,0.91,0.9
ENSXMAT00000020874_ENSXMAG00000020799,0.86,0.85,0.92,1.0,0.9,0.9,0.88,0.89,0.91,0.91
ENSFHET00000000020_ENSFHEG00000000020,0.86,0.86,0.91,0.9,1.0,0.92,0.89,0.89,0.9,0.91
ENSCVAT00000000020_ENSCVAG00000000020,0.86,0.87,0.91,0.9,0.92,1.0,0.9,0.91,0.91,0.92
ENSKMAT00000000020_ENSKMAG00000000020,0.86,0.87,0.89,0.88,0.89,0.9,1.0,0.88,0.89,0.89
ENSORLT00000026747_ENSORLG00000021766,0.86,0.86,0.89,0.89,0.89,0.91,0.88,1.0,0.9,0.91
ENSMZET00005000020_ENSMZEG00005000020,0.86,0.87,0.91,0.91,0.9,0.91,0.89,0.9,1.0,0.95
ENSNBRT00000000020_ENSNBRG00000000020,0.87,0.87,0.9,0.91,0.91,0.92,0.89,0.91,0.95,1.0
