,ENSDCDT00000066069_ENSDCDG00000031825,ENSDCDT00000066194_ENSDCDG00000031825,ENSDCDT00000066205_ENSDCDG00000031825,ENSDCDT00000066206_ENSDCDG00000031825,ENSCHAT00000025663_ENSCHAG00000011192,ENSCHAT00000025693_ENSCHAG00000011192,ENSCHAT00000026066_ENSCHAG00000011192,ENSCHAT00000026355_ENSCHAG00000011192,ENSCHAT00000026572_ENSCHAG00000011192,ENSCHAT00000026723_ENSCHAG00000011192,ENSAMXT00000047401_ENSAMXG00000015259,ENSAMXT00000030801_ENSAMXG00000015259
ENSDCDT00000066069_ENSDCDG00000031825,1.0,0.76,0.75,0.75,0.68,0.67,0.72,0.76,0.54,0.47,0.68,0.47
ENSDCDT00000066194_ENSDCDG00000031825,0.76,1.0,0.87,0.55,0.65,0.65,0.65,0.69,0.59,0.43,0.72,0.5
ENSDCDT00000066205_ENSDCDG00000031825,0.75,0.87,1.0,0.54,0.65,0.64,0.64,0.68,0.58,0.42,0.71,0.48
ENSDCDT00000066206_ENSDCDG00000031825,0.75,0.55,0.54,1.0,0.48,0.48,0.51,0.55,0.72,0.63,0.5,0.63
ENSCHAT00000025663_ENSCHAG00000011192,0.68,0.65,0.65,0.48,1.0,0.93,0.81,0.76,0.48,0.41,0.63,0.41
ENSCHAT00000025693_ENSCHAG00000011192,0.67,0.65,0.64,0.48,0.93,1.0,0.79,0.75,0.47,0.41,0.63,0.4
ENSCHAT00000026066_ENSCHAG00000011192,0.72,0.65,0.64,0.51,0.81,0.79,1.0,0.82,0.48,0.44,0.63,0.42
ENSCHAT00000026355_ENSCHAG00000011192,0.76,0.69,0.68,0.55,0.76,0.75,0.82,1.0,0.55,0.47,0.67,0.46
ENSCHAT00000026572_ENSCHAG00000011192,0.54,0.59,0.58,0.72,0.48,0.47,0.48,0.55,1.0,0.71,0.52,0.64
ENSCHAT00000026723_ENSCHAG00000011192,0.47,0.43,0.42,0.63,0.41,0.41,0.44,0.47,0.71,1.0,0.5,0.55
ENSAMXT00000047401_ENSAMXG00000015259,0.68,0.72,0.71,0.5,0.63,0.63,0.63,0.67,0.52,0.5,1.0,0.57
ENSAMXT00000030801_ENSAMXG00000015259,0.47,0.5,0.48,0.63,0.41,0.4,0.42,0.46,0.64,0.55,0.57,1.0
