,ENSSDAT00000020212_ENSSDAG00000016132,ENSUPAT00010014419_ENSUPAG00010010207,ENSCCNT00000028668_ENSCCNG00000022027,ENSOCUT00000044269_ENSOCUG00000033695,ENSTGET00000022245_ENSTGEG00000015053,ENSPTET00000050694_ENSPTEG00000035049,ENSPPYT00000010566_ENSPPYG00000009052,ENSCJAT00000117124_ENSCJAG00000056195,ENSPSMT00000039737_ENSPSMG00000023754,ENSUMAT00000032110_ENSUMAG00000019713,ENSUAMT00000021486_ENSUAMG00000015175,ENSNVIT00000026116_ENSNVIG00000017499,ENSVVUT00000007428_ENSVVUG00000004342,ENSPPRT00000031413_ENSPPRG00000021544
ENSSDAT00000020212_ENSSDAG00000016132,1.0,0.98,0.78,0.85,0.88,0.75,0.86,0.89,0.9,0.9,0.9,0.89,0.91,0.78
ENSUPAT00010014419_ENSUPAG00010010207,0.98,1.0,0.8,0.87,0.9,0.77,0.89,0.91,0.89,0.91,0.91,0.91,0.93,0.79
ENSCCNT00000028668_ENSCCNG00000022027,0.78,0.8,1.0,0.82,0.84,0.9,0.75,0.85,0.8,0.82,0.82,0.8,0.81,0.72
ENSOCUT00000044269_ENSOCUG00000033695,0.85,0.87,0.82,1.0,0.92,0.8,0.87,0.93,0.87,0.9,0.9,0.89,0.89,0.81
ENSTGET00000022245_ENSTGEG00000015053,0.88,0.9,0.84,0.92,1.0,0.86,0.86,0.98,0.9,0.92,0.92,0.9,0.91,0.82
ENSPTET00000050694_ENSPTEG00000035049,0.75,0.77,0.9,0.8,0.86,1.0,0.73,0.84,0.77,0.79,0.79,0.77,0.79,0.74
ENSPPYT00000010566_ENSPPYG00000009052,0.86,0.89,0.75,0.87,0.86,0.73,1.0,0.87,0.84,0.89,0.89,0.92,0.9,0.74
ENSCJAT00000117124_ENSCJAG00000056195,0.89,0.91,0.85,0.93,0.98,0.84,0.87,1.0,0.91,0.92,0.92,0.91,0.92,0.83
ENSPSMT00000039737_ENSPSMG00000023754,0.9,0.89,0.8,0.87,0.9,0.77,0.84,0.91,1.0,0.9,0.9,0.89,0.9,0.78
ENSUMAT00000032110_ENSUMAG00000019713,0.9,0.91,0.82,0.9,0.92,0.79,0.89,0.92,0.9,1.0,1.0,0.96,0.93,0.82
ENSUAMT00000021486_ENSUAMG00000015175,0.9,0.91,0.82,0.9,0.92,0.79,0.89,0.92,0.9,1.0,1.0,0.96,0.93,0.82
ENSNVIT00000026116_ENSNVIG00000017499,0.89,0.91,0.8,0.89,0.9,0.77,0.92,0.91,0.89,0.96,0.96,1.0,0.91,0.8
ENSVVUT00000007428_ENSVVUG00000004342,0.91,0.93,0.81,0.89,0.91,0.79,0.9,0.92,0.9,0.93,0.93,0.91,1.0,0.8
ENSPPRT00000031413_ENSPPRG00000021544,0.78,0.79,0.72,0.81,0.82,0.74,0.74,0.83,0.78,0.82,0.82,0.8,0.8,1.0
