,ENSEEUT00000013953_ENSEEUG00000013929,ENSCJAT00000007778_ENSCJAG00000004048,ENSPMET00000021487_ENSPMEG00000016053,ENSPMET00000021495_ENSPMEG00000016053,ENSPMET00000032318_ENSPMEG00000016053,ENSPMET00000032322_ENSPMEG00000016053,ENSPLAT00000017722_ENSPLAG00000013544,ENSPLAT00000028877_ENSPLAG00000013544,C34E11.3a.1_WBGene00044079,C34E11.3b.1_WBGene00044079,C34E11.3c.1_WBGene00044079,C34E11.3d.1_WBGene00044079,C34E11.3e.1_WBGene00044079,C34E11.3f.1_WBGene00044079,C34E11.3g.1_WBGene00044079
ENSEEUT00000013953_ENSEEUG00000013929,1.0,0.77,0.7,0.69,0.69,0.66,0.68,0.68,0.08,0.1,0.46,0.48,0.09,0.1,0.11
ENSCJAT00000007778_ENSCJAG00000004048,0.77,1.0,0.68,0.67,0.67,0.65,0.66,0.66,0.07,0.09,0.46,0.47,0.08,0.09,0.09
ENSPMET00000021487_ENSPMEG00000016053,0.7,0.68,1.0,0.95,0.95,0.91,0.93,0.93,0.16,0.17,0.52,0.54,0.15,0.16,0.17
ENSPMET00000021495_ENSPMEG00000016053,0.69,0.67,0.95,1.0,0.98,0.93,0.96,0.96,0.16,0.17,0.52,0.54,0.15,0.16,0.17
ENSPMET00000032318_ENSPMEG00000016053,0.69,0.67,0.95,0.98,1.0,0.93,0.96,0.96,0.16,0.17,0.52,0.54,0.15,0.16,0.17
ENSPMET00000032322_ENSPMEG00000016053,0.66,0.65,0.91,0.93,0.93,1.0,0.94,0.94,0.18,0.19,0.54,0.56,0.17,0.18,0.19
ENSPLAT00000017722_ENSPLAG00000013544,0.68,0.66,0.93,0.96,0.96,0.94,1.0,0.98,0.17,0.18,0.53,0.55,0.16,0.17,0.18
ENSPLAT00000028877_ENSPLAG00000013544,0.68,0.66,0.93,0.96,0.96,0.94,0.98,1.0,0.17,0.18,0.53,0.55,0.16,0.17,0.18
C34E11.3a.1_WBGene00044079,0.08,0.07,0.16,0.16,0.16,0.18,0.17,0.17,1.0,0.97,0.48,0.45,0.94,0.93,0.91
C34E11.3b.1_WBGene00044079,0.1,0.09,0.17,0.17,0.17,0.19,0.18,0.18,0.97,1.0,0.45,0.47,0.91,0.92,0.94
C34E11.3c.1_WBGene00044079,0.46,0.46,0.52,0.52,0.52,0.54,0.53,0.53,0.48,0.45,1.0,0.94,0.47,0.46,0.45
C34E11.3d.1_WBGene00044079,0.48,0.47,0.54,0.54,0.54,0.56,0.55,0.55,0.45,0.47,0.94,1.0,0.45,0.46,0.47
C34E11.3e.1_WBGene00044079,0.09,0.08,0.15,0.15,0.15,0.17,0.16,0.16,0.94,0.91,0.47,0.45,1.0,0.98,0.97
C34E11.3f.1_WBGene00044079,0.1,0.09,0.16,0.16,0.16,0.18,0.17,0.17,0.93,0.92,0.46,0.46,0.98,1.0,0.98
C34E11.3g.1_WBGene00044079,0.11,0.09,0.17,0.17,0.17,0.19,0.18,0.18,0.91,0.94,0.45,0.47,0.97,0.98,1.0
