,F19B10.10.1_WBGene00017589,F19B10.10.2_WBGene00017589,Y73C8C.3.1_WBGene00022262,C16A11.5a.1_WBGene00015818,C16A11.5a.2_WBGene00015818,C16A11.5a.3_WBGene00015818,C16A11.5b.1_WBGene00015818,C16A11.5b.2_WBGene00015818,C16A11.5b.3_WBGene00015818,C16A11.5b.4_WBGene00015818,C16A11.5b.5_WBGene00015818,C16A11.5b.6_WBGene00015818,C16A11.5c.1_WBGene00015818,C16A11.5c.2_WBGene00015818,C16A11.5d.1_WBGene00015818,C16A11.5e.1_WBGene00015818,C09E7.8a.1_WBGene00015642,C09E7.8a.2_WBGene00015642,C09E7.8b.1_WBGene00015642,C09E7.8b.2_WBGene00015642
F19B10.10.1_WBGene00017589,1.0,1.0,0.46,0.67,0.67,0.67,0.66,0.66,0.66,0.66,0.66,0.66,0.64,0.64,0.63,0.62,0.49,0.49,0.51,0.51
F19B10.10.2_WBGene00017589,1.0,1.0,0.46,0.67,0.67,0.67,0.66,0.66,0.66,0.66,0.66,0.66,0.64,0.64,0.63,0.62,0.49,0.49,0.51,0.51
Y73C8C.3.1_WBGene00022262,0.46,0.46,1.0,0.51,0.51,0.51,0.51,0.51,0.51,0.51,0.51,0.51,0.51,0.51,0.51,0.43,0.24,0.24,0.34,0.34
C16A11.5a.1_WBGene00015818,0.67,0.67,0.51,1.0,1.0,1.0,0.94,0.94,0.94,0.94,0.94,0.94,0.7,0.7,0.69,0.9,0.47,0.47,0.59,0.59
C16A11.5a.2_WBGene00015818,0.67,0.67,0.51,1.0,1.0,1.0,0.94,0.94,0.94,0.94,0.94,0.94,0.7,0.7,0.69,0.9,0.47,0.47,0.59,0.59
C16A11.5a.3_WBGene00015818,0.67,0.67,0.51,1.0,1.0,1.0,0.94,0.94,0.94,0.94,0.94,0.94,0.7,0.7,0.69,0.9,0.47,0.47,0.59,0.59
C16A11.5b.1_WBGene00015818,0.66,0.66,0.51,0.94,0.94,0.94,1.0,1.0,1.0,1.0,1.0,1.0,0.68,0.68,0.67,0.83,0.47,0.47,0.62,0.62
C16A11.5b.2_WBGene00015818,0.66,0.66,0.51,0.94,0.94,0.94,1.0,1.0,1.0,1.0,1.0,1.0,0.68,0.68,0.67,0.83,0.47,0.47,0.62,0.62
C16A11.5b.3_WBGene00015818,0.66,0.66,0.51,0.94,0.94,0.94,1.0,1.0,1.0,1.0,1.0,1.0,0.68,0.68,0.67,0.83,0.47,0.47,0.62,0.62
C16A11.5b.4_WBGene00015818,0.66,0.66,0.51,0.94,0.94,0.94,1.0,1.0,1.0,1.0,1.0,1.0,0.68,0.68,0.67,0.83,0.47,0.47,0.62,0.62
C16A11.5b.5_WBGene00015818,0.66,0.66,0.51,0.94,0.94,0.94,1.0,1.0,1.0,1.0,1.0,1.0,0.68,0.68,0.67,0.83,0.47,0.47,0.62,0.62
C16A11.5b.6_WBGene00015818,0.66,0.66,0.51,0.94,0.94,0.94,1.0,1.0,1.0,1.0,1.0,1.0,0.68,0.68,0.67,0.83,0.47,0.47,0.62,0.62
C16A11.5c.1_WBGene00015818,0.64,0.64,0.51,0.7,0.7,0.7,0.68,0.68,0.68,0.68,0.68,0.68,1.0,1.0,0.99,0.79,0.41,0.41,0.5,0.5
C16A11.5c.2_WBGene00015818,0.64,0.64,0.51,0.7,0.7,0.7,0.68,0.68,0.68,0.68,0.68,0.68,1.0,1.0,0.99,0.79,0.41,0.41,0.5,0.5
C16A11.5d.1_WBGene00015818,0.63,0.63,0.51,0.69,0.69,0.69,0.67,0.67,0.67,0.67,0.67,0.67,0.99,0.99,1.0,0.79,0.41,0.41,0.5,0.5
C16A11.5e.1_WBGene00015818,0.62,0.62,0.43,0.9,0.9,0.9,0.83,0.83,0.83,0.83,0.83,0.83,0.79,0.79,0.79,1.0,0.42,0.42,0.49,0.49
C09E7.8a.1_WBGene00015642,0.49,0.49,0.24,0.47,0.47,0.47,0.47,0.47,0.47,0.47,0.47,0.47,0.41,0.41,0.41,0.42,1.0,1.0,0.85,0.85
C09E7.8a.2_WBGene00015642,0.49,0.49,0.24,0.47,0.47,0.47,0.47,0.47,0.47,0.47,0.47,0.47,0.41,0.41,0.41,0.42,1.0,1.0,0.85,0.85
C09E7.8b.1_WBGene00015642,0.51,0.51,0.34,0.59,0.59,0.59,0.62,0.62,0.62,0.62,0.62,0.62,0.5,0.5,0.5,0.49,0.85,0.85,1.0,1.0
C09E7.8b.2_WBGene00015642,0.51,0.51,0.34,0.59,0.59,0.59,0.62,0.62,0.62,0.62,0.62,0.62,0.5,0.5,0.5,0.49,0.85,0.85,1.0,1.0
