,ENSCHAT00000029135_ENSCHAG00000011715,ENSCHAT00000029510_ENSCHAG00000011715,ENSCHAT00000029967_ENSCHAG00000011715,ENSCHAT00000030185_ENSCHAG00000011715,ENSCHAT00000030493_ENSCHAG00000011715,ENSCHAT00000030607_ENSCHAG00000011715,ENSCHAT00000030674_ENSCHAG00000011715,ENSLACT00000021187_ENSLACG00000018491,ENSCMIT00000034472_ENSCMIG00000014440,ENSCMIT00000034476_ENSCMIG00000014440,ENSDCDT00000056188_ENSDCDG00000028401,ENSCHAT00000009085_ENSCHAG00000004831,ENSCHAT00000009200_ENSCHAG00000004831,ENSCHAT00000009245_ENSCHAG00000004831,ENSIPUT00000007431_ENSIPUG00000004876,ENSEEET00000004053_ENSEEEG00000002137,ENSEEET00000004055_ENSEEEG00000002137,ENSEEET00000004057_ENSEEEG00000002137,ENSEEET00000004081_ENSEEEG00000002137,ENSPNAT00000036489_ENSPNAG00000018148,ENSAMXT00000042200_ENSAMXG00000040738,ENSAMXT00000042225_ENSAMXG00000040738
ENSCHAT00000029135_ENSCHAG00000011715,1.0,0.8,0.96,0.89,0.88,0.88,0.88,0.6,0.59,0.6,0.61,0.61,0.61,0.62,0.61,0.59,0.59,0.6,0.61,0.61,0.58,0.58
ENSCHAT00000029510_ENSCHAG00000011715,0.8,1.0,0.76,0.68,0.67,0.68,0.67,0.58,0.56,0.58,0.59,0.59,0.58,0.59,0.58,0.57,0.57,0.58,0.59,0.58,0.56,0.56
ENSCHAT00000029967_ENSCHAG00000011715,0.96,0.76,1.0,0.92,0.92,0.92,0.91,0.6,0.59,0.6,0.61,0.61,0.61,0.62,0.61,0.59,0.59,0.6,0.61,0.61,0.58,0.58
ENSCHAT00000030185_ENSCHAG00000011715,0.89,0.68,0.92,1.0,0.96,0.96,0.96,0.58,0.56,0.58,0.59,0.59,0.58,0.59,0.58,0.57,0.57,0.58,0.59,0.58,0.56,0.56
ENSCHAT00000030493_ENSCHAG00000011715,0.88,0.67,0.92,0.96,1.0,0.96,0.95,0.55,0.53,0.55,0.56,0.56,0.55,0.56,0.56,0.54,0.54,0.55,0.56,0.56,0.53,0.53
ENSCHAT00000030607_ENSCHAG00000011715,0.88,0.68,0.92,0.96,0.96,1.0,0.97,0.56,0.54,0.56,0.57,0.57,0.56,0.57,0.56,0.55,0.55,0.56,0.57,0.56,0.53,0.53
ENSCHAT00000030674_ENSCHAG00000011715,0.88,0.67,0.91,0.96,0.95,0.97,1.0,0.55,0.53,0.55,0.56,0.56,0.55,0.56,0.55,0.54,0.54,0.55,0.56,0.55,0.53,0.53
ENSLACT00000021187_ENSLACG00000018491,0.6,0.58,0.6,0.58,0.55,0.56,0.55,1.0,0.7,0.72,0.79,0.78,0.78,0.79,0.79,0.77,0.76,0.77,0.78,0.79,0.76,0.76
ENSCMIT00000034472_ENSCMIG00000014440,0.59,0.56,0.59,0.56,0.53,0.54,0.53,0.7,1.0,0.96,0.67,0.67,0.66,0.67,0.66,0.65,0.64,0.65,0.67,0.66,0.64,0.64
ENSCMIT00000034476_ENSCMIG00000014440,0.6,0.58,0.6,0.58,0.55,0.56,0.55,0.72,0.96,1.0,0.68,0.68,0.67,0.68,0.68,0.66,0.66,0.67,0.68,0.68,0.65,0.65
