,ENSPCOT00000042995_ENSPCOG00000028800,ENSPCOT00000042996_ENSPCOG00000028800,ENSPCOT00000042997_ENSPCOG00000028800,ENSPCOT00000042998_ENSPCOG00000028800,ENSMICT00000053370_ENSMICG00000009516,ENSMICT00000009517_ENSMICG00000009516,ENSMICT00000045543_ENSMICG00000009516,ENSMICT00000039413_ENSMICG00000009516,ENSPSMT00000016513_ENSPSMG00000010193,ENSPSMT00000016514_ENSPSMG00000010193,ENSOGAT00000000790_ENSOGAG00000000789,ENSTSYT00000037405_ENSTSYG00000031247,ENSSDAT00000005558_ENSSDAG00000004553,ENSMUGT00000030300_ENSMUGG00000022022,ENSPPAT00000036725_ENSPPAG00000030155,ENSPPAT00000036738_ENSPPAG00000030155,ENSPPAT00000036744_ENSPPAG00000030155,ENSPPAT00000036747_ENSPPAG00000030155,ENSPTRT00000089940_ENSPTRG00000051435,ENSPTRT00000096263_ENSPTRG00000051435,ENSPTRT00000104513_ENSPTRG00000051435,ENSPTRT00000092875_ENSPTRG00000051435,ENST00000614849_ENSG00000006534
ENSPCOT00000042995_ENSPCOG00000028800,1.0,0.87,0.79,0.5,0.9,0.8,0.72,0.52,0.64,0.46,0.82,0.45,0.24,0.16,0.88,0.78,0.71,0.45,0.88,0.78,0.71,0.46,0.88
ENSPCOT00000042996_ENSPCOG00000028800,0.87,1.0,0.68,0.41,0.8,0.9,0.62,0.42,0.54,0.36,0.73,0.5,0.29,0.2,0.78,0.88,0.6,0.36,0.78,0.88,0.6,0.36,0.78
ENSPCOT00000042997_ENSPCOG00000028800,0.79,0.68,1.0,0.46,0.72,0.62,0.9,0.49,0.78,0.61,0.65,0.43,0.37,0.28,0.71,0.6,0.88,0.61,0.71,0.6,0.88,0.61,0.7
ENSPCOT00000042998_ENSPCOG00000028800,0.5,0.41,0.46,1.0,0.48,0.39,0.44,0.76,0.43,0.71,0.45,0.25,0.3,0.29,0.47,0.38,0.43,0.7,0.47,0.38,0.43,0.7,0.47
ENSMICT00000053370_ENSMICG00000009516,0.9,0.8,0.72,0.48,1.0,0.89,0.81,0.52,0.63,0.45,0.89,0.52,0.19,0.13,0.96,0.86,0.78,0.44,0.96,0.86,0.78,0.44,0.96
ENSMICT00000009517_ENSMICG00000009516,0.8,0.9,0.62,0.39,0.89,1.0,0.71,0.42,0.53,0.35,0.8,0.58,0.23,0.17,0.86,0.96,0.68,0.35,0.86,0.96,0.68,0.35,0.86
ENSMICT00000045543_ENSMICG00000009516,0.72,0.62,0.9,0.44,0.81,0.71,1.0,0.48,0.77,0.6,0.72,0.51,0.32,0.25,0.78,0.68,0.97,0.59,0.78,0.68,0.97,0.59,0.78
ENSMICT00000039413_ENSMICG00000009516,0.52,0.42,0.49,0.76,0.52,0.42,0.48,1.0,0.46,0.76,0.47,0.26,0.25,0.26,0.5,0.4,0.47,0.75,0.5,0.4,0.47,0.74,0.5
ENSPSMT00000016513_ENSPSMG00000010193,0.64,0.54,0.78,0.43,0.63,0.53,0.77,0.46,1.0,0.56,0.57,0.34,0.34,0.27,0.61,0.52,0.76,0.54,0.61,0.52,0.76,0.54,0.61
ENSPSMT00000016514_ENSPSMG00000010193,0.46,0.36,0.61,0.71,0.45,0.35,0.6,0.76,0.56,1.0,0.43,0.35,0.32,0.33,0.44,0.34,0.6,0.94,0.44,0.34,0.6,0.94,0.44
