,ENSDCDT00000050829_ENSDCDG00000026403,ENSLBET00000034798_ENSLBEG00000025106,ENSTRUT00000058326_ENSTRUG00000024937,ENSPMGT00000027996_ENSPMGG00000021206,ENSXMAT00000026123_ENSXMAG00000022575,ENSXCOT00000020456_ENSXCOG00000015150,ENSPMET00000016600_ENSPMEG00000024461,ENSFHET00000006187_ENSFHEG00000007024,ENSKMAT00000012432_ENSKMAG00000009210,ENSGWIT00000042836_ENSGWIG00000020011,ENSCSET00000012462_ENSCSEG00000007955,ENSCSET00000030205_ENSCSEG00000019104,ENSCSET00000018275_ENSCSEG00000011587,ENSSMAT00000032505_ENSSMAG00000019674,ENSPRET00000028300_ENSPREG00000018939,ENSPLAT00000014363_ENSPLAG00000002757,ENSCVAT00000003908_ENSCVAG00000008708
ENSDCDT00000050829_ENSDCDG00000026403,1.0,1e-18,1e-18,1e-18,1e-18,1e-18,1e-18,1e-18,1.0,1e-18,1e-18,1e-18,1e-18,1e-18,1e-18,1e-18,1e-18
ENSLBET00000034798_ENSLBEG00000025106,1e-18,1.0,0.25,0.5,0.25,0.25,0.25,0.25,1e-18,0.25,0.5,0.25,0.25,0.25,0.75,0.33,0.33
ENSTRUT00000058326_ENSTRUG00000024937,1e-18,0.25,1.0,0.25,0.17,0.17,0.17,0.17,1e-18,0.17,0.33,0.17,0.17,0.17,0.25,0.5,0.25
ENSPMGT00000027996_ENSPMGG00000021206,1e-18,0.5,0.25,1.0,0.25,0.25,0.25,0.25,1e-18,0.25,0.5,0.25,0.25,0.25,0.5,0.33,0.33
ENSXMAT00000026123_ENSXMAG00000022575,1e-18,0.25,0.17,0.25,1.0,1.0,1.0,1.0,1e-18,1.0,0.5,1.0,1.0,1.0,0.25,0.25,0.25
ENSXCOT00000020456_ENSXCOG00000015150,1e-18,0.25,0.17,0.25,1.0,1.0,1.0,1.0,1e-18,1.0,0.5,1.0,1.0,1.0,0.25,0.25,0.25
ENSPMET00000016600_ENSPMEG00000024461,1e-18,0.25,0.17,0.25,1.0,1.0,1.0,1.0,1e-18,1.0,0.5,1.0,1.0,1.0,0.25,0.25,0.25
ENSFHET00000006187_ENSFHEG00000007024,1e-18,0.25,0.17,0.25,1.0,1.0,1.0,1.0,1e-18,1.0,0.5,1.0,1.0,1.0,0.25,0.25,0.25
ENSKMAT00000012432_ENSKMAG00000009210,1.0,1e-18,1e-18,1e-18,1e-18,1e-18,1e-18,1e-18,1.0,1e-18,1e-18,1e-18,1e-18,1e-18,1e-18,1e-18,1e-18
ENSGWIT00000042836_ENSGWIG00000020011,1e-18,0.25,0.17,0.25,1.0,1.0,1.0,1.0,1e-18,1.0,0.5,1.0,1.0,1.0,0.25,0.25,0.25
ENSCSET00000012462_ENSCSEG00000007955,1e-18,0.5,0.33,0.5,0.5,0.5,0.5,0.5,1e-18,0.5,1.0,0.5,0.5,0.5,0.5,0.5,0.5
ENSCSET00000030205_ENSCSEG00000019104,1e-18,0.25,0.17,0.25,1.0,1.0,1.0,1.0,1e-18,1.0,0.5,1.0,1.0,1.0,0.25,0.25,0.25
ENSCSET00000018275_ENSCSEG00000011587,1e-18,0.25,0.17,0.25,1.0,1.0,1.0,1.0,1e-18,1.0,0.5,1.0,1.0,1.0,0.25,0.25,0.25
ENSSMAT00000032505_ENSSMAG00000019674,1e-18,0.25,0.17,0.25,1.0,1.0,1.0,1.0,1e-18,1.0,0.5,1.0,1.0,1.0,0.25,0.25,0.25
ENSPRET00000028300_ENSPREG00000018939,1e-18,0.75,0.25,0.5,0.25,0.25,0.25,0.25,1e-18,0.25,0.5,0.25,0.25,0.25,1.0,0.33,0.33
ENSPLAT00000014363_ENSPLAG00000002757,1e-18,0.33,0.5,0.33,0.25,0.25,0.25,0.25,1e-18,0.25,0.5,0.25,0.25,0.25,0.33,1.0,0.33
ENSCVAT00000003908_ENSCVAG00000008708,1e-18,0.33,0.25,0.33,0.25,0.25,0.25,0.25,1e-18,0.25,0.5,0.25,0.25,0.25,0.33,0.33,1.0
