,FBtr0071974_FBgn0034825,FBtr0306947_FBgn0263048,FBtr0306945_FBgn0263048,FBtr0306946_FBgn0263048,FBtr0333229_FBgn0001128,FBtr0079148_FBgn0001128,FBtr0333230_FBgn0001128,FBtr0079147_FBgn0001128,FBtr0079146_FBgn0001128,FBtr0333228_FBgn0001128,K11H3.1a.1_WBGene00010778,K11H3.1b.1_WBGene00010778,K11H3.1c.1_WBGene00010778,K11H3.1c.2_WBGene00010778,K11H3.1d.1_WBGene00010778,K11H3.1d.2_WBGene00010778,F47G4.3.1_WBGene00009824,ENSTRUT00000027799_ENSTRUG00000010970,ENSMMOT00000002781_ENSMMOG00000002181,ENSMMOT00000002951_ENSMMOG00000002181,ENSMMOT00000002959_ENSMMOG00000002181,ENSMMOT00000003078_ENSMMOG00000002181,ENSHCOT00000027845_ENSHCOG00000018335,ENSGWIT00000006870_ENSGWIG00000003646
FBtr0071974_FBgn0034825,1.0,0.44,0.44,0.44,0.88,0.86,0.88,0.88,0.88,0.86,0.78,0.78,0.76,0.76,0.8,0.8,0.74,0.76,0.73,0.76,0.72,0.74,0.79,0.79
FBtr0306947_FBgn0263048,0.44,1.0,0.97,0.97,0.45,0.46,0.46,0.46,0.45,0.46,0.47,0.46,0.45,0.45,0.47,0.47,0.4,0.47,0.41,0.42,0.4,0.4,0.49,0.49
FBtr0306945_FBgn0263048,0.44,0.97,1.0,0.97,0.45,0.46,0.46,0.46,0.45,0.46,0.47,0.46,0.45,0.45,0.47,0.47,0.4,0.47,0.41,0.42,0.4,0.4,0.49,0.49
FBtr0306946_FBgn0263048,0.44,0.97,0.97,1.0,0.45,0.46,0.45,0.45,0.45,0.46,0.47,0.45,0.44,0.44,0.47,0.47,0.4,0.46,0.41,0.42,0.41,0.4,0.49,0.49
FBtr0333229_FBgn0001128,0.88,0.45,0.45,0.45,1.0,0.92,0.91,0.91,0.95,0.92,0.79,0.8,0.77,0.77,0.82,0.82,0.75,0.78,0.74,0.77,0.73,0.75,0.81,0.81
FBtr0079148_FBgn0001128,0.86,0.46,0.46,0.46,0.92,1.0,0.92,0.92,0.92,0.94,0.8,0.81,0.78,0.78,0.83,0.83,0.76,0.79,0.75,0.78,0.74,0.76,0.82,0.82
FBtr0333230_FBgn0001128,0.88,0.46,0.46,0.45,0.91,0.92,1.0,0.95,0.91,0.92,0.79,0.8,0.77,0.77,0.82,0.82,0.75,0.78,0.74,0.77,0.73,0.75,0.81,0.81
FBtr0079147_FBgn0001128,0.88,0.46,0.46,0.45,0.91,0.92,0.95,1.0,0.91,0.92,0.79,0.8,0.77,0.77,0.82,0.82,0.75,0.78,0.74,0.77,0.73,0.75,0.81,0.81
FBtr0079146_FBgn0001128,0.88,0.45,0.45,0.45,0.95,0.92,0.91,0.91,1.0,0.92,0.79,0.8,0.77,0.77,0.82,0.82,0.75,0.78,0.74,0.77,0.73,0.75,0.81,0.81
FBtr0333228_FBgn0001128,0.86,0.46,0.46,0.46,0.92,0.94,0.92,0.92,0.92,1.0,0.8,0.81,0.78,0.78,0.83,0.83,0.76,0.79,0.75,0.78,0.74,0.76,0.82,0.82
K11H3.1a.1_WBGene00010778,0.78,0.47,0.47,0.47,0.79,0.8,0.79,0.79,0.79,0.8,1.0,0.87,0.84,0.84,0.88,0.88,0.74,0.81,0.73,0.76,0.72,0.74,0.84,0.84
K11H3.1b.1_WBGene00010778,0.78,0.46,0.46,0.45,0.8,0.81,0.8,0.8,0.8,0.81,0.87,1.0,0.83,0.83,0.89,0.89,0.75,0.79,0.73,0.77,0.72,0.74,0.82,0.82
K11H3.1c.1_WBGene00010778,0.76,0.45,0.45,0.44,0.77,0.78,0.77,0.77,0.77,0.78,0.84,0.83,1.0,0.9,0.85,0.85,0.72,0.79,0.72,0.74,0.7,0.72,0.82,0.82
K11H3.1c.2_WBGene00010778,0.76,0.45,0.45,0.44,0.77,0.78,0.77,0.77,0.77,0.78,0.84,0.83,0.9,1.0,0.85,0.85,0.72,0.79,0.72,0.74,0.7,0.72,0.82,0.82
K11H3.1d.1_WBGene00010778,0.8,0.47,0.47,0.47,0.82,0.83,0.82,0.82,0.82,0.83,0.88,0.89,0.85,0.85,1.0,0.92,0.76,0.81,0.75,0.79,0.74,0.76,0.84,0.84
K11H3.1d.2_WBGene00010778,0.8,0.47,0.47,0.47,0.82,0.83,0.82,0.82,0.82,0.83,0.88,0.89,0.85,0.85,0.92,1.0,0.76,0.81,0.75,0.79,0.74,0.76,0.84,0.84
F47G4.3.1_WBGene00009824,0.74,0.4,0.4,0.4,0.75,0.76,0.75,0.75,0.75,0.76,0.74,0.75,0.72,0.72,0.76,0.76,1.0,0.73,0.73,0.74,0.72,0.72,0.76,0.76
ENSTRUT00000027799_ENSTRUG00000010970,0.76,0.47,0.47,0.46,0.78,0.79,0.78,0.78,0.78,0.79,0.81,0.79,0.79,0.79,0.81,0.81,0.73,1.0,0.73,0.77,0.72,0.74,0.87,0.87
ENSMMOT00000002781_ENSMMOG00000002181,0.73,0.41,0.41,0.41,0.74,0.75,0.74,0.74,0.74,0.75,0.73,0.73,0.72,0.72,0.75,0.75,0.73,0.73,1.0,0.84,0.83,0.81,0.75,0.75
ENSMMOT00000002951_ENSMMOG00000002181,0.76,0.42,0.42,0.42,0.77,0.78,0.77,0.77,0.77,0.78,0.76,0.77,0.74,0.74,0.79,0.79,0.74,0.77,0.84,1.0,0.83,0.87,0.79,0.79
ENSMMOT00000002959_ENSMMOG00000002181,0.72,0.4,0.4,0.41,0.73,0.74,0.73,0.73,0.73,0.74,0.72,0.72,0.7,0.7,0.74,0.74,0.72,0.72,0.83,0.83,1.0,0.82,0.74,0.74
ENSMMOT00000003078_ENSMMOG00000002181,0.74,0.4,0.4,0.4,0.75,0.76,0.75,0.75,0.75,0.76,0.74,0.74,0.72,0.72,0.76,0.76,0.72,0.74,0.81,0.87,0.82,1.0,0.77,0.76
ENSHCOT00000027845_ENSHCOG00000018335,0.79,0.49,0.49,0.49,0.81,0.82,0.81,0.81,0.81,0.82,0.84,0.82,0.82,0.82,0.84,0.84,0.76,0.87,0.75,0.79,0.74,0.77,1.0,0.91
ENSGWIT00000006870_ENSGWIG00000003646,0.79,0.49,0.49,0.49,0.81,0.82,0.81,0.81,0.81,0.82,0.84,0.82,0.82,0.82,0.84,0.84,0.76,0.87,0.75,0.79,0.74,0.76,0.91,1.0
