,ENSPTET00000006428_ENSPTEG00000004844,ENSPTET00000006257_ENSPTEG00000004722,ENSPTET00000005783_ENSPTEG00000004372,ENSPTET00000031306_ENSPTEG00000022738,ENSPTET00000007204_ENSPTEG00000005430,ENSPVIT00000042813_ENSPVIG00000025549,ENSNSUT00000013406_ENSNSUG00000009426,ENSSMRT00000006935_ENSSMRG00000004772,ENSSMRT00000006937_ENSSMRG00000004772,ENSACAT00000009329_ENSACAG00000009345,ENSSPUT00000008558_ENSSPUG00000006215,ENSSPUT00000008583_ENSSPUG00000006215,ENSSPUT00000008592_ENSSPUG00000006215
ENSPTET00000006428_ENSPTEG00000004844,1.0,1.0,1.0,0.75,0.7,0.17,0.2,0.21,0.21,0.16,1e-18,1e-18,0.26
ENSPTET00000006257_ENSPTEG00000004722,1.0,1.0,1.0,0.75,0.7,0.17,0.2,0.21,0.21,0.16,1e-18,1e-18,0.26
ENSPTET00000005783_ENSPTEG00000004372,1.0,1.0,1.0,0.75,0.7,0.17,0.2,0.21,0.21,0.16,1e-18,1e-18,0.26
ENSPTET00000031306_ENSPTEG00000022738,0.75,0.75,0.75,1.0,0.69,0.17,0.2,0.21,0.21,0.16,1e-18,1e-18,0.26
ENSPTET00000007204_ENSPTEG00000005430,0.7,0.7,0.7,0.69,1.0,0.17,0.19,0.2,0.2,0.18,1e-18,1e-18,0.25
ENSPVIT00000042813_ENSPVIG00000025549,0.17,0.17,0.17,0.17,0.17,1.0,0.44,0.62,0.63,0.64,0.47,0.38,0.28
ENSNSUT00000013406_ENSNSUG00000009426,0.2,0.2,0.2,0.2,0.19,0.44,1.0,0.42,0.46,0.42,0.35,0.36,0.33
ENSSMRT00000006935_ENSSMRG00000004772,0.21,0.21,0.21,0.21,0.2,0.62,0.42,1.0,0.82,0.64,0.46,0.37,0.29
ENSSMRT00000006937_ENSSMRG00000004772,0.21,0.21,0.21,0.21,0.2,0.63,0.46,0.82,1.0,0.64,0.43,0.36,0.3
ENSACAT00000009329_ENSACAG00000009345,0.16,0.16,0.16,0.16,0.18,0.64,0.42,0.64,0.64,1.0,0.49,0.4,0.3
ENSSPUT00000008558_ENSSPUG00000006215,1e-18,1e-18,1e-18,1e-18,1e-18,0.47,0.35,0.46,0.43,0.49,1.0,0.8,1e-18
ENSSPUT00000008583_ENSSPUG00000006215,1e-18,1e-18,1e-18,1e-18,1e-18,0.38,0.36,0.37,0.36,0.4,0.8,1.0,1e-18
ENSSPUT00000008592_ENSSPUG00000006215,0.26,0.26,0.26,0.26,0.25,0.28,0.33,0.29,0.3,0.3,1e-18,1e-18,1.0
