,ENSPMET00000025642_ENSPMEG00000019627,ENSPLAT00000002167_ENSPLAG00000011518,ENSPRET00000004757_ENSPREG00000003300,ENSXCOT00000022748_ENSXCOG00000016795,ENSGAFT00000017505_ENSGAFG00000011729,ENSACLT00000006162_ENSACLG00000004060,ENSHBUT00000031636_ENSHBUG00000011814,ENSMZET00005034656_ENSMZEG00005025034,ENSPNYT00000026383_ENSPNYG00000019427,ENSNBRT00000004186_ENSNBRG00000003236,ENSACIT00000028327_ENSACIG00000021392,ENSMAMT00000019413_ENSMAMG00000012758,ENSMMOT00000024381_ENSMMOG00000018253
ENSPMET00000025642_ENSPMEG00000019627,1.0,0.5,0.5,0.5,0.25,0.5,0.5,0.5,0.5,0.17,0.25,0.17,0.17
ENSPLAT00000002167_ENSPLAG00000011518,0.5,1.0,0.5,0.5,0.25,0.5,0.5,0.5,0.5,0.17,0.25,0.17,0.17
ENSPRET00000004757_ENSPREG00000003300,0.5,0.5,1.0,0.5,0.25,0.5,0.5,0.5,0.5,0.17,0.25,0.17,0.17
ENSXCOT00000022748_ENSXCOG00000016795,0.5,0.5,0.5,1.0,0.25,0.5,0.5,0.5,0.5,0.17,0.25,0.17,0.17
ENSGAFT00000017505_ENSGAFG00000011729,0.25,0.25,0.25,0.25,1.0,0.25,0.25,0.25,0.25,0.12,0.17,0.33,0.33
ENSACLT00000006162_ENSACLG00000004060,0.5,0.5,0.5,0.5,0.25,1.0,0.5,0.5,0.5,0.17,0.25,0.17,0.17
ENSHBUT00000031636_ENSHBUG00000011814,0.5,0.5,0.5,0.5,0.25,0.5,1.0,0.5,0.5,0.17,0.25,0.17,0.17
ENSMZET00005034656_ENSMZEG00005025034,0.5,0.5,0.5,0.5,0.25,0.5,0.5,1.0,0.5,0.17,0.25,0.17,0.17
ENSPNYT00000026383_ENSPNYG00000019427,0.5,0.5,0.5,0.5,0.25,0.5,0.5,0.5,1.0,0.17,0.25,0.17,0.17
ENSNBRT00000004186_ENSNBRG00000003236,0.17,0.17,0.17,0.17,0.12,0.17,0.17,0.17,0.17,1.0,0.12,0.1,0.1
ENSACIT00000028327_ENSACIG00000021392,0.25,0.25,0.25,0.25,0.17,0.25,0.25,0.25,0.25,0.12,1.0,0.12,0.12
ENSMAMT00000019413_ENSMAMG00000012758,0.17,0.17,0.17,0.17,0.33,0.17,0.17,0.17,0.17,0.1,0.12,1.0,0.25
ENSMMOT00000024381_ENSMMOG00000018253,0.17,0.17,0.17,0.17,0.33,0.17,0.17,0.17,0.17,0.1,0.12,0.25,1.0
