,ENSVPAT00000004935_ENSVPAG00000004935,ENSETET00000017072_ENSETEG00000017072,ENSSMRT00000012386_ENSSMRG00000008419,ENSCJPT00005008263_ENSCJPG00005004870,ENSLACT00000006292_ENSLACG00000005535,ENSLACT00000006293_ENSLACG00000005535,ENSCMIT00000022426_ENSCMIG00000009869,ENSCMIT00000022502_ENSCMIG00000009869,ENSCMIT00000022507_ENSCMIG00000009869,ENSCMIT00000022512_ENSCMIG00000009869,ENSCMIT00000022515_ENSCMIG00000009869,ENSLOCT00000020266_ENSLOCG00000016380,ENSECRT00000016489_ENSECRG00000010797,ENSECRT00000016493_ENSECRG00000010797,ENSECRT00000016507_ENSECRG00000010797,ENSGAGT00000029945_ENSGAGG00000019111,ENSGAGT00000029947_ENSGAGG00000019111,ENSGAGT00000029949_ENSGAGG00000019111,ENSGAGT00000029957_ENSGAGG00000019111,ENSGAGT00000030021_ENSGAGG00000019111,ENSGAGT00000030024_ENSGAGG00000019111,ENSGAGT00000030042_ENSGAGG00000019111
ENSVPAT00000004935_ENSVPAG00000004935,1.0,0.74,0.06,0.29,0.6,0.18,0.56,0.55,0.55,0.54,0.57,0.6,0.55,0.55,0.53,0.48,0.47,0.48,0.48,0.48,0.5,0.46
ENSETET00000017072_ENSETEG00000017072,0.74,1.0,0.06,0.28,0.63,0.18,0.6,0.59,0.55,0.54,0.57,0.6,0.55,0.55,0.57,0.51,0.5,0.52,0.51,0.48,0.51,0.5
ENSSMRT00000012386_ENSSMRG00000008419,0.06,0.06,1.0,0.1,0.07,0.12,0.07,0.07,0.06,0.07,0.07,0.06,0.06,0.07,0.07,0.07,0.06,0.07,0.07,0.08,0.08,0.07
ENSCJPT00005008263_ENSCJPG00005004870,0.29,0.28,0.1,1.0,0.27,0.28,0.23,0.23,0.23,0.23,0.24,0.23,0.23,0.24,0.21,0.21,0.2,0.2,0.21,0.21,0.21,0.2
ENSLACT00000006292_ENSLACG00000005535,0.6,0.63,0.07,0.27,1.0,0.19,0.8,0.72,0.69,0.66,0.71,0.74,0.7,0.71,0.7,0.74,0.72,0.74,0.7,0.64,0.66,0.7
ENSLACT00000006293_ENSLACG00000005535,0.18,0.18,0.12,0.28,0.19,1.0,0.14,0.13,0.13,0.14,0.14,0.13,0.13,0.14,0.12,0.11,0.11,0.11,0.11,0.11,0.11,0.11
ENSCMIT00000022426_ENSCMIG00000009869,0.56,0.6,0.07,0.23,0.8,0.14,1.0,0.81,0.78,0.76,0.8,0.78,0.72,0.73,0.74,0.73,0.7,0.74,0.72,0.62,0.66,0.68
ENSCMIT00000022502_ENSCMIG00000009869,0.55,0.59,0.07,0.23,0.72,0.13,0.81,1.0,0.84,0.8,0.85,0.77,0.73,0.77,0.72,0.7,0.67,0.72,0.69,0.63,0.62,0.65
ENSCMIT00000022507_ENSCMIG00000009869,0.55,0.55,0.06,0.23,0.69,0.13,0.78,0.84,1.0,0.85,0.86,0.77,0.73,0.78,0.69,0.65,0.63,0.67,0.65,0.63,0.62,0.62
ENSCMIT00000022512_ENSCMIG00000009869,0.54,0.54,0.07,0.23,0.66,0.14,0.76,0.8,0.85,1.0,0.84,0.75,0.71,0.76,0.67,0.64,0.65,0.65,0.64,0.65,0.6,0.64
ENSCMIT00000022515_ENSCMIG00000009869,0.57,0.57,0.07,0.24,0.71,0.14,0.8,0.85,0.86,0.84,1.0,0.79,0.75,0.81,0.71,0.68,0.65,0.69,0.68,0.65,0.64,0.64
ENSLOCT00000020266_ENSLOCG00000016380,0.6,0.6,0.06,0.23,0.74,0.13,0.78,0.77,0.77,0.75,0.79,1.0,0.9,0.9,0.84,0.66,0.67,0.68,0.64,0.67,0.7,0.65
ENSECRT00000016489_ENSECRG00000010797,0.55,0.55,0.06,0.23,0.7,0.13,0.72,0.73,0.73,0.71,0.75,0.9,1.0,0.91,0.82,0.62,0.63,0.64,0.61,0.64,0.66,0.61
ENSECRT00000016493_ENSECRG00000010797,0.55,0.55,0.07,0.24,0.71,0.14,0.73,0.77,0.78,0.76,0.81,0.9,0.91,1.0,0.83,0.66,0.68,0.68,0.64,0.68,0.66,0.65
ENSECRT00000016507_ENSECRG00000010797,0.53,0.57,0.07,0.21,0.7,0.12,0.74,0.72,0.69,0.67,0.71,0.84,0.82,0.83,1.0,0.64,0.65,0.66,0.63,0.61,0.65,0.67
ENSGAGT00000029945_ENSGAGG00000019111,0.48,0.51,0.07,0.21,0.74,0.11,0.73,0.7,0.65,0.64,0.68,0.66,0.62,0.66,0.64,1.0,0.83,0.88,0.81,0.74,0.72,0.74
