,ENSEBUT00000024615_ENSEBUG00000014809,ENSVURT00010008798_ENSVURG00010005966,ENSSHAT00000015565_ENSSHAG00000013160,ENSMODT00000005517_ENSMODG00000004383,ENSMODT00000058355_ENSMODG00000004383,ENSNLET00000019590_ENSNLEG00000015357,ENSNLET00000056825_ENSNLEG00000015357,ENSNLET00000053660_ENSNLEG00000006498,ENSCCNT00000004933_ENSCCNG00000003991,ENSCCNT00000002945_ENSCCNG00000002447,ENSPPAT00000055368_ENSPPAG00000039131,ENSPTRT00000102049_ENSPTRG00000052496,ENSNLET00000046942_ENSNLEG00000031627
ENSEBUT00000024615_ENSEBUG00000014809,1.0,0.6,0.6,0.5,0.6,0.4,0.5,0.17,0.5,1e-18,0.11,0.11,0.11
ENSVURT00010008798_ENSVURG00010005966,0.6,1.0,0.7,0.6,0.7,0.5,0.6,0.17,0.6,0.1,0.11,0.11,0.11
ENSSHAT00000015565_ENSSHAG00000013160,0.6,0.7,1.0,0.6,0.7,0.5,0.6,0.17,0.6,0.1,0.11,0.11,0.11
ENSMODT00000005517_ENSMODG00000004383,0.5,0.6,0.6,1.0,0.6,0.5,0.6,0.17,0.5,0.1,0.11,0.11,0.11
ENSMODT00000058355_ENSMODG00000004383,0.6,0.7,0.7,0.6,1.0,0.5,0.6,0.17,0.6,0.1,0.11,0.11,0.11
ENSNLET00000019590_ENSNLEG00000015357,0.4,0.5,0.5,0.5,0.5,1.0,0.5,0.2,0.4,0.12,0.12,0.12,0.12
ENSNLET00000056825_ENSNLEG00000015357,0.5,0.6,0.6,0.6,0.6,0.5,1.0,0.17,0.5,0.1,0.11,0.11,0.11
ENSNLET00000053660_ENSNLEG00000006498,0.17,0.17,0.17,0.17,0.17,0.2,0.17,1.0,0.08,1e-18,0.21,0.21,0.21
ENSCCNT00000004933_ENSCCNG00000003991,0.5,0.6,0.6,0.5,0.6,0.4,0.5,0.08,1.0,0.12,0.06,0.06,0.06
ENSCCNT00000002945_ENSCCNG00000002447,1e-18,0.1,0.1,0.1,0.1,0.12,0.1,1e-18,0.12,1.0,0.07,0.07,0.07
ENSPPAT00000055368_ENSPPAG00000039131,0.11,0.11,0.11,0.11,0.11,0.12,0.11,0.21,0.06,0.07,1.0,0.93,0.93
ENSPTRT00000102049_ENSPTRG00000052496,0.11,0.11,0.11,0.11,0.11,0.12,0.11,0.21,0.06,0.07,0.93,1.0,0.93
ENSNLET00000046942_ENSNLEG00000031627,0.11,0.11,0.11,0.11,0.11,0.12,0.11,0.21,0.06,0.07,0.93,0.93,1.0
