,FBtr0089621_FBgn0003742,FBtr0089616_FBgn0003742,FBtr0089619_FBgn0003742,FBtr0089615_FBgn0003742,FBtr0089620_FBgn0003742,FBtr0089617_FBgn0003742,FBtr0089618_FBgn0003742,C18D11.4a.1_WBGene00004705,C18D11.4a.2_WBGene00004705,C18D11.4b.1_WBGene00004705,ENSCINT00000036895_ENSCING00000018620,ENSEBUT00000002089_ENSEBUG00000001450
FBtr0089621_FBgn0003742,1.0,0.86,0.94,0.94,1.0,1.0,0.78,0.44,0.44,0.51,0.47,0.39
FBtr0089616_FBgn0003742,0.86,1.0,0.92,0.92,0.86,0.86,0.65,0.53,0.53,0.64,0.52,0.52
FBtr0089619_FBgn0003742,0.94,0.92,1.0,1.0,0.94,0.94,0.72,0.45,0.45,0.57,0.53,0.45
FBtr0089615_FBgn0003742,0.94,0.92,1.0,1.0,0.94,0.94,0.72,0.45,0.45,0.57,0.53,0.45
FBtr0089620_FBgn0003742,1.0,0.86,0.94,0.94,1.0,1.0,0.78,0.44,0.44,0.51,0.47,0.39
FBtr0089617_FBgn0003742,1.0,0.86,0.94,0.94,1.0,1.0,0.78,0.44,0.44,0.51,0.47,0.39
FBtr0089618_FBgn0003742,0.78,0.65,0.72,0.72,0.78,0.78,1.0,0.43,0.43,0.55,0.52,0.49
C18D11.4a.1_WBGene00004705,0.44,0.53,0.45,0.45,0.44,0.44,0.43,1.0,1.0,0.73,0.37,0.36
C18D11.4a.2_WBGene00004705,0.44,0.53,0.45,0.45,0.44,0.44,0.43,1.0,1.0,0.73,0.37,0.36
C18D11.4b.1_WBGene00004705,0.51,0.64,0.57,0.57,0.51,0.51,0.55,0.73,0.73,1.0,0.42,0.39
ENSCINT00000036895_ENSCING00000018620,0.47,0.52,0.53,0.53,0.47,0.47,0.52,0.37,0.37,0.42,1.0,0.39
ENSEBUT00000002089_ENSEBUG00000001450,0.39,0.52,0.45,0.45,0.39,0.39,0.49,0.36,0.36,0.39,0.39,1.0
