,FBtr0302923_FBgn0261611,FBtr0345481_FBgn0261611,FBtr0332923_FBgn0261611,FBtr0332924_FBgn0261611,FBtr0332922_FBgn0261611,FBtr0345482_FBgn0261611,FBtr0345483_FBgn0261611,FBtr0302922_FBgn0261611,H10D18.5a.1_WBGene00019180,H10D18.5b.1_WBGene00019180,H10D18.5c.1_WBGene00019180,H10D18.5d.1_WBGene00019180
FBtr0302923_FBgn0261611,1.0,0.56,0.75,0.81,0.56,0.67,0.56,0.56,0.04,0.08,0.04,0.04
FBtr0345481_FBgn0261611,0.56,1.0,0.69,0.61,0.69,0.75,0.93,0.93,0.04,0.09,0.04,0.05
FBtr0332923_FBgn0261611,0.75,0.69,1.0,0.81,0.69,0.56,0.69,0.69,0.04,0.09,0.04,0.05
FBtr0332924_FBgn0261611,0.81,0.61,0.81,1.0,0.61,0.61,0.61,0.61,0.04,0.08,0.04,0.04
FBtr0332922_FBgn0261611,0.56,0.69,0.69,0.61,1.0,0.56,0.69,0.69,0.04,0.09,0.04,0.05
FBtr0345482_FBgn0261611,0.67,0.75,0.56,0.61,0.56,1.0,0.75,0.75,0.04,0.08,0.04,0.04
FBtr0345483_FBgn0261611,0.56,0.93,0.69,0.61,0.69,0.75,1.0,0.93,0.04,0.09,0.04,0.05
FBtr0302922_FBgn0261611,0.56,0.93,0.69,0.61,0.69,0.75,0.93,1.0,0.04,0.09,0.04,0.05
H10D18.5a.1_WBGene00019180,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,1.0,0.69,0.62,0.79
H10D18.5b.1_WBGene00019180,0.08,0.09,0.09,0.08,0.09,0.08,0.09,0.09,0.69,1.0,0.62,0.79
H10D18.5c.1_WBGene00019180,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.62,0.62,1.0,0.71
H10D18.5d.1_WBGene00019180,0.04,0.05,0.05,0.04,0.05,0.04,0.05,0.05,0.79,0.79,0.71,1.0
