,ENSABRT00000035219_ENSABRG00000021077,ENSCJPT00005012865_ENSCJPG00005007578,ENSCPUT00000007876_ENSCPUG00000004747,ENSCPUT00000007879_ENSCPUG00000004747,ENSLCOT00000011365_ENSLCOG00000007786,ENSCMIT00000002183_ENSCMIG00000001278,ENSMGAT00000002272_ENSMGAG00000002082,ENSGALT00000044150_ENSGALG00000027809,ENSCJPT00005012311_ENSCJPG00005007276,ENSCJPT00005012312_ENSCJPG00005007276,ENSNMET00000026621_ENSNMEG00000015682,ENSABRT00000035315_ENSABRG00000021136
ENSABRT00000035219_ENSABRG00000021077,1.0,0.5,0.33,0.5,0.25,0.5,0.5,0.17,0.5,0.33,0.17,0.5
ENSCJPT00005012865_ENSCJPG00005007578,0.5,1.0,0.33,0.5,0.25,0.5,0.5,0.17,0.5,0.33,0.17,0.5
ENSCPUT00000007876_ENSCPUG00000004747,0.33,0.33,1.0,0.33,0.12,0.33,0.33,0.25,0.33,0.17,0.25,0.33
ENSCPUT00000007879_ENSCPUG00000004747,0.5,0.5,0.33,1.0,0.25,0.5,0.5,0.17,0.5,0.33,0.17,0.5
ENSLCOT00000011365_ENSLCOG00000007786,0.25,0.25,0.12,0.25,1.0,0.25,0.25,1e-18,0.25,0.12,1e-18,0.25
ENSCMIT00000002183_ENSCMIG00000001278,0.5,0.5,0.33,0.5,0.25,1.0,0.5,0.17,0.5,0.33,0.17,0.5
ENSMGAT00000002272_ENSMGAG00000002082,0.5,0.5,0.33,0.5,0.25,0.5,1.0,0.17,0.5,0.33,0.17,0.5
ENSGALT00000044150_ENSGALG00000027809,0.17,0.17,0.25,0.17,1e-18,0.17,0.17,1.0,0.17,0.25,0.5,0.17
ENSCJPT00005012311_ENSCJPG00005007276,0.5,0.5,0.33,0.5,0.25,0.5,0.5,0.17,1.0,0.33,0.17,0.5
ENSCJPT00005012312_ENSCJPG00005007276,0.33,0.33,0.17,0.33,0.12,0.33,0.33,0.25,0.33,1.0,0.25,0.33
ENSNMET00000026621_ENSNMEG00000015682,0.17,0.17,0.25,0.17,1e-18,0.17,0.17,0.5,0.17,0.25,1.0,0.17
ENSABRT00000035315_ENSABRG00000021136,0.5,0.5,0.33,0.5,0.25,0.5,0.5,0.17,0.5,0.33,0.17,1.0
