,ENSEBUT00000026712_ENSEBUG00000016098,ENSEBUT00000026734_ENSEBUG00000016098,ENSEBUT00000012213_ENSEBUG00000007461,ENSACAT00000014297_ENSACAG00000014219,ENSPVIT00000005250_ENSPVIG00000003348,ENSPVIT00000005260_ENSPVIG00000003348,ENSPVIT00000005272_ENSPVIG00000003348,ENSPVIT00000005278_ENSPVIG00000003348,ENSPVIT00000005297_ENSPVIG00000003348,ENSNSUT00000025514_ENSNSUG00000017363,ENSNSUT00000025515_ENSNSUG00000017363,ENSNSUT00000025516_ENSNSUG00000017363,ENSSMRT00000009756_ENSSMRG00000006694,ENSSMRT00000009760_ENSSMRG00000006694,ENSSMRT00000009774_ENSSMRG00000006694,ENSSMRT00000009779_ENSSMRG00000006694,ENSSMRT00000009781_ENSSMRG00000006694,ENSSMRT00000009784_ENSSMRG00000006694,ENSSMRT00000009785_ENSSMRG00000006694,ENSSMRT00000009788_ENSSMRG00000006694,ENSSPUT00000018643_ENSSPUG00000013519,ENSAOWT00000008512_ENSAOWG00000005162,ENSAHAT00000022584_ENSAHAG00000014071,ENSAHAT00000022597_ENSAHAG00000014071,ENSAHAT00000022610_ENSAHAG00000014071,ENSAHAT00000022633_ENSAHAG00000014071,ENSARWT00000008642_ENSARWG00000005280,ENSARWT00000008643_ENSARWG00000005280,ENSDNVT00000023319_ENSDNVG00000013558,ENSDNVT00000023333_ENSDNVG00000013558,ENSDNVT00000023347_ENSDNVG00000013558,ENSDNVT00000023364_ENSDNVG00000013558,ENSNPET00000016152_ENSNPEG00000011756,ENSLCOT00000013718_ENSLCOG00000009333,ENSLCOT00000013719_ENSLCOG00000009333,ENSLCOT00000013720_ENSLCOG00000009333,ENSMVIT00005007293_ENSMVIG00005004855,ENSMVIT00005007306_ENSMVIG00005004855,ENSMVIT00005007336_ENSMVIG00005004855,ENSMVIT00005007352_ENSMVIG00005004855,ENSTGUT00000004957_ENSTGUG00000004751
ENSEBUT00000026712_ENSEBUG00000016098,1.0,0.64,0.22,0.45,0.39,0.38,0.37,0.38,0.43,0.37,0.39,0.42,0.38,0.39,0.35,0.43,0.43,0.4,0.38,0.38,0.39,0.42,0.41,0.43,0.46,0.42,0.46,0.42,0.4,0.41,0.37,0.4,0.41,0.44,0.41,0.47,0.44,0.41,0.47,0.45,0.41
ENSEBUT00000026734_ENSEBUG00000016098,0.64,1.0,0.18,0.31,0.27,0.25,0.28,0.29,0.32,0.3,0.32,0.35,0.27,0.27,0.27,0.3,0.29,0.31,0.27,0.27,0.32,0.32,0.31,0.32,0.35,0.32,0.34,0.35,0.28,0.28,0.28,0.28,0.31,0.3,0.31,0.31,0.3,0.31,0.31,0.31,0.31
ENSEBUT00000012213_ENSEBUG00000007461,0.22,0.18,1.0,0.26,0.29,0.29,0.29,0.29,0.28,0.24,0.24,0.25,0.28,0.29,0.29,0.28,0.26,0.28,0.29,0.29,0.3,0.3,0.29,0.28,0.25,0.28,0.24,0.25,0.29,0.29,0.3,0.3,0.24,0.28,0.29,0.27,0.28,0.29,0.27,0.28,0.29
ENSACAT00000014297_ENSACAG00000014219,0.45,0.31,0.26,1.0,0.65,0.62,0.68,0.63,0.67,0.58,0.55,0.6,0.69,0.65,0.65,0.82,0.82,0.69,0.64,0.64,0.58,0.66,0.68,0.67,0.64,0.64,0.71,0.64,0.65,0.67,0.6,0.61,0.56,0.74,0.68,0.77,0.74,0.68,0.77,0.69,0.63
ENSPVIT00000005250_ENSPVIG00000003348,0.39,0.27,0.29,0.65,1.0,0.84,0.72,0.76,0.59,0.51,0.48,0.51,0.75,0.79,0.71,0.62,0.61,0.53,0.7,0.7,0.51,0.57,0.59,0.58,0.56,0.56,0.61,0.56,0.78,0.76,0.73,0.74,0.5,0.64,0.59,0.66,0.64,0.59,0.66,0.6,0.54
ENSPVIT00000005260_ENSPVIG00000003348,0.38,0.25,0.29,0.62,0.84,1.0,0.69,0.72,0.55,0.48,0.46,0.48,0.72,0.76,0.67,0.59,0.63,0.5,0.67,0.67,0.48,0.54,0.56,0.55,0.53,0.54,0.58,0.53,0.75,0.73,0.7,0.7,0.47,0.61,0.56,0.63,0.61,0.56,0.63,0.57,0.51
ENSPVIT00000005272_ENSPVIG00000003348,0.37,0.28,0.29,0.68,0.72,0.69,1.0,0.79,0.61,0.53,0.49,0.55,0.75,0.71,0.78,0.66,0.65,0.62,0.7,0.7,0.53,0.59,0.61,0.6,0.58,0.58,0.57,0.58,0.7,0.68,0.72,0.66,0.51,0.59,0.61,0.62,0.59,0.61,0.62,0.56,0.57
ENSPVIT00000005278_ENSPVIG00000003348,0.38,0.29,0.29,0.63,0.76,0.72,0.79,1.0,0.65,0.56,0.53,0.57,0.71,0.75,0.73,0.61,0.6,0.58,0.66,0.66,0.56,0.63,0.65,0.64,0.62,0.62,0.6,0.62,0.74,0.72,0.76,0.7,0.54,0.62,0.65,0.66,0.62,0.65,0.66,0.59,0.59
ENSPVIT00000005297_ENSPVIG00000003348,0.43,0.32,0.28,0.67,0.59,0.55,0.61,0.65,1.0,0.58,0.66,0.73,0.55,0.58,0.57,0.64,0.63,0.66,0.6,0.55,0.71,0.73,0.7,0.82,0.73,0.73,0.64,0.67,0.6,0.61,0.61,0.65,0.68,0.68,0.7,0.71,0.68,0.7,0.71,0.74,0.75
ENSNSUT00000025514_ENSNSUG00000017363,0.37,0.3,0.24,0.58,0.51,0.48,0.53,0.56,0.58,1.0,0.72,0.61,0.48,0.51,0.5,0.6,0.54,0.57,0.44,0.44,0.54,0.62,0.64,0.58,0.62,0.55,0.64,0.67,0.51,0.52,0.52,0.48,0.62,0.62,0.64,0.59,0.62,0.64,0.59,0.58,0.58
