,T05B11.6.1_WBGene00005661,T05B11.2.1_WBGene00005660,C13D9.3.1_WBGene00005659,T01G5.4.1_WBGene00005658,K11D12.3a.1_WBGene00005655,K11D12.3b.1_WBGene00005655,C13D9.1.1_WBGene00005657,W07G4.6a.1_WBGene00005652,W07G4.6a.2_WBGene00005652,W07G4.6b.1_WBGene00005652,T26H2.8.1_WBGene00005653,F36D3.3.1_WBGene00005654
T05B11.6.1_WBGene00005661,1.0,0.82,0.8,0.63,0.5,0.55,0.53,0.41,0.41,0.42,0.33,0.3
T05B11.2.1_WBGene00005660,0.82,1.0,0.8,0.63,0.5,0.54,0.52,0.41,0.41,0.42,0.33,0.3
C13D9.3.1_WBGene00005659,0.8,0.8,1.0,0.63,0.5,0.54,0.52,0.41,0.41,0.42,0.33,0.3
T01G5.4.1_WBGene00005658,0.63,0.63,0.63,1.0,0.49,0.49,0.55,0.47,0.47,0.41,0.32,0.31
K11D12.3a.1_WBGene00005655,0.5,0.5,0.5,0.49,1.0,0.81,0.51,0.35,0.35,0.34,0.3,0.26
K11D12.3b.1_WBGene00005655,0.55,0.54,0.54,0.49,0.81,1.0,0.51,0.35,0.35,0.34,0.3,0.26
C13D9.1.1_WBGene00005657,0.53,0.52,0.52,0.55,0.51,0.51,1.0,0.4,0.4,0.37,0.31,0.29
W07G4.6a.1_WBGene00005652,0.41,0.41,0.41,0.47,0.35,0.35,0.4,1.0,0.93,0.85,0.28,0.29
W07G4.6a.2_WBGene00005652,0.41,0.41,0.41,0.47,0.35,0.35,0.4,0.93,1.0,0.85,0.28,0.29
W07G4.6b.1_WBGene00005652,0.42,0.42,0.42,0.41,0.34,0.34,0.37,0.85,0.85,1.0,0.26,0.26
T26H2.8.1_WBGene00005653,0.33,0.33,0.33,0.32,0.3,0.3,0.31,0.28,0.28,0.26,1.0,0.69
F36D3.3.1_WBGene00005654,0.3,0.3,0.3,0.31,0.26,0.26,0.29,0.29,0.29,0.26,0.69,1.0
