,ENSSFOT00015009438_ENSSFOG00015005713,ENSSFOT00015009460_ENSSFOG00015005713,ENSPKIT00000020378_ENSPKIG00000016731,ENSCHAT00000008443_ENSCHAG00000003807,ENSCHAT00000008599_ENSCHAG00000003807,ENSCHAT00000008645_ENSCHAG00000003807,ENSCHAT00000008678_ENSCHAG00000003807,ENSCHAT00000008735_ENSCHAG00000003807,ENSDCDT00000039267_ENSDCDG00000021139,ENSDCDT00000039301_ENSDCDG00000021139,ENSAMXT00000043432_ENSAMXG00000002329,ENSAMXT00000002383_ENSAMXG00000002329
ENSSFOT00015009438_ENSSFOG00015005713,1.0,0.78,0.49,0.61,0.7,0.64,0.55,0.68,0.65,0.57,0.74,0.6
ENSSFOT00015009460_ENSSFOG00015005713,0.78,1.0,0.38,0.59,0.67,0.8,0.68,0.67,0.61,0.55,0.65,0.74
ENSPKIT00000020378_ENSPKIG00000016731,0.49,0.38,1.0,0.46,0.47,0.41,0.33,0.46,0.41,0.43,0.5,0.43
ENSCHAT00000008443_ENSCHAG00000003807,0.61,0.59,0.46,1.0,0.77,0.73,0.62,0.78,0.58,0.76,0.69,0.69
ENSCHAT00000008599_ENSCHAG00000003807,0.7,0.67,0.47,0.77,1.0,0.81,0.7,0.86,0.66,0.65,0.79,0.69
ENSCHAT00000008645_ENSCHAG00000003807,0.64,0.8,0.41,0.73,0.81,1.0,0.83,0.81,0.61,0.62,0.73,0.84
ENSCHAT00000008678_ENSCHAG00000003807,0.55,0.68,0.33,0.62,0.7,0.83,1.0,0.7,0.51,0.52,0.63,0.71
ENSCHAT00000008735_ENSCHAG00000003807,0.68,0.67,0.46,0.78,0.86,0.81,0.7,1.0,0.65,0.66,0.77,0.7
ENSDCDT00000039267_ENSDCDG00000021139,0.65,0.61,0.41,0.58,0.66,0.61,0.51,0.65,1.0,0.61,0.65,0.57
ENSDCDT00000039301_ENSDCDG00000021139,0.57,0.55,0.43,0.76,0.65,0.62,0.52,0.66,0.61,1.0,0.64,0.64
ENSAMXT00000043432_ENSAMXG00000002329,0.74,0.65,0.5,0.69,0.79,0.73,0.63,0.77,0.65,0.64,1.0,0.78
ENSAMXT00000002383_ENSAMXG00000002329,0.6,0.74,0.43,0.69,0.69,0.84,0.71,0.7,0.57,0.64,0.78,1.0
