,ENSAHAT00000005282_ENSAHAG00000003386,ENSAHAT00000005283_ENSAHAG00000003386,ENSAHAT00000005285_ENSAHAG00000003386,ENSAHAT00000005287_ENSAHAG00000003386,ENSAHAT00000005288_ENSAHAG00000003386,ENSAOWT00000023058_ENSAOWG00000013745,ENSAOWT00000023061_ENSAOWG00000013745,ENSAOWT00000023069_ENSAOWG00000013745,ENSARWT00000024891_ENSARWG00000014976,ENSDNVT00000027167_ENSDNVG00000015671,ENSDNVT00000027176_ENSDNVG00000015671,ENSDNVT00000027187_ENSDNVG00000015671,ENSDNVT00000027200_ENSDNVG00000015671,ENSDNVT00000027213_ENSDNVG00000015671,ENSDNVT00000027231_ENSDNVG00000015671,ENSDNVT00000027248_ENSDNVG00000015671
ENSAHAT00000005282_ENSAHAG00000003386,1.0,0.92,0.88,0.92,0.77,1.0,0.92,0.92,0.65,0.67,0.67,0.63,0.72,0.68,0.67,0.67
ENSAHAT00000005283_ENSAHAG00000003386,0.92,1.0,0.89,0.92,0.75,0.92,1.0,0.92,0.64,0.67,0.67,0.63,0.71,0.67,0.67,0.67
ENSAHAT00000005285_ENSAHAG00000003386,0.88,0.89,1.0,0.87,0.72,0.88,0.89,0.87,0.61,0.64,0.64,0.6,0.67,0.64,0.64,0.64
ENSAHAT00000005287_ENSAHAG00000003386,0.92,0.92,0.87,1.0,0.77,0.92,0.92,1.0,0.71,0.73,0.73,0.69,0.77,0.73,0.73,0.73
ENSAHAT00000005288_ENSAHAG00000003386,0.77,0.75,0.72,0.77,1.0,0.77,0.75,0.77,0.59,0.63,0.63,0.6,0.66,0.63,0.63,0.63
ENSAOWT00000023058_ENSAOWG00000013745,1.0,0.92,0.88,0.92,0.77,1.0,0.92,0.92,0.65,0.67,0.67,0.63,0.72,0.68,0.67,0.67
ENSAOWT00000023061_ENSAOWG00000013745,0.92,1.0,0.89,0.92,0.75,0.92,1.0,0.92,0.64,0.67,0.67,0.63,0.71,0.67,0.67,0.67
ENSAOWT00000023069_ENSAOWG00000013745,0.92,0.92,0.87,1.0,0.77,0.92,0.92,1.0,0.71,0.73,0.73,0.69,0.77,0.73,0.73,0.73
ENSARWT00000024891_ENSARWG00000014976,0.65,0.64,0.61,0.71,0.59,0.65,0.64,0.71,1.0,0.72,0.72,0.76,0.76,0.81,0.72,0.72
ENSDNVT00000027167_ENSDNVG00000015671,0.67,0.67,0.64,0.73,0.63,0.67,0.67,0.73,0.72,1.0,1.0,0.95,0.95,0.89,1.0,1.0
ENSDNVT00000027176_ENSDNVG00000015671,0.67,0.67,0.64,0.73,0.63,0.67,0.67,0.73,0.72,1.0,1.0,0.95,0.95,0.89,1.0,1.0
ENSDNVT00000027187_ENSDNVG00000015671,0.63,0.63,0.6,0.69,0.6,0.63,0.63,0.69,0.76,0.95,0.95,1.0,0.89,0.94,0.95,0.95
ENSDNVT00000027200_ENSDNVG00000015671,0.72,0.71,0.67,0.77,0.66,0.72,0.71,0.77,0.76,0.95,0.95,0.89,1.0,0.95,0.95,0.95
ENSDNVT00000027213_ENSDNVG00000015671,0.68,0.67,0.64,0.73,0.63,0.68,0.67,0.73,0.81,0.89,0.89,0.94,0.95,1.0,0.89,0.89
ENSDNVT00000027231_ENSDNVG00000015671,0.67,0.67,0.64,0.73,0.63,0.67,0.67,0.73,0.72,1.0,1.0,0.95,0.95,0.89,1.0,1.0
ENSDNVT00000027248_ENSDNVG00000015671,0.67,0.67,0.64,0.73,0.63,0.67,0.67,0.73,0.72,1.0,1.0,0.95,0.95,0.89,1.0,1.0
