,ENSLACT00000014926_ENSLACG00000013049,ENSCMIT00000004343_ENSCMIG00000002260,ENSCMIT00000004355_ENSCMIG00000002260,ENSCMIT00000004371_ENSCMIG00000002260,ENSCMIT00000004404_ENSCMIG00000002260,ENSCMIT00000004411_ENSCMIG00000002260,ENSCMIT00000004419_ENSCMIG00000002260,ENSCMIT00000004427_ENSCMIG00000002260,ENSDCDT00000003998_ENSDCDG00000001757,ENSDCDT00000004009_ENSDCDG00000001757,ENSDCDT00000004025_ENSDCDG00000001757,ENSDCDT00000004029_ENSDCDG00000001757,ENSCHAT00000061304_ENSCHAG00000025683,ENSAMXT00000009728_ENSAMXG00000009466,ENSAMXT00000031053_ENSAMXG00000009466,ENSAMXT00000033587_ENSAMXG00000009466
ENSLACT00000014926_ENSLACG00000013049,1.0,0.82,0.82,0.81,0.76,0.81,0.7,0.76,0.86,0.81,0.8,0.72,0.4,0.86,0.8,0.75
ENSCMIT00000004343_ENSCMIG00000002260,0.82,1.0,0.88,0.85,0.79,0.88,0.76,0.79,0.8,0.76,0.75,0.68,0.36,0.8,0.75,0.71
ENSCMIT00000004355_ENSCMIG00000002260,0.82,0.88,1.0,0.85,0.78,0.87,0.76,0.78,0.8,0.76,0.75,0.68,0.36,0.8,0.75,0.71
ENSCMIT00000004371_ENSCMIG00000002260,0.81,0.85,0.85,1.0,0.84,0.84,0.73,0.78,0.77,0.74,0.72,0.65,0.35,0.77,0.72,0.68
ENSCMIT00000004404_ENSCMIG00000002260,0.76,0.79,0.78,0.84,1.0,0.77,0.75,0.87,0.69,0.67,0.68,0.6,0.31,0.69,0.65,0.62
ENSCMIT00000004411_ENSCMIG00000002260,0.81,0.88,0.87,0.84,0.77,1.0,0.81,0.78,0.86,0.75,0.74,0.67,0.35,0.86,0.81,0.76
ENSCMIT00000004419_ENSCMIG00000002260,0.7,0.76,0.76,0.73,0.75,0.81,1.0,0.75,0.73,0.64,0.65,0.66,0.27,0.73,0.76,0.64
ENSCMIT00000004427_ENSCMIG00000002260,0.76,0.79,0.78,0.78,0.87,0.78,0.75,1.0,0.69,0.67,0.68,0.61,0.31,0.69,0.65,0.62
ENSDCDT00000003998_ENSDCDG00000001757,0.86,0.8,0.8,0.77,0.69,0.86,0.73,0.69,1.0,0.83,0.81,0.73,0.38,0.92,0.87,0.81
ENSDCDT00000004009_ENSDCDG00000001757,0.81,0.76,0.76,0.74,0.67,0.75,0.64,0.67,0.83,1.0,0.78,0.71,0.36,0.81,0.75,0.71
ENSDCDT00000004025_ENSDCDG00000001757,0.8,0.75,0.75,0.72,0.68,0.74,0.65,0.68,0.81,0.78,1.0,0.85,0.34,0.79,0.75,0.7
ENSDCDT00000004029_ENSDCDG00000001757,0.72,0.68,0.68,0.65,0.6,0.67,0.66,0.61,0.73,0.71,0.85,1.0,0.28,0.71,0.75,0.63
ENSCHAT00000061304_ENSCHAG00000025683,0.4,0.36,0.36,0.35,0.31,0.35,0.27,0.31,0.38,0.36,0.34,0.28,1.0,0.38,0.33,0.31
ENSAMXT00000009728_ENSAMXG00000009466,0.86,0.8,0.8,0.77,0.69,0.86,0.73,0.69,0.92,0.81,0.79,0.71,0.38,1.0,0.9,0.84
ENSAMXT00000031053_ENSAMXG00000009466,0.8,0.75,0.75,0.72,0.65,0.81,0.76,0.65,0.87,0.75,0.75,0.75,0.33,0.9,1.0,0.79
ENSAMXT00000033587_ENSAMXG00000009466,0.75,0.71,0.71,0.68,0.62,0.76,0.64,0.62,0.81,0.71,0.7,0.63,0.31,0.84,0.79,1.0
