,ENSPKIT00000006202_ENSPKIG00000008314,ENSPKIT00000006225_ENSPKIG00000008314,ENSPKIT00000006254_ENSPKIG00000008314,ENSPKIT00000006274_ENSPKIG00000008314,ENSSFOT00015009947_ENSSFOG00015006375,ENSSFOT00015009970_ENSSFOG00015006375,ENSSFOT00015009983_ENSSFOG00015006375,ENSSFOT00015009996_ENSSFOG00015006375,ENSPKIT00000041698_ENSPKIG00000003196,ENSPKIT00000041721_ENSPKIG00000003196,ENSPKIT00000041750_ENSPKIG00000003196,ENSPKIT00000041783_ENSPKIG00000003196,ENSPKIT00000041807_ENSPKIG00000003196,ENSSFOT00015027596_ENSSFOG00015017511,ENSSFOT00015027637_ENSSFOG00015017511,ENSSDUT00000017288_ENSSDUG00000012385,ENSSDUT00000017307_ENSSDUG00000012385
ENSPKIT00000006202_ENSPKIG00000008314,1.0,0.99,0.97,0.62,0.79,0.79,0.77,0.87,0.78,0.76,0.87,0.66,0.69,0.7,0.7,0.67,0.8
ENSPKIT00000006225_ENSPKIG00000008314,0.99,1.0,0.96,0.62,0.79,0.79,0.76,0.87,0.78,0.76,0.86,0.66,0.68,0.71,0.71,0.68,0.81
ENSPKIT00000006254_ENSPKIG00000008314,0.97,0.96,1.0,0.65,0.77,0.76,0.8,0.85,0.76,0.79,0.85,0.69,0.67,0.68,0.73,0.7,0.83
ENSPKIT00000006274_ENSPKIG00000008314,0.62,0.62,0.65,1.0,0.44,0.45,0.47,0.52,0.44,0.48,0.52,0.69,0.35,0.43,0.43,0.61,0.53
ENSSFOT00015009947_ENSSFOG00015006375,0.79,0.79,0.77,0.44,1.0,0.99,0.97,0.92,0.89,0.86,0.84,0.63,0.8,0.82,0.76,0.64,0.77
ENSSFOT00015009970_ENSSFOG00015006375,0.79,0.79,0.76,0.45,0.99,1.0,0.96,0.91,0.89,0.87,0.83,0.64,0.79,0.83,0.76,0.65,0.77
ENSSFOT00015009983_ENSSFOG00015006375,0.77,0.76,0.8,0.47,0.97,0.96,1.0,0.89,0.87,0.89,0.82,0.66,0.78,0.8,0.78,0.67,0.8
ENSSFOT00015009996_ENSSFOG00015006375,0.87,0.87,0.85,0.52,0.92,0.91,0.89,1.0,0.84,0.81,0.92,0.71,0.74,0.77,0.77,0.72,0.85
ENSPKIT00000041698_ENSPKIG00000003196,0.78,0.78,0.76,0.44,0.89,0.89,0.87,0.84,1.0,0.97,0.92,0.67,0.89,0.82,0.76,0.65,0.77
ENSPKIT00000041721_ENSPKIG00000003196,0.76,0.76,0.79,0.48,0.86,0.87,0.89,0.81,0.97,1.0,0.88,0.7,0.86,0.8,0.79,0.68,0.81
ENSPKIT00000041750_ENSPKIG00000003196,0.87,0.86,0.85,0.52,0.84,0.83,0.82,0.92,0.92,0.88,1.0,0.75,0.81,0.77,0.76,0.73,0.85
ENSPKIT00000041783_ENSPKIG00000003196,0.66,0.66,0.69,0.69,0.63,0.64,0.66,0.71,0.67,0.7,0.75,1.0,0.56,0.63,0.62,0.8,0.72
ENSPKIT00000041807_ENSPKIG00000003196,0.69,0.68,0.67,0.35,0.8,0.79,0.78,0.74,0.89,0.86,0.81,0.56,1.0,0.76,0.73,0.55,0.68
ENSSFOT00015027596_ENSSFOG00015017511,0.7,0.71,0.68,0.43,0.82,0.83,0.8,0.77,0.82,0.8,0.77,0.63,0.76,1.0,0.81,0.64,0.71
ENSSFOT00015027637_ENSSFOG00015017511,0.7,0.71,0.73,0.43,0.76,0.76,0.78,0.77,0.76,0.79,0.76,0.62,0.73,0.81,1.0,0.64,0.76
ENSSDUT00000017288_ENSSDUG00000012385,0.67,0.68,0.7,0.61,0.64,0.65,0.67,0.72,0.65,0.68,0.73,0.8,0.55,0.64,0.64,1.0,0.83
ENSSDUT00000017307_ENSSDUG00000012385,0.8,0.81,0.83,0.53,0.77,0.77,0.8,0.85,0.77,0.81,0.85,0.72,0.68,0.71,0.76,0.83,1.0
