,ENSNBRT00000019381_ENSNBRG00000014551,ENSHBUT00000033575_ENSHBUG00000016794,ENSACIT00000008502_ENSACIG00000006485,ENSAPET00000028463_ENSAPEG00000019688,ENSAPOT00000014616_ENSAPOG00000003090,ENSSPAT00000012981_ENSSPAG00000009677,ENSPRET00000031689_ENSPREG00000021224,ENSXCOT00000024530_ENSXCOG00000018100,ENSCVAT00000002523_ENSCVAG00000009614,ENSSMAT00000023418_ENSSMAG00000014118,ENSMALT00000018894_ENSMALG00000012922
ENSNBRT00000019381_ENSNBRG00000014551,1.0,0.99,0.8,0.87,0.8,0.8,0.74,0.8,0.66,0.76,0.6
ENSHBUT00000033575_ENSHBUG00000016794,0.99,1.0,0.81,0.86,0.79,0.8,0.73,0.8,0.66,0.76,0.61
ENSACIT00000008502_ENSACIG00000006485,0.8,0.81,1.0,0.87,0.93,0.82,0.77,0.84,0.7,0.89,0.61
ENSAPET00000028463_ENSAPEG00000019688,0.87,0.86,0.87,1.0,0.91,0.91,0.84,0.91,0.75,0.85,0.69
ENSAPOT00000014616_ENSAPOG00000003090,0.8,0.79,0.93,0.91,1.0,0.84,0.8,0.86,0.71,0.9,0.61
ENSSPAT00000012981_ENSSPAG00000009677,0.8,0.8,0.82,0.91,0.84,1.0,0.78,0.85,0.78,0.8,0.71
ENSPRET00000031689_ENSPREG00000021224,0.74,0.73,0.77,0.84,0.8,0.78,1.0,0.91,0.74,0.76,0.58
ENSXCOT00000024530_ENSXCOG00000018100,0.8,0.8,0.84,0.91,0.86,0.85,0.91,1.0,0.76,0.83,0.64
ENSCVAT00000002523_ENSCVAG00000009614,0.66,0.66,0.7,0.75,0.71,0.78,0.74,0.76,1.0,0.68,0.65
ENSSMAT00000023418_ENSSMAG00000014118,0.76,0.76,0.89,0.85,0.9,0.8,0.76,0.83,0.68,1.0,0.6
ENSMALT00000018894_ENSMALG00000012922,0.6,0.61,0.61,0.69,0.61,0.71,0.58,0.64,0.65,0.6,1.0
