,ENSCHAT00000017460_ENSCHAG00000008456,ENSCHAT00000017477_ENSCHAG00000008456,ENSCHAT00000017556_ENSCHAG00000008471,ENSDCDT00000052783_ENSDCDG00000027129,ENSDCDT00000052785_ENSDCDG00000027129,ENSDCDT00000052786_ENSDCDG00000027129,ENSDCDT00000052788_ENSDCDG00000027129,ENSDCDT00000052790_ENSDCDG00000027129,ENSCHAT00000017315_ENSCHAG00000008392,ENSCHAT00000016972_ENSCHAG00000007988,ENSCHAT00000017165_ENSCHAG00000007988,ENSCHAT00000017303_ENSCHAG00000007988,ENSPNAT00000019172_ENSPNAG00000017720,ENSPNAT00000036343_ENSPNAG00000017720,ENSPNAT00000012235_ENSPNAG00000008147,ENSPNAT00000012253_ENSPNAG00000008147,ENSAMXT00000057678_ENSAMXG00000041157,ENSIPUT00000034587_ENSIPUG00000022366,ENSEEET00000036337_ENSEEEG00000017081,ENSEEET00000036339_ENSEEEG00000017081,ENSEEET00000036340_ENSEEEG00000017081,ENSEEET00000036341_ENSEEEG00000017081,ENSEEET00000036343_ENSEEEG00000017081,ENSEEET00000036344_ENSEEEG00000017081
ENSCHAT00000017460_ENSCHAG00000008456,1.0,0.59,0.32,0.6,0.48,0.71,0.36,0.53,0.45,0.24,0.26,0.31,0.4,0.3,0.36,0.34,0.46,0.48,0.38,0.46,0.46,0.41,0.49,0.38
ENSCHAT00000017477_ENSCHAG00000008456,0.59,1.0,0.32,0.36,0.28,0.44,0.18,0.81,0.28,0.19,0.2,0.19,0.22,0.22,0.27,0.28,0.28,0.28,0.27,0.27,0.27,0.27,0.29,0.24
ENSCHAT00000017556_ENSCHAG00000008471,0.32,0.32,1.0,0.5,0.64,0.39,0.44,0.32,0.64,0.37,0.35,0.36,0.53,0.53,0.5,0.53,0.59,0.64,0.56,0.56,0.56,0.45,0.54,0.53
ENSDCDT00000052783_ENSDCDG00000027129,0.6,0.36,0.5,1.0,0.76,0.75,0.59,0.38,0.68,0.34,0.34,0.4,0.61,0.48,0.43,0.4,0.67,0.73,0.56,0.64,0.64,0.48,0.62,0.57
ENSDCDT00000052785_ENSDCDG00000027129,0.48,0.28,0.64,0.76,1.0,0.61,0.69,0.29,0.86,0.39,0.39,0.46,0.76,0.6,0.51,0.48,0.83,0.91,0.68,0.78,0.78,0.58,0.76,0.69
ENSDCDT00000052786_ENSDCDG00000027129,0.71,0.44,0.39,0.75,0.61,1.0,0.46,0.46,0.54,0.26,0.28,0.31,0.48,0.37,0.43,0.4,0.54,0.58,0.45,0.54,0.51,0.48,0.49,0.46
ENSDCDT00000052788_ENSDCDG00000027129,0.36,0.18,0.44,0.59,0.69,0.46,1.0,0.18,0.61,0.47,0.45,0.57,0.58,0.45,0.37,0.34,0.61,0.65,0.49,0.57,0.57,0.43,0.55,0.54
ENSDCDT00000052790_ENSDCDG00000027129,0.53,0.81,0.32,0.38,0.29,0.46,0.18,1.0,0.28,0.19,0.2,0.2,0.22,0.22,0.28,0.28,0.28,0.28,0.27,0.27,0.27,0.27,0.29,0.25
ENSCHAT00000017315_ENSCHAG00000008392,0.45,0.28,0.64,0.68,0.86,0.54,0.61,0.28,1.0,0.41,0.4,0.48,0.72,0.6,0.48,0.45,0.78,0.86,0.65,0.74,0.74,0.55,0.72,0.66
ENSCHAT00000016972_ENSCHAG00000007988,0.24,0.19,0.37,0.34,0.39,0.26,0.47,0.19,0.41,1.0,0.53,0.48,0.36,0.3,0.31,0.29,0.38,0.39,0.35,0.35,0.39,0.3,0.38,0.37
ENSCHAT00000017165_ENSCHAG00000007988,0.26,0.2,0.35,0.34,0.39,0.28,0.45,0.2,0.4,0.53,1.0,0.45,0.34,0.28,0.33,0.28,0.37,0.38,0.34,0.35,0.37,0.3,0.36,0.37
ENSCHAT00000017303_ENSCHAG00000007988,0.31,0.19,0.36,0.4,0.46,0.31,0.57,0.2,0.48,0.48,0.45,1.0,0.42,0.35,0.29,0.27,0.53,0.46,0.37,0.42,0.45,0.33,0.47,0.41
ENSPNAT00000019172_ENSPNAG00000017720,0.4,0.22,0.53,0.61,0.76,0.48,0.58,0.22,0.72,0.36,0.34,0.42,1.0,0.77,0.46,0.43,0.71,0.77,0.59,0.67,0.67,0.51,0.65,0.6
ENSPNAT00000036343_ENSPNAG00000017720,0.3,0.22,0.53,0.48,0.6,0.37,0.45,0.22,0.6,0.3,0.28,0.35,0.77,1.0,0.36,0.36,0.56,0.6,0.5,0.53,0.53,0.4,0.51,0.47
ENSPNAT00000012235_ENSPNAG00000008147,0.36,0.27,0.5,0.43,0.51,0.43,0.37,0.28,0.48,0.31,0.33,0.29,0.46,0.36,1.0,0.59,0.5,0.52,0.48,0.5,0.47,0.54,0.45,0.46
ENSPNAT00000012253_ENSPNAG00000008147,0.34,0.28,0.53,0.4,0.48,0.4,0.34,0.28,0.45,0.29,0.28,0.27,0.43,0.36,0.59,1.0,0.47,0.49,0.46,0.47,0.45,0.57,0.43,0.43
ENSAMXT00000057678_ENSAMXG00000041157,0.46,0.28,0.59,0.67,0.83,0.54,0.61,0.28,0.78,0.38,0.37,0.53,0.71,0.56,0.5,0.47,1.0,0.84,0.65,0.73,0.73,0.55,0.72,0.66
ENSIPUT00000034587_ENSIPUG00000022366,0.48,0.28,0.64,0.73,0.91,0.58,0.65,0.28,0.86,0.39,0.38,0.46,0.77,0.6,0.52,0.49,0.84,1.0,0.69,0.79,0.79,0.58,0.77,0.7
ENSEEET00000036337_ENSEEEG00000017081,0.38,0.27,0.56,0.56,0.68,0.45,0.49,0.27,0.65,0.35,0.34,0.37,0.59,0.5,0.48,0.46,0.65,0.69,1.0,0.64,0.64,0.5,0.62,0.59
ENSEEET00000036339_ENSEEEG00000017081,0.46,0.27,0.56,0.64,0.78,0.54,0.57,0.27,0.74,0.35,0.35,0.42,0.67,0.53,0.5,0.47,0.73,0.79,0.64,1.0,0.73,0.58,0.7,0.65
ENSEEET00000036340_ENSEEEG00000017081,0.46,0.27,0.56,0.64,0.78,0.51,0.57,0.27,0.74,0.39,0.37,0.45,0.67,0.53,0.47,0.45,0.73,0.79,0.64,0.73,1.0,0.55,0.74,0.65
ENSEEET00000036341_ENSEEEG00000017081,0.41,0.27,0.45,0.48,0.58,0.48,0.43,0.27,0.55,0.3,0.3,0.33,0.51,0.4,0.54,0.57,0.55,0.58,0.5,0.58,0.55,1.0,0.53,0.63
ENSEEET00000036343_ENSEEEG00000017081,0.49,0.29,0.54,0.62,0.76,0.49,0.55,0.29,0.72,0.38,0.36,0.47,0.65,0.51,0.45,0.43,0.72,0.77,0.62,0.7,0.74,0.53,1.0,0.63
ENSEEET00000036344_ENSEEEG00000017081,0.38,0.24,0.53,0.57,0.69,0.46,0.54,0.25,0.66,0.37,0.37,0.41,0.6,0.47,0.46,0.43,0.66,0.7,0.59,0.65,0.65,0.63,0.63,1.0
