,FBtr0344410_FBgn0051807,FBtr0080944_FBgn0051807,FBtr0091522_FBgn0053552,FBtr0080827_FBgn0028896,FBtr0073170_FBgn0035479,FBtr0333022_FBgn0036421,FBtr0113170_FBgn0036421,FBtr0075346_FBgn0036660,FBtr0333610_FBgn0036660,ENSACAT00000006631_ENSACAG00000006627,ENSNSUT00000012861_ENSNSUG00000009061,ENSSMRT00000002205_ENSSMRG00000001603,ENSSPUT00000010020_ENSSPUG00000007305
FBtr0344410_FBgn0051807,1.0,0.5,0.5,0.5,0.5,0.5,0.5,0.25,0.25,0.04,1e-18,0.04,0.04
FBtr0080944_FBgn0051807,0.5,1.0,0.5,0.5,0.5,0.5,0.5,0.25,0.25,0.04,1e-18,0.04,0.04
FBtr0091522_FBgn0053552,0.5,0.5,1.0,0.5,0.5,0.5,0.5,0.25,0.25,0.04,1e-18,0.04,0.04
FBtr0080827_FBgn0028896,0.5,0.5,0.5,1.0,0.5,0.5,0.5,0.25,0.25,0.04,1e-18,0.04,0.04
FBtr0073170_FBgn0035479,0.5,0.5,0.5,0.5,1.0,0.5,0.5,0.25,0.25,0.04,1e-18,0.04,0.04
FBtr0333022_FBgn0036421,0.5,0.5,0.5,0.5,0.5,1.0,0.5,0.25,0.25,0.04,1e-18,0.04,0.04
FBtr0113170_FBgn0036421,0.5,0.5,0.5,0.5,0.5,0.5,1.0,0.25,0.25,0.04,1e-18,0.04,0.04
FBtr0075346_FBgn0036660,0.25,0.25,0.25,0.25,0.25,0.25,0.25,1.0,0.5,0.04,1e-18,0.04,0.04
FBtr0333610_FBgn0036660,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.5,1.0,0.04,1e-18,0.04,0.04
ENSACAT00000006631_ENSACAG00000006627,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,1.0,0.62,0.96,0.92
ENSNSUT00000012861_ENSNSUG00000009061,1e-18,1e-18,1e-18,1e-18,1e-18,1e-18,1e-18,1e-18,1e-18,0.62,1.0,0.62,0.62
ENSSMRT00000002205_ENSSMRG00000001603,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.96,0.62,1.0,0.92
ENSSPUT00000010020_ENSSPUG00000007305,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.92,0.62,0.92,1.0
