,ENSVURT00010025352_ENSVURG00010017061,ENSVURT00010025361_ENSVURG00010017061,ENSPCIT00000018091_ENSPCIG00000011429,ENSPCIT00000057625_ENSPCIG00000011429,ENSPCIT00000018094_ENSPCIG00000011429,ENSMEUT00000012562_ENSMEUG00000012535,ENSMODT00000073043_ENSMODG00000049233,ENSMODT00000055514_ENSMODG00000049233,ENSCCNT00000007519_ENSCCNG00000006058,ENSDORT00000004545_ENSDORG00000004545
ENSVURT00010025352_ENSVURG00010017061,1.0,0.75,0.62,0.92,0.57,0.3,0.92,0.75,0.92,0.92
ENSVURT00010025361_ENSVURG00010017061,0.75,1.0,0.5,0.75,0.43,0.2,0.75,0.9,0.75,0.75
ENSPCIT00000018091_ENSPCIG00000011429,0.62,0.5,1.0,0.62,0.44,0.32,0.62,0.5,0.62,0.62
ENSPCIT00000057625_ENSPCIG00000011429,0.92,0.75,0.62,1.0,0.57,0.3,0.92,0.75,0.92,0.92
ENSPCIT00000018094_ENSPCIG00000011429,0.57,0.43,0.44,0.57,1.0,0.14,0.57,0.43,0.57,0.57
ENSMEUT00000012562_ENSMEUG00000012535,0.3,0.2,0.32,0.3,0.14,1.0,0.3,0.2,0.3,0.3
ENSMODT00000073043_ENSMODG00000049233,0.92,0.75,0.62,0.92,0.57,0.3,1.0,0.75,0.92,0.92
ENSMODT00000055514_ENSMODG00000049233,0.75,0.9,0.5,0.75,0.43,0.2,0.75,1.0,0.75,0.75
ENSCCNT00000007519_ENSCCNG00000006058,0.92,0.75,0.62,0.92,0.57,0.3,0.92,0.75,1.0,1.0
ENSDORT00000004545_ENSDORG00000004545,0.92,0.75,0.62,0.92,0.57,0.3,0.92,0.75,1.0,1.0
