,FBtr0082924_FBgn0038221,C02H7.1.1_WBGene00001127,ENSMEUT00000010808_ENSMEUG00000010766,ENSPCIT00000043956_ENSPCIG00000026388,ENSPCIT00000043957_ENSPCIG00000026388,ENSMODT00000069927_ENSMODG00000002477,ENSMODT00000083495_ENSMODG00000002477,ENSMODT00000054375_ENSMODG00000002477,ENSMODT00000056758_ENSMODG00000002477,ENSMODT00000061188_ENSMODG00000002477,ENSMODT00000083828_ENSMODG00000002477,ENSMODT00000030059_ENSMODG00000002477,ENSPTRT00000055962_ENSPTRG00000028947,ENSPTRT00000081848_ENSPTRG00000028947,ENSGGOT00000034406_ENSGGOG00000010361,ENSGGOT00000030673_ENSGGOG00000010361,ENSGGOT00000010406_ENSGGOG00000010361,ENST00000391993_ENSG00000204104,ENST00000373327_ENSG00000204104
FBtr0082924_FBgn0038221,1.0,0.23,0.17,0.21,0.21,0.14,0.14,0.14,0.14,0.15,0.16,0.17,0.18,0.2,0.18,0.2,0.18,0.2,0.18
C02H7.1.1_WBGene00001127,0.23,1.0,0.21,0.35,0.35,0.26,0.27,0.27,0.27,0.28,0.29,0.3,0.32,0.34,0.32,0.34,0.32,0.34,0.32
ENSMEUT00000010808_ENSMEUG00000010766,0.17,0.21,1.0,0.41,0.39,0.47,0.45,0.51,0.44,0.41,0.4,0.53,0.56,0.49,0.56,0.49,0.58,0.49,0.56
ENSPCIT00000043956_ENSPCIG00000026388,0.21,0.35,0.41,1.0,0.7,0.54,0.56,0.57,0.56,0.58,0.61,0.6,0.56,0.6,0.56,0.6,0.58,0.6,0.56
ENSPCIT00000043957_ENSPCIG00000026388,0.21,0.35,0.39,0.7,1.0,0.5,0.51,0.53,0.52,0.54,0.55,0.56,0.57,0.61,0.57,0.61,0.58,0.61,0.57
ENSMODT00000069927_ENSMODG00000002477,0.14,0.26,0.47,0.54,0.5,1.0,0.89,0.85,0.9,0.86,0.83,0.86,0.72,0.65,0.72,0.65,0.7,0.65,0.72
ENSMODT00000083495_ENSMODG00000002477,0.14,0.27,0.45,0.56,0.51,0.89,1.0,0.8,0.85,0.83,0.87,0.81,0.67,0.62,0.67,0.62,0.66,0.62,0.67
ENSMODT00000054375_ENSMODG00000002477,0.14,0.27,0.51,0.57,0.53,0.85,0.8,1.0,0.81,0.77,0.74,0.78,0.74,0.67,0.74,0.67,0.77,0.67,0.74
ENSMODT00000056758_ENSMODG00000002477,0.14,0.27,0.44,0.56,0.52,0.9,0.85,0.81,1.0,0.89,0.86,0.82,0.69,0.68,0.69,0.68,0.67,0.68,0.69
ENSMODT00000061188_ENSMODG00000002477,0.15,0.28,0.41,0.58,0.54,0.86,0.83,0.77,0.89,1.0,0.89,0.78,0.65,0.72,0.65,0.72,0.64,0.72,0.65
ENSMODT00000083828_ENSMODG00000002477,0.16,0.29,0.4,0.61,0.55,0.83,0.87,0.74,0.86,0.89,1.0,0.75,0.62,0.67,0.62,0.67,0.6,0.67,0.62
ENSMODT00000030059_ENSMODG00000002477,0.17,0.3,0.53,0.6,0.56,0.86,0.81,0.78,0.82,0.78,0.75,1.0,0.79,0.72,0.79,0.72,0.77,0.72,0.79
ENSPTRT00000055962_ENSPTRG00000028947,0.18,0.32,0.56,0.56,0.57,0.72,0.67,0.74,0.69,0.65,0.62,0.79,1.0,0.83,0.91,0.83,0.88,0.83,0.91
ENSPTRT00000081848_ENSPTRG00000028947,0.2,0.34,0.49,0.6,0.61,0.65,0.62,0.67,0.68,0.72,0.67,0.72,0.83,1.0,0.83,0.92,0.8,0.92,0.83
ENSGGOT00000034406_ENSGGOG00000010361,0.18,0.32,0.56,0.56,0.57,0.72,0.67,0.74,0.69,0.65,0.62,0.79,0.91,0.83,1.0,0.83,0.89,0.83,0.91
ENSGGOT00000030673_ENSGGOG00000010361,0.2,0.34,0.49,0.6,0.61,0.65,0.62,0.67,0.68,0.72,0.67,0.72,0.83,0.92,0.83,1.0,0.8,0.92,0.83
ENSGGOT00000010406_ENSGGOG00000010361,0.18,0.32,0.58,0.58,0.58,0.7,0.66,0.77,0.67,0.64,0.6,0.77,0.88,0.8,0.89,0.8,1.0,0.8,0.88
ENST00000391993_ENSG00000204104,0.2,0.34,0.49,0.6,0.61,0.65,0.62,0.67,0.68,0.72,0.67,0.72,0.83,0.92,0.83,0.92,0.8,1.0,0.83
ENST00000373327_ENSG00000204104,0.18,0.32,0.56,0.56,0.57,0.72,0.67,0.74,0.69,0.65,0.62,0.79,0.91,0.83,0.91,0.83,0.88,0.83,1.0
