,ENSCHAT00000035882_ENSCHAG00000015785,ENSCHAT00000036002_ENSCHAG00000015785,ENSCHAT00000036036_ENSCHAG00000015785,ENSCHAT00000036082_ENSCHAG00000015785,ENSCHAT00000036129_ENSCHAG00000015785,ENSCHAT00000036193_ENSCHAG00000015785,ENSCHAT00000036237_ENSCHAG00000015785,ENSCHAT00000036288_ENSCHAG00000015785,ENSCHAT00000036347_ENSCHAG00000015785,ENSCHAT00000036407_ENSCHAG00000015785,ENSDCDT00000037346_ENSDCDG00000017005,ENSDCDT00000037357_ENSDCDG00000017005,ENSDCDT00000037365_ENSDCDG00000017005,ENSDCDT00000037372_ENSDCDG00000017005,ENSDCDT00000037378_ENSDCDG00000017005,ENSDCDT00000037383_ENSDCDG00000017005,ENSDCDT00000037387_ENSDCDG00000017005,ENSDCDT00000037397_ENSDCDG00000017005,ENSDCDT00000037575_ENSDCDG00000017005,ENSDCDT00000037577_ENSDCDG00000017005
ENSCHAT00000035882_ENSCHAG00000015785,1.0,0.92,0.96,0.89,0.89,0.93,0.88,0.92,0.93,0.9,0.76,0.79,0.79,0.81,0.78,0.74,0.76,0.75,0.56,0.53
ENSCHAT00000036002_ENSCHAG00000015785,0.92,1.0,0.96,0.96,0.9,0.88,0.84,0.94,0.87,0.93,0.83,0.85,0.81,0.82,0.8,0.76,0.78,0.77,0.55,0.49
ENSCHAT00000036036_ENSCHAG00000015785,0.96,0.96,1.0,0.93,0.93,0.92,0.87,0.9,0.92,0.89,0.81,0.82,0.82,0.85,0.82,0.74,0.76,0.74,0.53,0.5
ENSCHAT00000036082_ENSCHAG00000015785,0.89,0.96,0.93,1.0,0.95,0.85,0.89,0.9,0.84,0.89,0.87,0.89,0.84,0.87,0.83,0.79,0.81,0.81,0.57,0.52
ENSCHAT00000036129_ENSCHAG00000015785,0.89,0.9,0.93,0.95,1.0,0.9,0.89,0.85,0.85,0.84,0.85,0.84,0.88,0.87,0.83,0.79,0.8,0.79,0.55,0.52
ENSCHAT00000036193_ENSCHAG00000015785,0.93,0.88,0.92,0.85,0.9,1.0,0.9,0.88,0.89,0.86,0.77,0.76,0.79,0.78,0.75,0.8,0.76,0.76,0.52,0.49
ENSCHAT00000036237_ENSCHAG00000015785,0.88,0.84,0.87,0.89,0.89,0.9,1.0,0.84,0.9,0.83,0.76,0.78,0.78,0.8,0.83,0.79,0.75,0.75,0.57,0.54
ENSCHAT00000036288_ENSCHAG00000015785,0.92,0.94,0.9,0.9,0.85,0.88,0.84,1.0,0.93,0.93,0.78,0.8,0.76,0.78,0.75,0.76,0.83,0.77,0.55,0.49
ENSCHAT00000036347_ENSCHAG00000015785,0.93,0.87,0.92,0.84,0.85,0.89,0.9,0.93,1.0,0.86,0.73,0.75,0.75,0.77,0.8,0.71,0.78,0.71,0.55,0.52
ENSCHAT00000036407_ENSCHAG00000015785,0.9,0.93,0.89,0.89,0.84,0.86,0.83,0.93,0.86,1.0,0.77,0.79,0.74,0.76,0.74,0.75,0.77,0.83,0.54,0.48
ENSDCDT00000037346_ENSDCDG00000017005,0.76,0.83,0.81,0.87,0.85,0.77,0.76,0.78,0.73,0.77,1.0,0.96,0.96,0.93,0.9,0.91,0.94,0.92,0.56,0.5
ENSDCDT00000037357_ENSDCDG00000017005,0.79,0.85,0.82,0.89,0.84,0.76,0.78,0.8,0.75,0.79,0.96,1.0,0.93,0.96,0.93,0.88,0.91,0.89,0.58,0.51
ENSDCDT00000037365_ENSDCDG00000017005,0.79,0.81,0.82,0.84,0.88,0.79,0.78,0.76,0.75,0.74,0.96,0.93,1.0,0.96,0.93,0.88,0.91,0.89,0.55,0.52
ENSDCDT00000037372_ENSDCDG00000017005,0.81,0.82,0.85,0.87,0.87,0.78,0.8,0.78,0.77,0.76,0.93,0.96,0.96,1.0,0.96,0.86,0.88,0.87,0.56,0.53
ENSDCDT00000037378_ENSDCDG00000017005,0.78,0.8,0.82,0.83,0.83,0.75,0.83,0.75,0.8,0.74,0.9,0.93,0.93,0.96,1.0,0.83,0.85,0.84,0.58,0.55
ENSDCDT00000037383_ENSDCDG00000017005,0.74,0.76,0.74,0.79,0.79,0.8,0.79,0.76,0.71,0.75,0.91,0.88,0.88,0.86,0.83,1.0,0.91,0.9,0.55,0.49
ENSDCDT00000037387_ENSDCDG00000017005,0.76,0.78,0.76,0.81,0.8,0.76,0.75,0.83,0.78,0.77,0.94,0.91,0.91,0.88,0.85,0.91,1.0,0.92,0.56,0.5
ENSDCDT00000037397_ENSDCDG00000017005,0.75,0.77,0.74,0.81,0.79,0.76,0.75,0.77,0.71,0.83,0.92,0.89,0.89,0.87,0.84,0.9,0.92,1.0,0.55,0.5
ENSDCDT00000037575_ENSDCDG00000017005,0.56,0.55,0.53,0.57,0.55,0.52,0.57,0.55,0.55,0.54,0.56,0.58,0.55,0.56,0.58,0.55,0.56,0.55,1.0,0.78
ENSDCDT00000037577_ENSDCDG00000017005,0.53,0.49,0.5,0.52,0.52,0.49,0.54,0.49,0.52,0.48,0.5,0.51,0.52,0.53,0.55,0.49,0.5,0.5,0.78,1.0
