,ENSLACT00000025449_ENSLACG00000022431,ENSLACT00000001450_ENSLACG00000001287,ENSAOWT00000025794_ENSAOWG00000015377,ENSAOWT00000025797_ENSAOWG00000015377,ENSAOWT00000025801_ENSAOWG00000015377,ENSAHAT00000013297_ENSAHAG00000008687,ENSAHAT00000013304_ENSAHAG00000008687,ENSARWT00000005145_ENSARWG00000003254,ENSARWT00000005147_ENSARWG00000003254,ENSARWT00000005149_ENSARWG00000003254,ENSARWT00000005150_ENSARWG00000003254,ENSDNVT00000016173_ENSDNVG00000009483,ENSDNVT00000016179_ENSDNVG00000009483,ENSDNVT00000016192_ENSDNVG00000009483,ENSDNVT00000016202_ENSDNVG00000009483,ENSDNVT00000016214_ENSDNVG00000009483,ENSDNVT00000016229_ENSDNVG00000009483,ENSNPET00000012579_ENSNPEG00000009188,ENSJHYT00000025666_ENSJHYG00000016098,ENSJHYT00000025683_ENSJHYG00000016098,ENSJHYT00000025707_ENSJHYG00000016098,ENSZALT00000026767_ENSZALG00000016106,ENSZALT00000026768_ENSZALG00000016106,ENSPMJT00000023636_ENSPMJG00000013570,ENSPMJT00000023637_ENSPMJG00000013570,ENSPMJT00000023638_ENSPMJG00000013570,ENSCCET00000033442_ENSCCEG00000019902,ENSCCET00000033443_ENSCCEG00000019902
ENSLACT00000025449_ENSLACG00000022431,1.0,0.03,0.29,0.22,0.27,0.27,0.2,0.27,0.21,0.21,0.21,0.29,0.29,0.21,0.27,0.25,0.3,0.12,0.29,0.29,0.29,0.29,0.26,0.29,0.27,0.17,0.29,0.26
ENSLACT00000001450_ENSLACG00000001287,0.03,1.0,0.18,0.13,0.13,0.13,0.14,0.13,0.19,0.19,0.19,0.18,0.18,0.19,0.15,0.16,0.12,0.11,0.18,0.18,0.18,0.18,0.19,0.18,0.15,0.16,0.18,0.19
ENSAOWT00000025794_ENSAOWG00000015377,0.29,0.18,1.0,0.8,0.89,0.89,0.82,0.89,0.9,0.9,0.9,0.98,0.98,0.9,0.91,0.86,0.9,0.59,0.98,0.98,0.98,0.98,0.93,0.98,0.91,0.78,0.98,0.93
ENSAOWT00000025797_ENSAOWG00000015377,0.22,0.13,0.8,1.0,0.89,0.89,0.85,0.89,0.76,0.76,0.76,0.8,0.8,0.76,0.85,0.8,0.78,0.48,0.8,0.8,0.8,0.8,0.76,0.8,0.79,0.75,0.8,0.76
ENSAOWT00000025801_ENSAOWG00000015377,0.27,0.13,0.89,0.89,1.0,0.98,0.91,0.98,0.82,0.82,0.82,0.89,0.89,0.82,0.93,0.89,0.86,0.52,0.89,0.89,0.89,0.89,0.84,0.89,0.87,0.75,0.89,0.84
ENSAHAT00000013297_ENSAHAG00000008687,0.27,0.13,0.89,0.89,0.98,1.0,0.91,0.98,0.82,0.82,0.82,0.89,0.89,0.82,0.93,0.89,0.86,0.52,0.89,0.89,0.89,0.89,0.84,0.89,0.87,0.75,0.89,0.84
ENSAHAT00000013304_ENSAHAG00000008687,0.2,0.14,0.82,0.85,0.91,0.91,1.0,0.91,0.88,0.88,0.88,0.82,0.82,0.88,0.86,0.82,0.8,0.57,0.82,0.82,0.82,0.82,0.77,0.82,0.8,0.78,0.82,0.77
ENSARWT00000005145_ENSARWG00000003254,0.27,0.13,0.89,0.89,0.98,0.98,0.91,1.0,0.82,0.82,0.82,0.89,0.89,0.82,0.93,0.89,0.86,0.52,0.89,0.89,0.89,0.89,0.84,0.89,0.87,0.75,0.89,0.84
ENSARWT00000005147_ENSARWG00000003254,0.21,0.19,0.9,0.76,0.82,0.82,0.88,0.82,1.0,0.97,0.97,0.9,0.9,0.97,0.84,0.8,0.83,0.64,0.9,0.9,0.9,0.9,0.86,0.9,0.84,0.82,0.9,0.86
ENSARWT00000005149_ENSARWG00000003254,0.21,0.19,0.9,0.76,0.82,0.82,0.88,0.82,0.97,1.0,0.97,0.9,0.9,0.97,0.84,0.8,0.83,0.64,0.9,0.9,0.9,0.9,0.86,0.9,0.84,0.82,0.9,0.86
ENSARWT00000005150_ENSARWG00000003254,0.21,0.19,0.9,0.76,0.82,0.82,0.88,0.82,0.97,0.97,1.0,0.9,0.9,0.97,0.84,0.8,0.83,0.64,0.9,0.9,0.9,0.9,0.86,0.9,0.84,0.82,0.9,0.86
ENSDNVT00000016173_ENSDNVG00000009483,0.29,0.18,0.98,0.8,0.89,0.89,0.82,0.89,0.9,0.9,0.9,1.0,0.98,0.9,0.91,0.86,0.9,0.59,0.98,0.98,0.98,0.98,0.93,0.98,0.91,0.78,0.98,0.93
ENSDNVT00000016179_ENSDNVG00000009483,0.29,0.18,0.98,0.8,0.89,0.89,0.82,0.89,0.9,0.9,0.9,0.98,1.0,0.9,0.91,0.86,0.9,0.59,0.98,0.98,0.98,0.98,0.93,0.98,0.91,0.78,0.98,0.93
ENSDNVT00000016192_ENSDNVG00000009483,0.21,0.19,0.9,0.76,0.82,0.82,0.88,0.82,0.97,0.97,0.97,0.9,0.9,1.0,0.84,0.8,0.83,0.64,0.9,0.9,0.9,0.9,0.86,0.9,0.84,0.82,0.9,0.86
ENSDNVT00000016202_ENSDNVG00000009483,0.27,0.15,0.91,0.85,0.93,0.93,0.86,0.93,0.84,0.84,0.84,0.91,0.91,0.84,1.0,0.91,0.86,0.54,0.91,0.91,0.91,0.91,0.86,0.91,0.89,0.77,0.91,0.86
ENSDNVT00000016214_ENSDNVG00000009483,0.25,0.16,0.86,0.8,0.89,0.89,0.82,0.89,0.8,0.8,0.8,0.86,0.86,0.8,0.91,1.0,0.82,0.57,0.86,0.86,0.86,0.86,0.93,0.86,0.85,0.73,0.86,0.82
ENSDNVT00000016229_ENSDNVG00000009483,0.3,0.12,0.9,0.78,0.86,0.86,0.8,0.86,0.83,0.83,0.83,0.9,0.9,0.83,0.86,0.82,1.0,0.55,0.9,0.9,0.9,0.9,0.86,0.9,0.86,0.74,0.9,0.86
ENSNPET00000012579_ENSNPEG00000009188,0.12,0.11,0.59,0.48,0.52,0.52,0.57,0.52,0.64,0.64,0.64,0.59,0.59,0.64,0.54,0.57,0.55,1.0,0.59,0.59,0.59,0.59,0.62,0.59,0.54,0.52,0.59,0.57
ENSJHYT00000025666_ENSJHYG00000016098,0.29,0.18,0.98,0.8,0.89,0.89,0.82,0.89,0.9,0.9,0.9,0.98,0.98,0.9,0.91,0.86,0.9,0.59,1.0,0.98,0.98,0.98,0.93,0.98,0.91,0.78,0.98,0.93
ENSJHYT00000025683_ENSJHYG00000016098,0.29,0.18,0.98,0.8,0.89,0.89,0.82,0.89,0.9,0.9,0.9,0.98,0.98,0.9,0.91,0.86,0.9,0.59,0.98,1.0,0.98,0.98,0.93,0.98,0.91,0.78,0.98,0.93
ENSJHYT00000025707_ENSJHYG00000016098,0.29,0.18,0.98,0.8,0.89,0.89,0.82,0.89,0.9,0.9,0.9,0.98,0.98,0.9,0.91,0.86,0.9,0.59,0.98,0.98,1.0,0.98,0.93,0.98,0.91,0.78,0.98,0.93
ENSZALT00000026767_ENSZALG00000016106,0.29,0.18,0.98,0.8,0.89,0.89,0.82,0.89,0.9,0.9,0.9,0.98,0.98,0.9,0.91,0.86,0.9,0.59,0.98,0.98,0.98,1.0,0.93,0.98,0.91,0.78,0.98,0.93
ENSZALT00000026768_ENSZALG00000016106,0.26,0.19,0.93,0.76,0.84,0.84,0.77,0.84,0.86,0.86,0.86,0.93,0.93,0.86,0.86,0.93,0.86,0.62,0.93,0.93,0.93,0.93,1.0,0.93,0.86,0.74,0.93,0.88
ENSPMJT00000023636_ENSPMJG00000013570,0.29,0.18,0.98,0.8,0.89,0.89,0.82,0.89,0.9,0.9,0.9,0.98,0.98,0.9,0.91,0.86,0.9,0.59,0.98,0.98,0.98,0.98,0.93,1.0,0.91,0.78,0.98,0.93
ENSPMJT00000023637_ENSPMJG00000013570,0.27,0.15,0.91,0.79,0.87,0.87,0.8,0.87,0.84,0.84,0.84,0.91,0.91,0.84,0.89,0.85,0.86,0.54,0.91,0.91,0.91,0.91,0.86,0.91,1.0,0.85,0.91,0.86
ENSPMJT00000023638_ENSPMJG00000013570,0.17,0.16,0.78,0.75,0.75,0.75,0.78,0.75,0.82,0.82,0.82,0.78,0.78,0.82,0.77,0.73,0.74,0.52,0.78,0.78,0.78,0.78,0.74,0.78,0.85,1.0,0.78,0.74
ENSCCET00000033442_ENSCCEG00000019902,0.29,0.18,0.98,0.8,0.89,0.89,0.82,0.89,0.9,0.9,0.9,0.98,0.98,0.9,0.91,0.86,0.9,0.59,0.98,0.98,0.98,0.98,0.93,0.98,0.91,0.78,1.0,0.93
ENSCCET00000033443_ENSCCEG00000019902,0.26,0.19,0.93,0.76,0.84,0.84,0.77,0.84,0.86,0.86,0.86,0.93,0.93,0.86,0.86,0.82,0.86,0.57,0.93,0.93,0.93,0.93,0.88,0.93,0.86,0.74,0.93,1.0
