,ENSPPAT00000064066_ENSPPAG00000043196,ENSPTRT00000016818_ENSPTRG00000030927,ENST00000335552_ENSG00000186393,ENSGGOT00000011278_ENSGGOG00000011236,ENSPPYT00000009879_ENSPPYG00000008452,ENSNLET00000002805_ENSNLEG00000002206,ENSCSAT00000000842_ENSCSAG00000002826,ENSMLET00000018184_ENSMLEG00000016638,ENSMFAT00000021787_ENSMFAG00000001350,ENSMMUT00000002105_ENSMMUG00000001495,ENSMNET00000069260_ENSMNEG00000044933,ENSTGET00000010352_ENSTGEG00000007040,ENSPANT00000007475_ENSPANG00000021624,ENSCATT00000040442_ENSCATG00000032089
ENSPPAT00000064066_ENSPPAG00000043196,1.0,1.0,1.0,0.99,0.99,0.99,0.99,0.8,0.99,0.99,0.78,0.99,0.98,0.99
ENSPTRT00000016818_ENSPTRG00000030927,1.0,1.0,1.0,0.99,0.99,0.99,0.99,0.8,0.99,0.99,0.78,0.99,0.98,0.99
ENST00000335552_ENSG00000186393,1.0,1.0,1.0,0.99,0.99,0.99,0.99,0.8,0.99,0.99,0.78,0.99,0.99,0.99
ENSGGOT00000011278_ENSGGOG00000011236,0.99,0.99,0.99,1.0,0.99,0.99,0.99,0.8,0.98,0.98,0.78,0.98,0.98,0.98
ENSPPYT00000009879_ENSPPYG00000008452,0.99,0.99,0.99,0.99,1.0,0.99,0.99,0.8,0.99,0.99,0.78,0.99,0.99,0.99
ENSNLET00000002805_ENSNLEG00000002206,0.99,0.99,0.99,0.99,0.99,1.0,0.99,0.8,0.99,0.99,0.78,0.99,0.99,0.99
ENSCSAT00000000842_ENSCSAG00000002826,0.99,0.99,0.99,0.99,0.99,0.99,1.0,0.81,0.99,0.99,0.78,0.99,0.99,0.99
ENSMLET00000018184_ENSMLEG00000016638,0.8,0.8,0.8,0.8,0.8,0.8,0.81,1.0,0.81,0.81,0.63,0.81,0.81,0.81
ENSMFAT00000021787_ENSMFAG00000001350,0.99,0.99,0.99,0.98,0.99,0.99,0.99,0.81,1.0,1.0,0.79,1.0,1.0,1.0
ENSMMUT00000002105_ENSMMUG00000001495,0.99,0.99,0.99,0.98,0.99,0.99,0.99,0.81,1.0,1.0,0.79,1.0,1.0,1.0
ENSMNET00000069260_ENSMNEG00000044933,0.78,0.78,0.78,0.78,0.78,0.78,0.78,0.63,0.79,0.79,1.0,0.79,0.79,0.79
ENSTGET00000010352_ENSTGEG00000007040,0.99,0.99,0.99,0.98,0.99,0.99,0.99,0.81,1.0,1.0,0.79,1.0,1.0,1.0
ENSPANT00000007475_ENSPANG00000021624,0.98,0.98,0.99,0.98,0.99,0.99,0.99,0.81,1.0,1.0,0.79,1.0,1.0,0.99
ENSCATT00000040442_ENSCATG00000032089,0.99,0.99,0.99,0.98,0.99,0.99,0.99,0.81,1.0,1.0,0.79,1.0,0.99,1.0
